"",A,B,C,D,F,I,S,U,V,W Aver. Total
Electrical & Computer Engr - ECE 3077 A,12,3,3,,,,,,,1 3.50 19
Electrical & Computer Engr - ECE 3077 QUP,6,1,1,,1,,,,,3.22 9
Electrical & Computer Engr - ECE 3084 A,11,5,9,,1,,,,,1 2.96 27
Electrical & Computer Engr - ECE 3084 RMZ,12,,,,,,,,,4.00 12
Electrical & Computer Engr - ECE 3400 A,2,3,,,,,,,,3.40 5
Electrical & Computer Engr - ECE 3450 A,5,5,1,1,,,,,,1 3.17 13
Electrical & Computer Engr - ECE 3600 A,12,10,11,1,1,,,,,6 2.89 41
Electrical & Computer Engr - ECE 3600 QUP,7,1,2,,,,,,,1 3.50 11
Electrical & Computer Engr - ECE 3710 A,17,11,6,3,1,,,,,1 3.05 39
Electrical & Computer Engr - ECE 3710 B,13,8,4,,,,,,,1 3.36 26
Electrical & Computer Engr - ECE 3710 C,10,18,4,,,,,,,4 3.19 36
Electrical & Computer Engr - ECE 3710 C,A,B,C,D,F,I,S,U,V,W Aver. Total
Electrical & Computer Engr - ECE 3710 QUP,8,4,2,,1,,,,,4 3.20 19
Electrical & Computer Engr - ECE 3710 RCH,5,4,,,,,,,,3.56 9
Electrical & Computer Engr - ECE 3710 RLI,11,1,,,,,,,,3.92 12
Electrical & Computer Engr - ECE 3710 RMZ,20,10,2,,,,,,,3.56 32
Electrical & Computer Engr - ECE 3741 L01,9,12,1,,,,,,,3.36 22
Electrical & Computer Engr - ECE 3741 L02,8,15,,1,,,,,,3.25 24
Electrical & Computer Engr - ECE 3741 L05,8,9,,1,,,,,,1 3.33 19
Electrical & Computer Engr - ECE 3741 L06,8,10,,1,,,,,,1 3.32 20
Electrical & Computer Engr - ECE 3741 RLI,12,1,2,,,,,,,3.67 15
Electrical & Computer Engr - ECE 3901 J04,2,,,,,,,,,4.00 2
Electrical & Computer Engr - ECE 3901 RM2,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 3901 RM5,,3,,,,,,,,3.00 3
Electrical & Computer Engr - ECE 3902 G04,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 3903 G04,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 3903 RM2,3,,,,,,,,,4.00 3
Electrical & Computer Engr - ECE 3951 A14,,,,,,,1,,,1
Electrical & Computer Engr - ECE 3951 H09,,,,,,,1,,,1
Electrical & Computer Engr - ECE 3951 S17,,,,,,,1,,,1
Electrical & Computer Engr - ECE 4011 A05,16,8,2,,,,,,,3.54 26
Electrical & Computer Engr - ECE 4011 A06,1,1,1,,,,,,,3.00 3
Electrical & Computer Engr - ECE 4043 A,7,1,2,,,,,,,1 3.50 11
Electrical & Computer Engr - ECE 4391 A,5,4,2,,1,,,,,1 3.00 13
Electrical & Computer Engr - ECE 4452 A,4,10,4,1,1,,,,,3 2.75 23
Electrical & Computer Engr - ECE 4500 Q,1,3,,,,,,,,3.25 4
Electrical & Computer Engr - ECE 4500 RCH,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 4500 RSZ,2,,,,,,,,,4.00 2
Electrical & Computer Engr - ECE 4550 A,10,7,2,,,,,,,1 3.42 20
Electrical & Computer Engr - ECE 4698 12,,,,,,,,,1,1
Electrical & Computer Engr - ECE 4699 G04,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 4699 RM2,2,,,,,,,,,4.00 2
Electrical & Computer Engr - ECE 4751 A,11,7,6,,,,,,,4 3.21 28
Electrical & Computer Engr - ECE 4893 A,7,1,,,,,,,,1 3.88 9
Electrical & Computer Engr - ECE 4901 C09,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 4901 H15,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 4903 V06,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 4951 S17,,,,,,,2,,,2
Electrical & Computer Engr - ECE 4952 R09,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 6100 Q,9,1,,,,,,,,3.90 10
Electrical & Computer Engr - ECE 6100 RSZ,2,2,,,,,,,,3.50 4
Electrical & Computer Engr - ECE 6744 QND,2,2,,,,,,,,3.50 4
Electrical & Computer Engr - ECE 6786 Q,5,7,1,,,,,,,3.31 13
Electrical & Computer Engr - ECE 6786 RCH,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 6786 RSZ,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 7000 A07,,,,,,,1,,,1
Electrical & Computer Engr - ECE 7000 A11,,,,,,,1,,,1
Electrical & Computer Engr - ECE 7000 B20,,,,,,,1,,,1
Electrical & Computer Engr - ECE 7000 B25,,,,,,,1,,,1
Electrical & Computer Engr - ECE 7000 C10,,,,,,,3,,,3
Electrical & Computer Engr - ECE 7000 I02,,,,,,,3,,,3
Electrical & Computer Engr - ECE 7000 M07,,,,,,,1,,,1
Electrical & Computer Engr - ECE 7000 S18,,,,,,,1,,,1
Electrical & Computer Engr - ECE 7000 T01,,,,,,,1,,,1
Electrical & Computer Engr - ECE 7000 T02,,,,,,,1,,,1
Electrical & Computer Engr - ECE 7000 T04,,,,,,,2,,,2
Electrical & Computer Engr - ECE 7000 W03,,,,,,,1,,,1
Electrical & Computer Engr - ECE 7000 W10,,,,,,,1,,,1
Electrical & Computer Engr - ECE 7055 RSH,,,,,,,,,1,1
Electrical & Computer Engr - ECE 7056 RSZ,,,,,,,,,1,1
Electrical & Computer Engr - ECE 7056 RSZ,A,B,C,D,F,I,S,U,V,W Aver. Total
Electrical & Computer Engr - ECE 8750 A,2,,,,,,,,,4.00 2
Electrical & Computer Engr - ECE 8751 A,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 8900 A10,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 B09,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 B25,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 B27,,,,,,,2,,,2
Electrical & Computer Engr - ECE 8900 C12,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 C13,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 C15,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 C16,,,,,,,3,,,3
Electrical & Computer Engr - ECE 8900 D09,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 E03,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 G04,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 I02,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 K06,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 M13,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 M19,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 N01,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 R01,,,,,,,4,,,4
Electrical & Computer Engr - ECE 8900 R03,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 R04,,,,,,,2,,,2
Electrical & Computer Engr - ECE 8900 R05,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 R11,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 S22,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 T02,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 T04,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 V01,,,,,,,,1,,1
Electrical & Computer Engr - ECE 8900 W01,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 Y03,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 Z07,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8901 N01,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 8902 D08,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 8902 R04,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 8903 A07,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 8903 B25,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 8903 D09,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 8903 D12,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 8903 E03,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 8903 H03,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 8903 L05,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 8903 M19,3,,,,,,,,,4.00 3
Electrical & Computer Engr - ECE 8903 P06,2,,,,,,,,,4.00 2
Electrical & Computer Engr - ECE 8903 R08,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 8903 R10,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 8903 T04,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 8903 W10,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 8903 Y02,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 8903 Z07,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 8997 ATL,,,,,,,,,41,41
Electrical & Computer Engr - ECE 8998 ATL,,,,,,,,,257,257
Electrical & Computer Engr - ECE 8999 ATL,,,,,,,13,,,13
Electrical & Computer Engr - ECE 9000 308,,,,,,,3,,,3
Electrical & Computer Engr - ECE 9000 309,,,,,,,5,,,5
Electrical & Computer Engr - ECE 9000 310,,,,,,,1,,,1
Electrical & Computer Engr - ECE 9000 314,,,,,,,1,,,1
Electrical & Computer Engr - ECE 9000 320,,,,,,,1,,,1
Electrical & Computer Engr - ECE 9000 A01,,,,,,,4,,,4
Electrical & Computer Engr - ECE 9000 A07,,,,,,,8,,,8
Electrical & Computer Engr - ECE 9000 A07,A,B,C,D,F,I,S,U,V,W Aver. Total
Electrical & Computer Engr - ECE 9000 A08,,,,,,,7,,,7
Electrical & Computer Engr - ECE 9000 A09,,,,,,,10,,,10
Electrical & Computer Engr - ECE 9000 A11,,,,,,,8,,,8
Electrical & Computer Engr - ECE 9000 A12,,,,,,,3,,,3
Electrical & Computer Engr - ECE 9000 A13,,,,,,,1,,,1
Electrical & Computer Engr - ECE 9000 B11,,,,,,,1,,,1
Electrical & Computer Engr - ECE 9000 B15,,,,,,,5,,,5
Electrical & Computer Engr - ECE 9000 B16,,,,,,,1,,,1
Electrical & Computer Engr - ECE 9000 B18,,,,,,,2,,,2
Electrical & Computer Engr - ECE 9000 B21,,,,,,,7,,,7
Electrical & Computer Engr - ECE 9000 B22,,,,,,,1,,,1
Electrical & Computer Engr - ECE 9000 B23,,,,,,,3,,,3
Electrical & Computer Engr - ECE 9000 B25,,,,,,,3,,,3
Electrical & Computer Engr - ECE 9000 C02,,,,,,,4,,,4
Electrical & Computer Engr - ECE 9000 C03,,,,,,,3,,,3
Electrical & Computer Engr - ECE 9000 C05,,,,,,,,1,,1
Electrical & Computer Engr - ECE 9000 C08,,,,,,,2,,,2
Electrical & Computer Engr - ECE 9000 C10,,,,,,,8,,,8
Electrical & Computer Engr - ECE 9000 C11,,,,,,,2,,,2
Electrical & Computer Engr - ECE 9000 C12,,,,,,,2,,,2
Electrical & Computer Engr - ECE 9000 C13,,,,,,,1,,,1
Electrical & Computer Engr - ECE 9000 C14,,,,,,,3,,,3
Electrical & Computer Engr - ECE 9000 C15,,,,,,,1,,,1
Electrical & Computer Engr - ECE 9000 C16,,,,,,,2,,,2
Electrical & Computer Engr - ECE 9000 D02,,,,,,,2,,,2
Electrical & Computer Engr - ECE 9000 D06,,,,,,,3,1,,4
Electrical & Computer Engr - ECE 9000 D07,,,,,,,2,,,2
Electrical & Computer Engr - ECE 9000 D08,,,,,,,4,,,4
Electrical & Computer Engr - ECE 9000 D09,,,,,,,4,,,4
Electrical & Computer Engr - ECE 9000 D10,,,,,,,2,,,2
Electrical & Computer Engr - ECE 9000 D12,,,,,,,4,,,4
Electrical & Computer Engr - ECE 9000 E01,,,,,,,5,,,5
Electrical & Computer Engr - ECE 9000 E04,,,,,,,1,,,1
Electrical & Computer Engr - ECE 9000 F04,,,,,,,6,,,6
Electrical & Computer Engr - ECE 9000 F08,,,,,,,1,,,1
Electrical & Computer Engr - ECE 9000 G01,,,,,,,1,,,1
Electrical & Computer Engr - ECE 9000 G04,,,,,,,8,,,8
Electrical & Computer Engr - ECE 9000 G05,,,,,,,3,,,3
Electrical & Computer Engr - ECE 9000 G06,,,,,,,1,,,1
Electrical & Computer Engr - ECE 9000 H01,,,,,,,2,,,2
Electrical & Computer Engr - ECE 9000 H03,,,,,,,3,,,3
Electrical & Computer Engr - ECE 9000 H04,,,,,,,4,,,4
Electrical & Computer Engr - ECE 9000 H13,,,,,,,3,,,3
Electrical & Computer Engr - ECE 9000 I01,,,,,,,2,,,2
Electrical & Computer Engr - ECE 9000 I02,,,,,,,4,,,4
Electrical & Computer Engr - ECE 9000 J04,,,,,,,1,,,1
Electrical & Computer Engr - ECE 9000 K02,,,,,,,1,,,1
Electrical & Computer Engr - ECE 9000 K05,,,,,,,3,,,3
Electrical & Computer Engr - ECE 9000 K06,,,,,,,7,,,7
Electrical & Computer Engr - ECE 9000 K10,,,,,,,1,,,1
Electrical & Computer Engr - ECE 9000 K13,,,,,,,1,,,1
Electrical & Computer Engr - ECE 9000 L04,,,,,,,2,,,2
Electrical & Computer Engr - ECE 9000 L05,,,,,,,3,,,3
Electrical & Computer Engr - ECE 9000 L06,,,,,,,1,,,1
Electrical & Computer Engr - ECE 9000 L08,,,,,,,1,,,1
Electrical & Computer Engr - ECE 9000 M04,,,,,,,5,,,5
Electrical & Computer Engr - ECE 9000 M07,,,,,,,9,,,9
Electrical & Computer Engr - ECE 9000 M10,,,,,,,1,,,1
Electrical & Computer Engr - ECE 9000 M10,A,B,C,D,F,I,S,U,V,W Aver. Total
Electrical & Computer Engr - ECE 9000 M13,,,,,,,1,,,1
Electrical & Computer Engr - ECE 9000 M14,,,,,,,2,,,2
Electrical & Computer Engr - ECE 9000 M17,,,,,,,1,,,1
Electrical & Computer Engr - ECE 9000 M18,,,,,,,2,,,2
Electrical & Computer Engr - ECE 9000 M19,,,,,,,6,,,6
Electrical & Computer Engr - ECE 9000 N01,,,,,,,9,,,9
Electrical & Computer Engr - ECE 9000 O01,,,,,,,1,,,1
Electrical & Computer Engr - ECE 9000 P05,,,,,,,1,,,1
Electrical & Computer Engr - ECE 9000 Q01,,,,,,,1,,,1
Electrical & Computer Engr - ECE 9000 R03,,,,,,,4,,,4
Electrical & Computer Engr - ECE 9000 R04,,,,,,,3,,,3
Electrical & Computer Engr - ECE 9000 R05,,,,,,,5,,,5
Electrical & Computer Engr - ECE 9000 R08,,,,,,,6,,,6
Electrical & Computer Engr - ECE 9000 R09,,,,,,,4,,,4
Electrical & Computer Engr - ECE 9000 R11,,,,,,,2,,,2
Electrical & Computer Engr - ECE 9000 S05,,,,,,,2,,,2
Electrical & Computer Engr - ECE 9000 S08,,,,,,,1,,,1
Electrical & Computer Engr - ECE 9000 S10,,,,,,,2,,,2
Electrical & Computer Engr - ECE 9000 S11,,,,,,,1,,,1
Electrical & Computer Engr - ECE 9000 S18,,,,,,,3,,,3
Electrical & Computer Engr - ECE 9000 S19,,,,,,,3,,,3
Electrical & Computer Engr - ECE 9000 S22,,,,,,,2,,,2
Electrical & Computer Engr - ECE 9000 T01,,,,,,,1,,,1
Electrical & Computer Engr - ECE 9000 T02,,,,,,,5,,,5
Electrical & Computer Engr - ECE 9000 T04,,,,,,,9,,,9
Electrical & Computer Engr - ECE 9000 V03,,,,,,,3,,,3
Electrical & Computer Engr - ECE 9000 V06,,,,,,,2,,,2
Electrical & Computer Engr - ECE 9000 W03,,,,,,,1,,,1
Electrical & Computer Engr - ECE 9000 W08,,,,,,,1,,,1
Electrical & Computer Engr - ECE 9000 W10,,,,,,,9,,,9
Electrical & Computer Engr - ECE 9000 Y01,,,,,,,5,,,5
Electrical & Computer Engr - ECE 9000 Y02,,,,,,,4,,,4
Electrical & Computer Engr - ECE 9000 Y03,,,,,,,1,,,1
Electrical & Computer Engr - ECE 9000 Z05,,,,,,,3,,,3
Electrical & Computer Engr - ECE 9000 Z06,,,,,,,8,,,8
Electrical & Computer Engr - ECE 9000 Z07,,,,,,,3,,,3
English - ENGL 1101 SF1,12,7,1,,1,,,,,3.38 21
English - ENGL 1101 SF2,16,9,,,,,,,,3.64 25
English - ENGL 1101 SF3,18,7,,,,,,,,3.72 25
English - ENGL 1101 SF4,18,7,,,,,,,,3.72 25
English - ENGL 1102 LS,11,2,,,,,,,,1 3.85 14
English - ENGL 1102 LS2,5,1,,,,,,,,3 3.83 9
English - ENGL 1102 QUP,3,3,,,1,,,,,1 3.00 8
English - ENGL 1102 SF1,23,1,,,,,,,,3.96 24
English - ENGL 1102 SF2,9,3,,,,,,,,3.75 12
French - FREN 1001 C,6,,,,,,,,,4.00 6
French - FREN 1001 G,5,1,,,1,,,,,3.29 7
French - FREN 1001 R,23,,,,,,,,,4.00 23
French - FREN 1001 R2,6,1,,,,,,,,3.86 7
French - FREN 1001 R3,19,,,,,,1,,,4.00 20
French - FREN 1001 R4,19,,,,,,,,,4.00 19
French - FREN 1001 RBT,8,,,,,,,,,4.00 8
French - FREN 1002 F,3,3,,,,,,,,3.50 6
French - FREN 1002 R,16,3,,,,,,,,3.84 19
French - FREN 2001 R,9,,,,,,,,,4.00 9
French - FREN 2005 RLY,2,,,,,,,,,4.00 2
French - FREN 3014 R,2,,,,,,,,,4.00 2
French - FREN 3691 RLY,20,,,,,,,,,4.00 20
French - FREN 3691 RLY,A,B,C,D,F,I,S,U,V,W Aver. Total
French - FREN 3692 RLY,18,,,,,,,,,4.00 18
French - FREN 3693 RLY,18,,,,,,,,,4.00 18
French - FREN 3694 RLY,17,,,,,,,,,4.00 17
French - FREN 3813 F,3,,,,,,,,,4.00 3
Georgia Tech - GT 2100 A,,,,,,,12,,,12
Georgia Tech - GT 2694 A,,,,,,,,,4,4
Georgia Tech - GT 4694 A,,,,,,,,,36,36
German - GRMN 1001 B,6,,,,,,1,,,4.00 7
German - GRMN 1002 B,9,2,,,,,2,,,2 3.82 15
German - GRMN 2001 E,3,1,,,,,1,,1,3.75 6
German - GRMN 3695 RGR,17,6,,,,,,,,3.74 23
German - GRMN 3696 RGR,14,8,1,,,,,,,3.57 23
German - GRMN 4691 RGR,12,10,,,,,,,,1 3.55 23
German - GRMN 4693 RGR,16,4,,,,,,,,3.80 20
History - HIST 2111 A,7,4,1,,,,,,,2 3.50 14
History - HIST 2111 B,5,3,,,,,,,,1 3.63 9
History - HIST 2111 SF,19,6,,,,,,,,3.76 25
History - HIST 2112 A,6,9,4,,,,,,,1 3.11 20
History - HIST 2112 B,26,6,4,,,,,,,3.61 36
History - HIST 2112 QUP,35,11,1,1,,,,,,3.67 48
History - HIST 2112 SF,58,10,4,2,1,,,,,3.63 75
"History, Technology & Society - HTS 2007 A",11,4,1,1,,,,,,3.47 17
"History, Technology & Society - HTS 2037 R.",29,14,5,,,,,,,3.50 48
"History, Technology & Society - HTS 2037 R.",32,12,2,1,,,,,,3.60 47
"History, Technology & Society - HTS 2041 A",2,2,2,,,,,,,3.00 6
"History, Technology & Society - HTS 2041 S.",13,5,,,,,,,,3.72 18
"History, Technology & Society - HTS 2061 R.",17,15,,,,,,,,3.53 32
"History, Technology & Society - HTS 2062 R.",9,23,1,,,,,,,3.24 33
"History, Technology & Society - HTS 2080 R",26,8,,,,,,,,3.76 34
"History, Technology & Society - HTS 2084 R.",25,6,,,,,,,,3.81 31
"History, Technology & Society - HTS 2084 R.",7,3,,,,,,,,3.70 10
"History, Technology & Society - HTS 2085 A",9,6,,,,,,,,3.60 15
"History, Technology & Society - HTS 2085 SF",16,6,1,,,,,,,3.65 23
"History, Technology & Society - HTS 2100 B",11,3,1,,1,,,,,1 3.44 17
"History, Technology & Society - HTS 2100 .",5,3,,,1,,1,,,2 3.22 12
"History, Technology & Society - HTS 2927 R",132,3,,,,,,,,3.98 135
"History, Technology & Society - HTS 3009 A",10,5,,,,,,,,2 3.67 17
"History, Technology & Society - HTS 3015 A",36,10,1,,,,7,,,1 3.74 55
"History, Technology & Society - HTS 3015 .",18,3,1,2,,,4,,,3 3.54 31
"History, Technology & Society - HTS 3033 R",3,15,1,,,,,,,3.11 19
"History, Technology & Society - HTS 3065 A",14,3,,,1,,1,,1,3.61 20
"History, Technology & Society - HTS 3068 A",5,1,,,,,1,,,3.83 7
"History, Technology & Society - HTS 3068 SF",25,1,,,,,,,,3.96 26
"History, Technology & Society - HTS 3089 .",15,1,,,,,2,,,3.94 18
"History, Technology & Society - HTS 4927 .",,,,,,,,,,1 1
"History, Technology & Society - HTS 4990 A",,,,,,,1,,,1
"History, Technology & Society - HTS 8902 .",,,,,,,,,,1 1
"History, Technology & Society - HTS 8997 A",,,,,,,,,2,2
"History, Technology & Society - HTS 8998 A",,,,,,,,,4,4
"History, Technology & Society - HTS 9000 A",,,,,,,7,,,7
Industrial & Systems Engr - ISYE 2027 A,13,17,11,2,3,,,,1,10 2.76 57
Industrial & Systems Engr - ISYE 2028 A,13,8,7,,,,,,,3.21 28
Industrial & Systems Engr - ISYE 2028 R,8,8,,,,,,,,3.50 16
Industrial & Systems Engr - ISYE 2028 RLI,7,2,,,,,,,,3.78 9
Industrial & Systems Engr - ISYE 2699 SOK,,,,,,,1,,,1
Industrial & Systems Engr - ISYE 3025 A,31,19,5,3,,,,,,9 3.34 67
Industrial & Systems Engr - ISYE 3039 A,11,8,5,,,,,,,4 3.25 28
Industrial & Systems Engr - ISYE 3039 R,21,7,1,,,,,,,3.69 29
Industrial & Systems Engr - ISYE 3039 R,A,B,C,D,F,I,S,U,V,W Aver. Total
Industrial & Systems Engr - ISYE 3044 A,15,17,7,,1,,,,,5 3.13 45
Industrial & Systems Engr - ISYE 3103 A,9,9,12,8,,,,,,2 2.50 40
Industrial & Systems Engr - ISYE 3103 R,10,19,4,,,,,,,3.18 33
Industrial & Systems Engr - ISYE 3104 A,9,20,9,1,1,,,,,1 2.88 41
Industrial & Systems Engr - ISYE 3133 A,23,22,12,7,1,,,,,2.91 65
Industrial & Systems Engr - ISYE 3133 QUP,3,2,4,1,,,,,,2 2.70 12
Industrial & Systems Engr - ISYE 3232 A,8,14,2,1,2,,,,,1 2.93 28
Industrial & Systems Engr - ISYE 3232 RLI,10,,,,,,,,,4.00 10
Industrial & Systems Engr - ISYE 3770 R1,17,10,5,1,1,,,,,3.21 34
Industrial & Systems Engr - ISYE 3770 R2,13,2,6,3,,,,,,3.04 24
Industrial & Systems Engr - ISYE 3770 RCH,5,8,,,,,,,,3.38 13
Industrial & Systems Engr - ISYE 3770 TB2,6,3,3,3,,,1,,,1 2.80 17
Industrial & Systems Engr - ISYE 3770 TBD,21,22,8,4,,,,,,2 3.09 57
Industrial & Systems Engr - ISYE 4311 Q,2,2,1,,,,,,,3.20 5
Industrial & Systems Engr - ISYE 4311 RSZ,3,,,,,,,,,4.00 3
Industrial & Systems Engr - ISYE 4698 ALE,,,,,,,,,1,1
Industrial & Systems Engr - ISYE 4698 SER,,,,,,,,,2,2
Industrial & Systems Engr - ISYE 4699 CHE,2,,,,,,,,,4.00 2
Industrial & Systems Engr - ISYE 4699 ELE,,,,,,,1,,,1
Industrial & Systems Engr - ISYE 4699 LEE,,,,,,,1,,,1
Industrial & Systems Engr - ISYE 4699 NAZ,,1,,,,,,,,3.00 1
Industrial & Systems Engr - ISYE 4699 RLI,,,,,,,3,,,3
Industrial & Systems Engr - ISYE 4699 XIE,,,,,,,1,,,1
Industrial & Systems Engr - ISYE 4800 A,,,,,,,,,161,2 163
Industrial & Systems Engr - ISYE 4800 Q,,,,,,,,,1,1
Industrial & Systems Engr - ISYE 4800 R,,,,,,,,,7,7
Industrial & Systems Engr - ISYE 4803 HSE,12,4,4,,,,,,,3.40 20
Industrial & Systems Engr - ISYE 4803 R1,14,5,,,,,,,,3.74 19
Industrial & Systems Engr - ISYE 4803 R2,14,19,,,,,,,,3.42 33
Industrial & Systems Engr - ISYE 4803 TBD,17,3,,,,,,,,3.85 20
Industrial & Systems Engr - ISYE 4813 R,4,9,1,,,,,,,3.21 14
Industrial & Systems Engr - ISYE 6227 Q,7,12,,,,,,,,3.37 19
Industrial & Systems Engr - ISYE 6227 RSZ,2,1,,,,,,,,3.67 3
Industrial & Systems Engr - ISYE 6341 A,33,3,,,,,,,,3.92 36
Industrial & Systems Engr - ISYE 6342 A,29,7,,,,,,,,3.81 36
Industrial & Systems Engr - ISYE 6414 Q,10,,,,,,,,,1 4.00 11
Industrial & Systems Engr - ISYE 6414 TBD,38,2,,,,,,,2,3.95 42
Industrial & Systems Engr - ISYE 6739 Q,10,,,,,,,,,4.00 10
Industrial & Systems Engr - ISYE 6748 AP1,15,,,,,,,,,4.00 15
Industrial & Systems Engr - ISYE 8803 Q,12,,,,,,,,,4.00 12
Industrial & Systems Engr - ISYE 8803 TBD,3,,,,,,,,,4.00 3
Industrial & Systems Engr - ISYE 8900 HAA,,,,,,,1,,,1
Industrial & Systems Engr - ISYE 8900 KE2,,,,,,,1,,,1
Industrial & Systems Engr - ISYE 8900 KES,,,,,1,,,,,0.00 1
Industrial & Systems Engr - ISYE 8900 MON,,,,,,,3,,,3
Industrial & Systems Engr - ISYE 8900 NAZ,,,,,,,1,,,1
Industrial & Systems Engr - ISYE 8900 STR,1,,,,,,,,,4.00 1
Industrial & Systems Engr - ISYE 8901 POK,,,,,,,1,,,1
Industrial & Systems Engr - ISYE 8901 SOK,,,,,,,1,,,1
Industrial & Systems Engr - ISYE 8901 STR,,,,,,,2,,,2
Industrial & Systems Engr - ISYE 8901 TOR,,,,,,,1,,,1
Industrial & Systems Engr - ISYE 9000 AHM,,,,,,,2,,,2
Industrial & Systems Engr - ISYE 9000 AND,,,,,,,1,,,1
Industrial & Systems Engr - ISYE 9000 AYE,,,,,,,2,,,2
Industrial & Systems Engr - ISYE 9000 AYH,,,,,,,1,,,1
Industrial & Systems Engr - ISYE 9000 DEY,,,,,,,3,,,3
Industrial & Systems Engr - ISYE 9000 DIA,,,,,,,1,,,1
Industrial & Systems Engr - ISYE 9000 ERE,,,,,,,2,,,2
Industrial & Systems Engr - ISYE 9000 ERE,A,B,C,D,F,I,S,U,V,W Aver. Total
Industrial & Systems Engr - ISYE 9000 GD1,,,,,,,1,,,1
Industrial & Systems Engr - ISYE 9000 GD2,,,,,,,1,,,1
Industrial & Systems Engr - ISYE 9000 GEB,,,,,,,5,,,5
Industrial & Systems Engr - ISYE 9000 GRI,,,,,,,,,,1 1
Industrial & Systems Engr - ISYE 9000 HAA,,,,,,,1,,,1
Industrial & Systems Engr - ISYE 9000 HUO,,,,,,,1,,,1
Industrial & Systems Engr - ISYE 9000 KES,,,,,,,5,,,5
Industrial & Systems Engr - ISYE 9000 KIM,,,,,,,1,,,1
Industrial & Systems Engr - ISYE 9000 LAN,,,,,,,3,,,3
Industrial & Systems Engr - ISYE 9000 LEE,,,,,,,3,,,3
Industrial & Systems Engr - ISYE 9000 LUJ,,,,,,,1,,,1
Industrial & Systems Engr - ISYE 9000 MEI,,,,,,,3,,,3
Industrial & Systems Engr - ISYE 9000 MTR,,,,,,,3,,,3
Industrial & Systems Engr - ISYE 9000 NAZ,,,,,,,1,,,1
Industrial & Systems Engr - ISYE 9000 NM1,,,,,,,1,,,1
Industrial & Systems Engr - ISYE 9000 PAY,,,,,,,3,,,3
Industrial & Systems Engr - ISYE 9000 POK,,,,,,,1,,,1
Industrial & Systems Engr - ISYE 9000 REV,,,,,,,2,,,2
Industrial & Systems Engr - ISYE 9000 SAV,,,,,,,4,,,4
Industrial & Systems Engr - ISYE 9000 SER,,,,,,,3,,,3
Industrial & Systems Engr - ISYE 9000 SHI,,,,,,,4,,,4
Industrial & Systems Engr - ISYE 9000 SUN,,,,,,,2,,,2
