"",A,B,C,D,F,I,S,U,V,W Aver. Tota
Aerospace Engineering - AE 3140 A,14,19,23,4,1,,,,,12 2.67 73
Aerospace Engineering - AE 3330 A,16,15,9,1,,,,,,1 3.12 42
Aerospace Engineering - AE 3330 B,28,21,17,2,,,,,,2 3.10 70
Aerospace Engineering - AE 3355 CLA,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 3355 MAV,6,,,,,,,,,1 4.00 7
Aerospace Engineering - AE 3515 A,12,12,24,7,5,,,,,5 2.32 65
Aerospace Engineering - AE 3521 A,23,28,19,,1,,,,,3.01 71
Aerospace Engineering - AE 3521 B,13,15,2,,1,,,,1,2 3.26 34
Aerospace Engineering - AE 3530 A,18,25,16,11,1,,,,,6 2.68 77
Aerospace Engineering - AE 3610 A,7,2,,,,,,,,3.78 9
Aerospace Engineering - AE 3610 BB,2,2,1,2,,,,,,2 2.57 9
Aerospace Engineering - AE 3610 C,6,2,1,,1,,,,,3.20 10
Aerospace Engineering - AE 3610 D,7,,2,,,,,,,1 3.56 10
Aerospace Engineering - AE 3610 E,5,3,2,,,,,,,3.30 10
Aerospace Engineering - AE 3610 F,7,1,3,,,,,,,3.36 11
Aerospace Engineering - AE 3610 G,6,4,,,,,,,,2 3.60 12
Aerospace Engineering - AE 3610 H,2,1,1,1,,,,,,2.80 5
Aerospace Engineering - AE 3610 H,A,B,C,D,F,I,S,U,V,W Aver. Tota
Aerospace Engineering - AE 3610 I,,3,2,,,,,,,1 2.60 6
Aerospace Engineering - AE 3801 A,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 4070 A,7,,,,,,,,,1 4.00 8
Aerospace Engineering - AE 4220 A,30,29,22,7,4,,,,1,2 2.80 95
Aerospace Engineering - AE 4350 A,27,9,8,4,1,,,,,3.16 49
Aerospace Engineering - AE 4350 B,8,12,9,,1,,,,,3 2.87 33
Aerospace Engineering - AE 4350 IP,,2,,,,,,,,3.00 2
Aerospace Engineering - AE 4355 CLA,4,,,,,,,,,4.00 4
Aerospace Engineering - AE 4355 MAV,5,,,,,,,,,4.00 5
Aerospace Engineering - AE 4357 A,20,33,,,,,,,,3.38 53
Aerospace Engineering - AE 4357 B,29,21,,,,,,,,3.58 50
Aerospace Engineering - AE 4357 IP,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4357 IP2,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4358 A,15,5,2,1,,,,,,3.48 23
Aerospace Engineering - AE 4451 A,18,23,19,4,1,,,,,4 2.82 69
Aerospace Engineering - AE 4451 B,24,8,9,1,5,,,,,13 2.96 60
Aerospace Engineering - AE 4525 A,3,12,5,,,,,,,2.90 20
Aerospace Engineering - AE 4525 B,7,9,4,,,,,,,3.15 20
Aerospace Engineering - AE 4525 C,5,10,3,,,,,,,3.11 18
Aerospace Engineering - AE 4525 D,4,9,6,1,,,,,,2.80 20
Aerospace Engineering - AE 4525 E,6,11,3,,,,,,,3.15 20
Aerospace Engineering - AE 4698 FER,,,,,,,,,1,1
Aerospace Engineering - AE 4698 GUN,,,,,,,,,1,1
Aerospace Engineering - AE 4698 HOL,,,,,,,,,2,2
Aerospace Engineering - AE 4698 RIM,,,,,,,,,1,1
Aerospace Engineering - AE 4698 SAN,,,,,,,,,1,1
Aerospace Engineering - AE 4698 SMI,,,,,,,,,1,1
Aerospace Engineering - AE 4698 THE,,,,,,,,,1,1
Aerospace Engineering - AE 4698 WAL,,,,,,,,,1,1
Aerospace Engineering - AE 4699 BRA,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 4699 CLA,5,,,,,,,,,4.00 5
Aerospace Engineering - AE 4699 COS,6,,1,,,,,,,3.71 7
Aerospace Engineering - AE 4699 FEI,7,,,,,,,,,4.00 7
Aerospace Engineering - AE 4699 FER,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 GER,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 4699 GUN,17,,,,,,,,,4.00 17
Aerospace Engineering - AE 4699 HOL,19,3,,,,,,,,3.86 22
Aerospace Engineering - AE 4699 JAG,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 JOH,4,,,,,,,,,4.00 4
Aerospace Engineering - AE 4699 KOM,6,,,,,,,,,4.00 6
Aerospace Engineering - AE 4699 LIE,5,,,,,,,,,4.00 5
Aerospace Engineering - AE 4699 LIG,14,,,,,,,,,1 4.00 15
Aerospace Engineering - AE 4699 MAV,56,1,,,,,,,,1 3.98 58
Aerospace Engineering - AE 4699 MEN,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 4699 PRA,1,,,,,,,,,1 4.00 2
Aerospace Engineering - AE 4699 RIM,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 SAL,2,,,,,,,,,1 4.00 3
Aerospace Engineering - AE 4699 SAN,3,1,,,,,,,,3.75 4
Aerospace Engineering - AE 4699 SCH,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 4699 SEI,4,,,,,,,,,4.00 4
Aerospace Engineering - AE 4699 SMI,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 4699 SUN,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 THE,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 TSI,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 WAL,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 4699 ZIN,3,1,,,,,,,,3.75 4
Aerospace Engineering - AE 4760 A,6,1,,,,,,,,1 3.86 8
Aerospace Engineering - AE 4791 A,6,1,4,1,,,,,,3.00 12
Aerospace Engineering - AE 4791 A,A,B,C,D,F,I,S,U,V,W Aver. Tota
Aerospace Engineering - AE 4791 Q,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4803 QJA,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4803 SAL,20,5,1,,,,1,,,2 3.73 29
Aerospace Engineering - AE 6009 A,20,25,5,1,,,,,2,2 3.25 55
Aerospace Engineering - AE 6009 Q,1,2,,,,,,,1,3.33 4
Aerospace Engineering - AE 6030 Q,7,1,1,,,,,,,1 3.67 10
Aerospace Engineering - AE 6070 A,21,,,,,,,,,2 4.00 23
Aerospace Engineering - AE 6070 Q,4,,,,,,,,,4.00 4
Aerospace Engineering - AE 6070 R,4,,,,,,,,,4.00 4
Aerospace Engineering - AE 6080 A,5,1,,,,,,,4,1 3.83 11
Aerospace Engineering - AE 6114 A,26,5,,,,,,,3,3 3.84 37
Aerospace Engineering - AE 6170 A,17,9,1,,,,,,1,1 3.59 29
Aerospace Engineering - AE 6230 A,18,2,,,,,,,,3.90 20
Aerospace Engineering - AE 6333 A,14,,,,,,,,1,1 4.00 16
Aerospace Engineering - AE 6333 Q,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 6343 A,38,21,1,,,,,,4,3 3.62 67
Aerospace Engineering - AE 6343 Q,5,1,,,,,,,,3 3.83 9
Aerospace Engineering - AE 6343 R,16,11,,,,,,,,3.59 27
Aerospace Engineering - AE 6353 A,17,9,5,,,,,1,,4 3.39 36
Aerospace Engineering - AE 6353 Q,4,2,,,,,,,,1 3.67 7
Aerospace Engineering - AE 6372 A,63,,,,,,,,2,1 4.00 66
Aerospace Engineering - AE 6372 Q,6,,,,,,,,,4.00 6
Aerospace Engineering - AE 6373 A,53,5,,,,,,,,1 3.91 59
Aerospace Engineering - AE 6383 MAV,52,,,,,,,,,4.00 52
Aerospace Engineering - AE 6383 SCH,9,,,,,,,,,4.00 9
Aerospace Engineering - AE 6503 Q,4,,,,,,,,,4.00 4
Aerospace Engineering - AE 6511 A,24,6,1,,,,,,1,4 3.74 36
Aerospace Engineering - AE 6530 A,7,7,6,2,3,,,,5,5 2.52 35
Aerospace Engineering - AE 6551 A,6,1,,,,,,,,1 3.86 8
Aerospace Engineering - AE 6701 Q,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 6761 A,6,,,,,,,,,4.00 6
Aerospace Engineering - AE 6765 A,17,19,1,,1,1,,,,5 3.34 44
Aerospace Engineering - AE 6765 Q,,1,,,,,,,,3.00 1
Aerospace Engineering - AE 6769 A,3,1,,,,,,,,3.75 4
Aerospace Engineering - AE 7000 AHU,,,,,,,2,,,2
Aerospace Engineering - AE 7000 BRA,,,,,,,3,,,3
Aerospace Engineering - AE 7000 CLA,,,,,,,3,,,3
Aerospace Engineering - AE 7000 COS,,,,,,,4,,,4
Aerospace Engineering - AE 7000 FER,,,,,,,4,,,4
Aerospace Engineering - AE 7000 GER,,,,,,,1,,,1
Aerospace Engineering - AE 7000 GUN,,,,,,,3,,,3
Aerospace Engineering - AE 7000 HOL,,,,,,,6,,,6
Aerospace Engineering - AE 7000 JAG,,,,,,,8,,,8
Aerospace Engineering - AE 7000 JOH,,,,,,,3,,,3
Aerospace Engineering - AE 7000 KAR,,,,,,,2,,,2
Aerospace Engineering - AE 7000 KEN,,,,,,,4,,,4
Aerospace Engineering - AE 7000 LIE,,,,,,,7,,,7
Aerospace Engineering - AE 7000 LIG,,,,,,,6,,,6
Aerospace Engineering - AE 7000 MAV,,,,,,,57,,,57
Aerospace Engineering - AE 7000 MEN,,,,,,,2,,,2
Aerospace Engineering - AE 7000 PRA,,,,,,,6,,,6
Aerospace Engineering - AE 7000 PRI,,,,,,,3,,,3
Aerospace Engineering - AE 7000 QMA,,,,,,,2,,,2
Aerospace Engineering - AE 7000 QWI,,,,,,,1,,,1
Aerospace Engineering - AE 7000 RIM,,,,,,,2,,,2
Aerospace Engineering - AE 7000 RUF,,,,,,,2,,,2
Aerospace Engineering - AE 7000 RUZ,,,,,,,2,,,2
Aerospace Engineering - AE 7000 SAL,,,,,,,2,,,2
Aerospace Engineering - AE 7000 SAL,A,B,C,D,F,I,S,U,V,W Aver. Tota
Aerospace Engineering - AE 7000 SAN,,,,,,,4,,,4
Aerospace Engineering - AE 7000 SCH,,,,,,,2,,,2
Aerospace Engineering - AE 7000 SEI,,,,,,,4,,,4
Aerospace Engineering - AE 7000 SMI,,,,,,,7,,,7
Aerospace Engineering - AE 7000 SUN,,,,,,,3,,,3
Aerospace Engineering - AE 7000 TSI,,,,,,,3,,,3
Aerospace Engineering - AE 7000 WAL,,,,,,,3,,,3
Aerospace Engineering - AE 7000 YEU,,,,,,,2,,,2
Aerospace Engineering - AE 7772 A,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 7772 Q,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 7785 HC,10,,,,,,,,,4.00 10
Aerospace Engineering - AE 8801 QMA,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8803 QJ1,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8803 QJA,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8803 TS1,10,,,,,,,,1,4.00 11
Aerospace Engineering - AE 8804 QMA,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 BRA,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 CLA,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 GUN,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 KEN,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 MAV,9,,,,,,,,,4.00 9
Aerospace Engineering - AE 8900 QSA,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 QSM,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 8900 RUF,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 RUZ,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 8900 SAN,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 SMI,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 8900 SUN,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 8900 THE,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 8900 TSI,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 YEU,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 9000 AHU,,,,,,,3,,,3
Aerospace Engineering - AE 9000 BRA,,,,,,,9,,,9
Aerospace Engineering - AE 9000 CLA,,,,,,,3,,,3
Aerospace Engineering - AE 9000 COS,,,,,,,1,1,,1 3
Aerospace Engineering - AE 9000 FEI,,,,,,,5,,,5
Aerospace Engineering - AE 9000 GER,,,,,,,6,,,6
Aerospace Engineering - AE 9000 GUN,,,,,,,2,1,,3
Aerospace Engineering - AE 9000 HAD,,,,,,,3,,,3
Aerospace Engineering - AE 9000 HOD,,,,,,,5,,,5
Aerospace Engineering - AE 9000 HOL,,,,,,,3,,,1 4
Aerospace Engineering - AE 9000 JAG,,,,,,,2,,,2
Aerospace Engineering - AE 9000 JOH,,,,,,,11,,,11
Aerospace Engineering - AE 9000 KAR,,,,,,,3,,,3
Aerospace Engineering - AE 9000 KEN,,,,,,,2,,,2
Aerospace Engineering - AE 9000 KOM,,,,,,,2,,,2
Aerospace Engineering - AE 9000 LIE,,,,,,,9,,,9
Aerospace Engineering - AE 9000 LIG,,,,,,,3,,,3
Aerospace Engineering - AE 9000 MAV,,,,,,,96,,,96
Aerospace Engineering - AE 9000 MEN,,,,,,,11,,,11
Aerospace Engineering - AE 9000 PRA,,,,,,,3,,,3
Aerospace Engineering - AE 9000 PRI,,,,,,,2,,,2
Aerospace Engineering - AE 9000 QBR,,,,,,,1,,,1
Aerospace Engineering - AE 9000 QMA,,,,,,,2,,,2
Aerospace Engineering - AE 9000 QSC,,,,,,,1,,,1
Aerospace Engineering - AE 9000 QWI,,,,,,,1,,,1
Aerospace Engineering - AE 9000 RIM,,,,,,,4,,,4
Aerospace Engineering - AE 9000 RUF,,,,,,,4,,,4
Aerospace Engineering - AE 9000 RUF,A,B,C,D,F,I,S,U,V,W Aver. Tota
Aerospace Engineering - AE 9000 RUZ,,,,,,,1,,,1
Aerospace Engineering - AE 9000 SCH,,,,,,,3,,,3
Aerospace Engineering - AE 9000 SEI,,,,,,,4,,,4
Aerospace Engineering - AE 9000 SMI,,,,,,,4,,,4
Aerospace Engineering - AE 9000 SPE,,,,,,,1,,,1
Aerospace Engineering - AE 9000 SUN,,,,,,,4,,,4
Aerospace Engineering - AE 9000 THE,,,,,,,7,,,7
Aerospace Engineering - AE 9000 TSI,,,,,,,11,,,11
Aerospace Engineering - AE 9000 WAL,,,,,,,3,,,3
Aerospace Engineering - AE 9000 YAN,,,,,,,10,,,10
Aerospace Engineering - AE 9000 YEU,,,,,,,2,,,2
Aerospace Engineering - AE 9000 YU,,,,,,,2,,,2
Aerospace Engineering - AE 9000 ZIN,,,,,,,3,,,3
Air Force Aerospace Studies - AS 1110 A,18,12,1,,3,,,,,5 3.24 39
Air Force Aerospace Studies - AS 1110 B,10,5,3,,2,,,,,2 3.05 22
Air Force Aerospace Studies - AS 1111 A,,,,,,,35,1,,4 40
Air Force Aerospace Studies - AS 2210 A,31,2,,,,,,,,3 3.94 36
Air Force Aerospace Studies - AS 2210 B,9,,,,,,,,,1 4.00 10
Air Force Aerospace Studies - AS 2211 A,,,,,,,37,,,3 40
Air Force Aerospace Studies - AS 3310 A,5,7,2,1,,,,,,3.07 15
Air Force Aerospace Studies - AS 3311 A,,,,,,,15,,,15
Air Force Aerospace Studies - AS 4410 A,18,5,,,,,,,,3.78 23
Air Force Aerospace Studies - AS 4411 A,,,,,,,29,,,29
Applied Physiology - APPH 1040 A,152,72,14,3,,,,,,5 3.55 246
Applied Physiology - APPH 1040 E,169,66,17,3,,,,,,1 3.57 256
Applied Physiology - APPH 1040 J,190,52,13,1,,,,,,4 3.68 260
Applied Physiology - APPH 1040 L,182,61,7,1,,,,,,9 3.69 260
Applied Physiology - APPH 1050 BF1,10,12,1,1,1,,,,,3.16 25
Applied Physiology - APPH 1050 BF2,10,12,2,1,,,,,,3.24 25
Applied Physiology - APPH 1050 BR1,17,18,4,,,,,,,1 3.33 40
Applied Physiology - APPH 1050 BWT,7,15,1,,,,,,,2 3.26 25
Applied Physiology - APPH 1050 BYO,14,8,1,,,1,,,,1 3.57 25
Applied Physiology - APPH 1050 HPF,29,3,,,1,,,,,1 3.79 34
Applied Physiology - APPH 1050 HPR,23,2,,,,,,,,3.92 25
Applied Physiology - APPH 1050 HPY,22,2,,,,,,,,3.92 24
Applied Physiology - APPH 2699 BP,1,,,,,,,,,4.00 1
Applied Physiology - APPH 2699 LW,1,,,,,,,,,4.00 1
Applied Physiology - APPH 2699 YJ,2,,,,,,,,,4.00 2
Applied Physiology - APPH 3000 A,7,3,,,,,,,,3.70 10
Applied Physiology - APPH 3753 A,36,26,9,3,,,,,,6 3.28 80
Applied Physiology - APPH 3754 A,17,3,2,,1,,,,,1 3.52 24
Applied Physiology - APPH 3754 B,5,12,1,,,,1,,,4 3.22 23
Applied Physiology - APPH 4100 B,6,1,,,,,,,,3.86 7
Applied Physiology - APPH 4200 A,6,5,2,1,,,,,,3.14 14
Applied Physiology - APPH 4400 A,5,3,4,,,,,,,4 3.08 16
Applied Physiology - APPH 4698 MMS,,,,,,,,,1,1
Applied Physiology - APPH 4699 BP,3,,,,,,,,,4.00 3
Applied Physiology - APPH 4699 CH,1,,,,,,,,,4.00 1
Applied Physiology - APPH 4699 MMS,4,1,,,,,,,,3.80 5
Applied Physiology - APPH 4699 MS,2,,,,,,,,,4.00 2
Applied Physiology - APPH 4699 RN,2,,,,,,,,,4.00 2
Applied Physiology - APPH 4699 YJ,2,,,,1,,,,,2.67 3
Applied Physiology - APPH 4801 A,2,,,,,,,,,1 4.00 3
Applied Physiology - APPH 4803 BP,,3,,,,,,,,1 3.00 4
Applied Physiology - APPH 4803 YJ,2,,,,,,,,,4.00 2
Applied Physiology - APPH 6202 A,15,4,,,,,,,,3.79 19
Applied Physiology - APPH 6209 A,,,,,,,14,,,14
Applied Physiology - APPH 6211 A,4,3,,,,,,,,2 3.57 9
Applied Physiology - APPH 6211 A,A,B,C,D,F,I,S,U,V,W Aver. Tota
Applied Physiology - APPH 6213 A,1,2,1,,,,,,,3.00 4
Applied Physiology - APPH 6214 BP,1,,,,,,,,,4.00 1
Applied Physiology - APPH 6214 TC,1,,,,,,,,,4.00 1
Applied Physiology - APPH 6216 A,4,,,,,,,,,4.00 4
Applied Physiology - APPH 6231 A,2,1,,,,,,,,3.67 3
Applied Physiology - APPH 6400 A,2,,,,,,,,,4.00 2
Applied Physiology - APPH 6895 A,6,7,1,,,,,,,3.36 14
Applied Physiology - APPH 6971 A,14,,,,,,,,,4.00 14
Applied Physiology - APPH 6975 A,14,,,,,,,,,4.00 14
Applied Physiology - APPH 6982 A,12,,,,,,,,,4.00 12
Applied Physiology - APPH 6985 A,6,6,,,,,,,,3.50 12
Applied Physiology - APPH 6997 A,,,,,,,12,,,12
Applied Physiology - APPH 6999 A,,,,,,,14,,,14
Applied Physiology - APPH 6999 C,,,,,,,12,,,12
Applied Physiology - APPH 8000 A,2,,,,,,,,,4.00 2
Applied Physiology - APPH 8010 A,,,,,,,12,,,12
Applied Physiology - APPH 9000 BP,,,,,,,3,,,3
Applied Physiology - APPH 9000 EB,,,,,,,1,,,1
Applied Physiology - APPH 9000 LW,,,,,,,3,,,3
Applied Physiology - APPH 9000 MMS,,,,,,,2,,,2
Applied Physiology - APPH 9000 RN,,,,,,,3,,,3
Applied Physiology - APPH 9000 SS,,,,,,,1,,,1
Applied Physiology - APPH 9000 YC,,,,,,,2,,,2
Applied Systems Engineering - ASE 6001 Q,25,1,,,,,,,,3.96 26
Applied Systems Engineering - ASE 6004 Q,27,,,,,,,,,4.00 27
Applied Systems Engineering - ASE 6006 Q,23,1,,,,,,,,3.96 24
Applied Systems Engineering - ASE 6111 Q,12,,,,,,,,,4.00 12
Applied Systems Engineering - ASE 6121 Q,5,1,,,,,,,,3.83 6
Applied Systems Engineering - ASE 6131 Q,5,1,,,,,,,,3.83 6
Arabic - ARBC 1001 C,7,2,3,,,,,,,1 3.33 13
Arabic - ARBC 1001 E,6,2,1,2,,,2,,1,3.09 14
Arabic - ARBC 1501 F,14,1,,,,,1,,,1 3.93 17
Arabic - ARBC 2001 B,6,6,,,,,1,,2,2 3.50 17
Arabic - ARBC 3001 F,6,1,,,,,,,2,3.86 9
Architecture - ARCH 1009 AMA,13,11,,,,,,,,7 3.54 31
Architecture - ARCH 1009 PMA,9,10,1,,1,,,,,3 3.24 24
Architecture - ARCH 1060 BF,46,7,1,,,,,,,1 3.83 55
Architecture - ARCH 2011 KW,10,,,,,,,,,4.00 10
Architecture - ARCH 2011 LS,8,2,,,,,,,,3.80 10
Architecture - ARCH 2011 SG,8,2,,,,,,,,3.80 10
Architecture - ARCH 2111 LH,7,32,3,1,3,,11,,,3 2.85 60
Architecture - ARCH 2111 LH1,16,21,6,,1,,,,,3 3.16 47
Architecture - ARCH 2211 CR,26,5,1,,,,,,,3 3.78 35
Architecture - ARCH 2472 SG,2,,,,,,,,,4.00 2
Architecture - ARCH 2472 SO,28,1,,,,,,,,1 3.97 30
Architecture - ARCH 3011 CR,3,1,,,,,,,,3.75 4
Architecture - ARCH 3011 GJ,3,2,,,,,,,,3.60 5
Architecture - ARCH 3011 JK,2,2,,,,,,,,3.50 4
Architecture - ARCH 3011 JS,2,,1,,,,,,,3.33 3
Architecture - ARCH 3011 MR,2,2,1,,1,,,,,2.67 6
Architecture - ARCH 3011 R,8,2,,,,,,,,3.80 10
Architecture - ARCH 3115 HD,5,2,,,,,,,,3.71 7
Architecture - ARCH 3231 JB,8,10,6,1,2,,,,,1 2.78 28
Architecture - ARCH 4011 CR,3,,1,,,,,,,3.50 4
Architecture - ARCH 4011 GJ,4,1,,,,,,,,3.80 5
Architecture - ARCH 4011 JK,4,1,,,,,,,,3.80 5
Architecture - ARCH 4011 JS1,2,3,,,,,,,,3.40 5
Architecture - ARCH 4011 MR,3,,,,,,,,,4.00 3
Architecture - ARCH 4011 MR,A,B,C,D,F,I,S,U,V,W Aver. Tota
Architecture - ARCH 4011 R,3,1,,,,,,,,3.75 4
Architecture - ARCH 4107 LS,7,,,,,,,,,4.00 7
Architecture - ARCH 4129 JL,4,,,,,,,,,1 4.00 5
Architecture - ARCH 4151 RD1,18,9,2,,,,,,,1 3.55 30
Architecture - ARCH 4251 NC,10,9,4,2,,,,,,3.08 25
Architecture - ARCH 4315 SR,2,,,,,,,,,4.00 2
Architecture - ARCH 4411 LD,10,2,,,,,,,,1 3.83 13
Architecture - ARCH 4413 GJ,8,,,,,,,,,1 4.00 9
Architecture - ARCH 4803 AE,3,2,,,,,,,1,3.60 6
Architecture - ARCH 4803 CZ,11,1,,,,,,,,3.92 12
Architecture - ARCH 4803 DR,1,,,,,,,,,1 4.00 2
Architecture - ARCH 4803 JP,7,,,,,,,,,4.00 7
Architecture - ARCH 4803 KJ,6,,,,,,,,,4.00 6
Architecture - ARCH 4803 R,14,,,,,,,,,4.00 14
Architecture - ARCH 4803 RD,5,,,,,,,,,1 4.00 6
Architecture - ARCH 4804 R,4,10,,,,,,,,3.29 14
Architecture - ARCH 4821 R,9,5,,,,,,,,3.64 14
Architecture - ARCH 4833 AG,,,,,,1,,,,1
Architecture - ARCH 4833 DB,3,1,,,1,,,,,3.00 5
Architecture - ARCH 4833 RV,10,,,,,,,,,1 4.00 11
Architecture - ARCH 4833 SS,1,,,,,,,,,4.00 1
Architecture - ARCH 4833 TA2,6,,,,,,,,,4.00 6
Architecture - ARCH 4901 Q,1,,,,,,,,,4.00 1
Architecture - ARCH 4903 BB,1,,,,,,,,,4.00 1
Architecture - ARCH 4903 DB,1,,,,,,,,,4.00 1
Architecture - ARCH 4903 LD,1,,,,,,,,,4.00 1
Architecture - ARCH 4903 LS,1,,,,,,,,,4.00 1
Architecture - ARCH 4903 LS1,,,,,,,,,,1 1
Architecture - ARCH 6024 BB,4,3,,,,,,,,3.57 7
Architecture - ARCH 6024 MM,2,2,1,,,,,,,3.20 5
Architecture - ARCH 6069 HH,7,2,2,1,,,,,,3.25 12
Architecture - ARCH 6069 JP,9,1,,,,,,,,3.90 10
Architecture - ARCH 6069 JP1,9,3,,,,,,,,3.75 12
Architecture - ARCH 6069 LA,6,3,,1,,,,,,3.40 10
Architecture - ARCH 6069 MG,4,7,1,,,,,,,3.25 12
Architecture - ARCH 6071 DB,8,,,,,,,,,4.00 8
Architecture - ARCH 6071 EDJ,1,,,,,,,,,4.00 1
Architecture - ARCH 6071 KK,6,2,,,1,,,,,3.33 9
Architecture - ARCH 6071 MS1,10,,,,,,,,,4.00 10
Architecture - ARCH 6071 WW,4,4,,,,,,,,3.50 8
Architecture - ARCH 6105 LH,4,5,,,,,,,,1 3.44 10
Architecture - ARCH 6107 LS,6,,,,,,,,,4.00 6
Architecture - ARCH 6129 JL,5,,,,,,,,,4.00 5
