"",A,B,C,D,F,I,S,U,V,W Aver. Tota
Accounting - ACCT 2101 A,9,6,8,2,3,,,,,3 2.57 31
Accounting - ACCT 2101 B,25,27,9,2,,,,,,1 3.19 64
Accounting - ACCT 2101 C,18,28,8,1,3,,1,,,2 2.98 61
Accounting - ACCT 2101 D,28,25,5,2,,,1,,,4 3.32 65
Accounting - ACCT 2101 E,26,25,8,1,,,,,,4 3.27 64
Accounting - ACCT 2102 A,30,19,12,7,,,,,,3 3.06 71
Accounting - ACCT 2102 B,26,31,10,3,,,1,,,4 3.14 75
Accounting - ACCT 2102 C,17,15,3,2,,,,,,3.27 37
Aerospace Engineering - AE 1355 CLA,5,,,,,,,,,4.00 5
Aerospace Engineering - AE 1355 MAV,11,,,,,,,,,4.00 11
Aerospace Engineering - AE 1601 A,31,11,1,,,,,,,1 3.70 44
Aerospace Engineering - AE 1601 B,37,2,,2,,,,,,1 3.80 42
Aerospace Engineering - AE 1601 C,35,6,,,,,,,,1 3.85 42
Aerospace Engineering - AE 2010 A,16,17,18,8,2,,,,,5 2.61 66
Aerospace Engineering - AE 2010 B,16,11,25,3,2,,,,,6 2.63 63
Aerospace Engineering - AE 2220 A,18,22,8,1,2,,,,,3 3.04 54
Aerospace Engineering - AE 2220 B,12,16,14,3,,,,,,7 2.82 52
Aerospace Engineering - AE 2220 R,6,4,,,,,,,,3.60 10
Aerospace Engineering - AE 2355 CLA,2,5,,,,,,,,3.29 7
Aerospace Engineering - AE 2355 MAV,9,,,,,,,,,4.00 9
Aerospace Engineering - AE 2610 A,9,7,1,,1,,,,,2 3.28 20
Aerospace Engineering - AE 2610 B2,15,4,,,,,,,,1 3.79 20
Aerospace Engineering - AE 2610 C,4,9,,,,,,,1,1 3.31 15
Aerospace Engineering - AE 2610 D,16,3,,,,,,,,1 3.84 20
Aerospace Engineering - AE 2610 E,13,6,1,,,,,,,3.60 20
Aerospace Engineering - AE 2611 A,75,8,5,,,,,,,3 3.80 91
Aerospace Engineering - AE 2698 MAV,,,,,,,,,1,1
Aerospace Engineering - AE 2699 CLA,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2699 COS,4,1,,,,,,,,3.80 5
Aerospace Engineering - AE 2699 FEI,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2699 GUN,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 2699 HOL,3,,,,,,,,,1 4.00 4
Aerospace Engineering - AE 2699 JOH,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2699 LIE,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 2699 MAV,21,,,,,,,,,4.00 21
Aerospace Engineering - AE 2699 RIM,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2699 SAN,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 2699 SPE,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 2699 WAL,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2801 A,,1,,,,,,,,3.00 1
Aerospace Engineering - AE 2802 A,1,1,2,,,,,,,2.75 4
Aerospace Engineering - AE 2802 B,1,1,,,,,,,,3.50 2
Aerospace Engineering - AE 3021 A,12,4,4,,4,,,,,2 2.83 26
Aerospace Engineering - AE 3021 B,24,22,28,7,6,,,,,3 2.59 90
Aerospace Engineering - AE 3051 A,8,5,4,,1,,,,,3.06 18
Aerospace Engineering - AE 3051 B,8,10,,,,,,,,3.44 18
Aerospace Engineering - AE 3051 C,9,5,3,,,,,,,1 3.35 18
Aerospace Engineering - AE 3051 D,9,4,1,2,1,,,,,1 3.06 18
Aerospace Engineering - AE 3051 E,8,5,3,,1,,,,,3.12 17
Aerospace Engineering - AE 3051 F,9,8,2,1,,,,,,3.25 20
Aerospace Engineering - AE 3051 G,6,3,1,1,,,,,,3.27 11
Aerospace Engineering - AE 3051 H,6,4,,,,,,,,3.60 10
Aerospace Engineering - AE 3051 I,4,2,3,,1,,,,,2.80 10
Aerospace Engineering - AE 3051 J,9,,1,,,,,,,3.80 10
Aerospace Engineering - AE 3051 K,3,5,1,,,,,,,3.22 9
Aerospace Engineering - AE 3051 L,,1,1,,,,,,1,2.50 3
Aerospace Engineering - AE 3125 A,18,22,16,,1,,,,,2 2.98 59
Aerospace Engineering - AE 3125 B,18,15,13,7,2,,,,,2 2.73 57
Aerospace Engineering - AE 3125 B,A,B,C,D,F,I,S,U,V,W Aver. Tota
Aerospace Engineering - AE 3145 A,18,3,,1,,,,,,3.73 22
Aerospace Engineering - AE 3145 B,15,5,1,,,,,,,1 3.67 22
Aerospace Engineering - AE 3145 C,17,4,,,1,,,,,3.64 22
Aerospace Engineering - AE 3145 D,16,6,,,,,,,,3.73 22
Aerospace Engineering - AE 3145 E,6,3,1,1,,,,,,2 3.27 13
Aerospace Engineering - AE 3145 F,13,2,,1,,,,,,3.69 16
Aerospace Engineering - AE 3145 G,8,3,,,,,,,,3.73 11
Aerospace Engineering - AE 3145 H,8,1,,,1,,,,,3.50 10
Aerospace Engineering - AE 3145 I,2,1,,,,,,,,3.67 3
Aerospace Engineering - AE 3310 A,14,7,3,1,,,,,,1 3.36 26
Aerospace Engineering - AE 3310 B,8,6,2,,1,,,,,3.18 17
Aerospace Engineering - AE 3310 R,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 3355 CLA,,3,,,,,,,,3.00 3
Aerospace Engineering - AE 3355 MAV,8,,,,,,,,,1 4.00 9
Aerospace Engineering - AE 3515 A,2,3,1,1,4,,,,,9 1.82 20
Aerospace Engineering - AE 3515 B,10,13,18,15,9,,,,2,4 2.00 71
Aerospace Engineering - AE 3515 R,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 3521 A,19,11,17,2,4,,,,,9 2.74 62
Aerospace Engineering - AE 3801 WAL,65,12,,1,,,,,,2 3.81 80
Aerospace Engineering - AE 4220 A,21,14,14,4,5,,,,,5 2.72 63
Aerospace Engineering - AE 4220 B,7,17,36,7,3,,,,,3 2.26 73
Aerospace Engineering - AE 4310 A,20,24,20,4,3,,,,,1 2.76 72
Aerospace Engineering - AE 4351 A,42,12,,,,,,,,3.78 54
Aerospace Engineering - AE 4351 B,25,16,,,,,,,,3.61 41
Aerospace Engineering - AE 4355 CLA,2,1,,,,,,,,3.67 3
Aerospace Engineering - AE 4355 MAV,10,,,,,,,,,4.00 10
Aerospace Engineering - AE 4356 A,25,24,,,,,,,,3.51 49
Aerospace Engineering - AE 4356 B,27,27,2,,,,,,,3.45 56
Aerospace Engineering - AE 4356 IP,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4359 A,14,,,,,,,,,4.00 14
Aerospace Engineering - AE 4451 A,19,23,31,4,4,,,,,4 2.60 85
Aerospace Engineering - AE 4525 A,1,12,6,,,,,,,2.74 19
Aerospace Engineering - AE 4525 B,6,9,4,,,,,,,3.11 19
Aerospace Engineering - AE 4525 C,5,10,4,,,,,,,3.05 19
Aerospace Engineering - AE 4525 D,9,2,6,1,1,,,,,1 2.89 20
Aerospace Engineering - AE 4525 E,9,11,,,,,,,,3.45 20
Aerospace Engineering - AE 4698 LIE,,,,,,,,,1,1
Aerospace Engineering - AE 4698 MAV,,,,,,,,,3,3
Aerospace Engineering - AE 4698 SMI,,,,,,,,,2,2
Aerospace Engineering - AE 4698 WAL,,,,,,,,,1,1
Aerospace Engineering - AE 4699 AHU,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 BRA,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 4699 CLA,5,,,,,,,,,4.00 5
Aerospace Engineering - AE 4699 COS,5,,,,,,,,,4.00 5
Aerospace Engineering - AE 4699 CRA,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 4699 FEI,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 4699 FER,,1,,,,,,,,3.00 1
Aerospace Engineering - AE 4699 GER,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 4699 GUN,21,1,,,,,,,,3.95 22
Aerospace Engineering - AE 4699 HOD,1,,,,1,,,,,2.00 2
Aerospace Engineering - AE 4699 HOL,22,,,,,,,,,4.00 22
Aerospace Engineering - AE 4699 JAG,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 JOH,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 4699 KEN,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 4699 KOM,8,,,,1,,,,,1 3.56 10
Aerospace Engineering - AE 4699 LIE,5,,,,,,,,,4.00 5
Aerospace Engineering - AE 4699 LIG,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 4699 MAV,43,,,,,,,,,1 4.00 44
Aerospace Engineering - AE 4699 MAV,A,B,C,D,F,I,S,U,V,W Aver. Tota
Aerospace Engineering - AE 4699 PRI,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 4699 R,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 4699 RIM,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 4699 SAL,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 SAN,4,2,,,,,,,,3.67 6
Aerospace Engineering - AE 4699 SCH,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 SEI,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 SMI,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 4699 SPE,19,,,,,,,,,4.00 19
Aerospace Engineering - AE 4699 SUN,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 THE,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 4699 TSI,3,3,,,,,,,,3.50 6
Aerospace Engineering - AE 4699 WAL,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 4699 ZIN,4,,,,1,,,,,3.20 5
Aerospace Engineering - AE 4793 B,3,,2,,,,,,,3.20 5
Aerospace Engineering - AE 4802 SAL,7,,,,,,,,,4.00 7
Aerospace Engineering - AE 4802 SCH,16,7,,,,,1,,,4 3.70 28
Aerospace Engineering - AE 4803 QJA,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 6012 A,7,19,1,,,,,,,2 3.22 29
Aerospace Engineering - AE 6012 Q,,3,,,,,,,,3.00 3
Aerospace Engineering - AE 6015 A,11,8,1,,,,,,,3 3.50 23
Aerospace Engineering - AE 6030 Q,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 6042 A,15,6,1,,,,,,3,5 3.64 30
Aerospace Engineering - AE 6060 A,12,3,,,,,,,,3.80 15
Aerospace Engineering - AE 6070 Q,8,,,,,,,,,4.00 8
Aerospace Engineering - AE 6115 A,9,8,1,,,,1,,2,3.44 21
Aerospace Engineering - AE 6210 A,12,8,1,,,,,,2,1 3.52 24
Aerospace Engineering - AE 6310 A,44,37,8,,,,,,2,8 3.40 99
Aerospace Engineering - AE 6310 Q,5,2,,,,,,,,3.71 7
Aerospace Engineering - AE 6334 A,7,,,,,,,,,4.00 7
Aerospace Engineering - AE 6334 QSC,,,1,,,,,,,2.00 1
Aerospace Engineering - AE 6344 A,46,,,,,,,,1,4.00 47
Aerospace Engineering - AE 6354 A,10,4,,,,,,,2,2 3.71 18
Aerospace Engineering - AE 6355 A,3,5,1,,,,,,,1 3.22 10
Aerospace Engineering - AE 6361 A,27,1,,,,,,,,1 3.96 29
Aerospace Engineering - AE 6361 Q,11,,,,,,,,,4.00 11
Aerospace Engineering - AE 6362 A,24,2,,,,,,,,1 3.92 27
Aerospace Engineering - AE 6505 A,26,16,1,,,,,,6,5 3.58 54
Aerospace Engineering - AE 6505 Q,,2,2,,,,,,,2.50 4
Aerospace Engineering - AE 6520 A,13,10,2,,,,,,2,3.44 27
Aerospace Engineering - AE 6520 Q,1,1,,,,,,,,3.50 2
Aerospace Engineering - AE 6580 A,10,3,,,,,,,1,1 3.77 15
Aerospace Engineering - AE 6701 Q,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 6760 A,10,3,,,,,,,,1 3.77 14
Aerospace Engineering - AE 6766 A,15,12,1,,,,,,,1 3.50 29
Aerospace Engineering - AE 6766 Q,3,4,1,,,,,,,3.25 8
Aerospace Engineering - AE 7000 AHU,,,,,,,2,,,2
Aerospace Engineering - AE 7000 BRA,,,,,,,7,,,7
Aerospace Engineering - AE 7000 CLA,,,,,,,2,,,2
Aerospace Engineering - AE 7000 COS,,,,,,,4,,,4
Aerospace Engineering - AE 7000 FEI,,,,,,,1,,,1
Aerospace Engineering - AE 7000 FER,,,,,,,3,,,3
Aerospace Engineering - AE 7000 GUN,,,,,,,2,,,2
Aerospace Engineering - AE 7000 HOD,,,,,,,1,,,1
Aerospace Engineering - AE 7000 HOL,,,,,,,5,,,5
Aerospace Engineering - AE 7000 JAG,,,,,,,7,,,7
Aerospace Engineering - AE 7000 JOH,,,,,,,2,,,2
Aerospace Engineering - AE 7000 KAR,,,,,,,5,,,5
Aerospace Engineering - AE 7000 KAR,A,B,C,D,F,I,S,U,V,W Aver. Tota
Aerospace Engineering - AE 7000 KEN,,,,,,,4,,,4
Aerospace Engineering - AE 7000 KOM,,,,,,,1,,,1
Aerospace Engineering - AE 7000 LIE,,,,,,,5,,,5
Aerospace Engineering - AE 7000 LIG,,,,,,,3,,,3
Aerospace Engineering - AE 7000 MAV,,,,,,,55,,,55
Aerospace Engineering - AE 7000 MEN,,,,,,,2,,,2
Aerospace Engineering - AE 7000 PRA,,,,,,,3,,,3
Aerospace Engineering - AE 7000 PRI,,,,,,,3,,,3
Aerospace Engineering - AE 7000 QAH,,,,,,,1,,,1
Aerospace Engineering - AE 7000 QWI,,,,,,,1,,,1
Aerospace Engineering - AE 7000 RIM,,,,,,,3,,,3
Aerospace Engineering - AE 7000 RUF,,,,,,,2,,,2
Aerospace Engineering - AE 7000 RUZ,,,,,,,1,,,1
Aerospace Engineering - AE 7000 SAL,,,,,,,1,,,1
Aerospace Engineering - AE 7000 SAN,,,,,,,4,,,4
Aerospace Engineering - AE 7000 SCH,,,,,,,5,,,5
Aerospace Engineering - AE 7000 SEI,,,,,,,3,,,3
Aerospace Engineering - AE 7000 SMI,,,,,,,4,,,4
Aerospace Engineering - AE 7000 SPE,,,,,,,2,,,2
Aerospace Engineering - AE 7000 SUN,,,,,,,2,,,2
Aerospace Engineering - AE 7000 TSI,,,,,,,2,,,2
Aerospace Engineering - AE 7000 WAL,,,,,,,1,,,1
Aerospace Engineering - AE 7000 YAN,,,,,,,2,,,2
Aerospace Engineering - AE 7000 YEU,,,,,,,3,,,3
Aerospace Engineering - AE 7774 A,4,1,,,,,,,,1 3.80 6
Aerospace Engineering - AE 7774 Q,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8802 SAL,3,,,,,,,,1,4.00 4
Aerospace Engineering - AE 8803 MAV,2,,,,,,,,1,4.00 3
Aerospace Engineering - AE 8803 QJA,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 8803 R,2,1,,,,,,,,3.67 3
Aerospace Engineering - AE 8803 SAN,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 8803 SC1,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8803 SEI,8,3,,,,,,,5,3.73 16
Aerospace Engineering - AE 8803 THE,10,,,,,,,,8,1 4.00 19
Aerospace Engineering - AE 8804 MAV,5,,,,,,,,,4.00 5
Aerospace Engineering - AE 8900 AHU,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 FER,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 GUN,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 8900 HOD,1,1,,,,,,,,3.50 2
Aerospace Engineering - AE 8900 HOL,,1,,,,,,,,3.00 1
Aerospace Engineering - AE 8900 KOM,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 LIE,5,,,,,,,,,4.00 5
Aerospace Engineering - AE 8900 MAV,23,,,,,,,,,1 4.00 24
Aerospace Engineering - AE 8900 QCO,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 QMA,,1,,,,,,,,3.00 1
Aerospace Engineering - AE 8900 QPA,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 QRU,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 QSA,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 RIM,,,,1,,,,,,1.00 1
Aerospace Engineering - AE 8900 SCH,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 8900 THE,1,2,,,,,,,,3.33 3
Aerospace Engineering - AE 8900 TSI,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 WAL,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 8900 YAN,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 8900 YEU,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 9000 AHU,,,,,,,2,,,2
Aerospace Engineering - AE 9000 BRA,,,,,,,7,,,7
Aerospace Engineering - AE 9000 CAL,,,,,,,1,,,1
Aerospace Engineering - AE 9000 CAL,A,B,C,D,F,I,S,U,V,W Aver. Tota
Aerospace Engineering - AE 9000 CLA,,,,,,,2,,,2
Aerospace Engineering - AE 9000 COS,,,,,,,2,2,,4
Aerospace Engineering - AE 9000 FEI,,,,,,,7,,,7
Aerospace Engineering - AE 9000 FER,,,,,,,2,,,2
Aerospace Engineering - AE 9000 GER,,,,,,,7,,,7
Aerospace Engineering - AE 9000 GUN,,,,,,,3,,,3
Aerospace Engineering - AE 9000 HAD,,,,,,,3,,,3
Aerospace Engineering - AE 9000 HOD,,,,,,,3,,,3
Aerospace Engineering - AE 9000 HOL,,,,,,,5,,,5
Aerospace Engineering - AE 9000 JAG,,,,,,,6,,,6
Aerospace Engineering - AE 9000 JOH,,,,,,,9,,,9
Aerospace Engineering - AE 9000 KAR,,,,,,,3,,,3
Aerospace Engineering - AE 9000 KEN,,,,,,,2,,,2
Aerospace Engineering - AE 9000 KOM,,,,,,,3,,,3
Aerospace Engineering - AE 9000 LIE,,,,,,,8,,,8
Aerospace Engineering - AE 9000 LIG,,,,,,,2,,,2
Aerospace Engineering - AE 9000 MAV,,,,,,,99,,,99
Aerospace Engineering - AE 9000 MEN,,,,,,,7,,,1 8
Aerospace Engineering - AE 9000 PRA,,,,,,,3,,,3
Aerospace Engineering - AE 9000 PRI,,,,,,,1,,,1
Aerospace Engineering - AE 9000 QBR,,,,,,,1,,,1
Aerospace Engineering - AE 9000 QJA,,,,,,,1,,,1
Aerospace Engineering - AE 9000 QMA,,,,,,,2,,,1 3
Aerospace Engineering - AE 9000 QWI,,,,,,,2,,,2
Aerospace Engineering - AE 9000 RIM,,,,,,,3,,,3
Aerospace Engineering - AE 9000 RUF,,,,,,,4,,,4
Aerospace Engineering - AE 9000 RUZ,,,,,,,3,,,3
Aerospace Engineering - AE 9000 SAL,,,,,,,1,,,1
Aerospace Engineering - AE 9000 SAN,,,,,,,1,,,1
Aerospace Engineering - AE 9000 SCH,,,,,,,4,,,4
Aerospace Engineering - AE 9000 SEI,,,,,,,3,,,3
Aerospace Engineering - AE 9000 SMI,,,,,,,4,,,4
Aerospace Engineering - AE 9000 SPE,,,,,,,2,,,2
Aerospace Engineering - AE 9000 SUN,,,,,,,4,,,4
Aerospace Engineering - AE 9000 THE,,,,,,,8,,,8
Aerospace Engineering - AE 9000 TSI,,,,,,,7,1,,8
Aerospace Engineering - AE 9000 WAL,,,,,,,6,,,6
Aerospace Engineering - AE 9000 YAN,,,,,,,5,,,5
Aerospace Engineering - AE 9000 YEU,,,,,,,3,,,3
Aerospace Engineering - AE 9000 YU,,,,,,,2,,,2
Aerospace Engineering - AE 9000 ZIN,,,,,,,4,,,4
Air Force Aerospace Studies - AS 1120 A,20,,,,,,,,,2 4.00 22
Air Force Aerospace Studies - AS 1120 B,11,2,,,,,,,,2 3.85 15
Air Force Aerospace Studies - AS 1121 A,,,,,,,25,,,2 27
Air Force Aerospace Studies - AS 2220 A,12,,,,,,,,,1 4.00 13
Air Force Aerospace Studies - AS 2220 B,1,,,,,,,,,4.00 1
Air Force Aerospace Studies - AS 2221 A,,,,,,,14,,,2 16
Air Force Aerospace Studies - AS 3320 A,23,,,,,,,,,4.00 23
Air Force Aerospace Studies - AS 3321 A,,,,,,,22,,,22
Air Force Aerospace Studies - AS 4420 A,9,,,,,,,,,4.00 9
Air Force Aerospace Studies - AS 4421 A,,,,,,,13,,,13
Applied Physiology - APPH 1040 A,168,65,13,1,,,,,,4 3.62 251
Applied Physiology - APPH 1040 B,205,37,2,,,,,,,4 3.83 248
Applied Physiology - APPH 1040 C,161,68,15,2,2,,,,,5 3.55 253
Applied Physiology - APPH 1040 D,187,73,5,3,2,,,,,5 3.63 275
Applied Physiology - APPH 1050 AF1,10,11,1,1,1,,,,,1 3.17 25
Applied Physiology - APPH 1050 AF2,10,6,3,3,,,,,,2 3.05 24
Applied Physiology - APPH 1050 AR1,19,13,2,1,,,,,,4 3.43 39
Applied Physiology - APPH 1050 AR1,A,B,C,D,F,I,S,U,V,W Aver. Tota
Applied Physiology - APPH 1050 AWT,13,11,1,,,,,,,3.48 25
Applied Physiology - APPH 1050 AYO,12,8,1,,,,,,,3 3.52 24
Applied Physiology - APPH 1050 BF1,10,9,3,1,,,,,,1 3.22 24
Applied Physiology - APPH 1050 BF2,10,9,1,1,,,,,,3.33 21
Applied Physiology - APPH 1050 BR1,13,13,3,1,,,,,,1 3.27 31
Applied Physiology - APPH 1050 BWT,15,4,1,1,,,,,,3 3.57 24
Applied Physiology - APPH 1050 BYO,14,7,,,,,,,,3.67 21
Applied Physiology - APPH 1050 R,39,4,,,,,,,,3.91 43
Applied Physiology - APPH 2698 YJ,,,,,,,,,1,1
Applied Physiology - APPH 2699 GK,1,,,,,,,,,4.00 1
Applied Physiology - APPH 2699 LW,1,,,,,,,,,4.00 1
Applied Physiology - APPH 3000 A,7,2,,,,,,,,3.78 9
Applied Physiology - APPH 3755 A,31,13,3,,,,2,,1,2 3.60 52
Applied Physiology - APPH 3756 A,11,3,1,,,,,,,1 3.67 16
Applied Physiology - APPH 3756 B,6,9,,,,,,,,3.40 15
Applied Physiology - APPH 3801 R,18,3,,,,,,,,3.86 21
Applied Physiology - APPH 4600 A,5,3,,,,,,,,1 3.63 9
Applied Physiology - APPH 4698 CH,,,,,,,,,2,2
Applied Physiology - APPH 4698 MMS,,,,,,,,,1,1
Applied Physiology - APPH 4698 SS,,,,,,,,,1,1
Applied Physiology - APPH 4699 BP,1,,,,,,,,,4.00 1
Applied Physiology - APPH 4699 CH,2,,,,,,,,,4.00 2
Applied Physiology - APPH 4699 LW,1,,,,,,,,,4.00 1
Applied Physiology - APPH 4699 MMS,2,,,,,,,,,4.00 2
Applied Physiology - APPH 4699 MS,3,1,,,,,,,,3.75 4
Applied Physiology - APPH 4699 RN,1,,,,,,,,,4.00 1
Applied Physiology - APPH 4699 SS,1,,,,,,,,,4.00 1
Applied Physiology - APPH 4699 YC,3,,,,,,,,,4.00 3
Applied Physiology - APPH 4699 YJ,2,,,,,,,,,4.00 2
Applied Physiology - APPH 6212 A,4,1,,,1,,,,,2 3.17 8
Applied Physiology - APPH 6216 A,,,,,,,4,,,2 6
Applied Physiology - APPH 6223 A,12,,,,,,,,,4.00 12
Applied Physiology - APPH 6232 A,9,,,,,,,,,1 4.00 10
Applied Physiology - APPH 6237 A,4,,,,,,,,,4.00 4
Applied Physiology - APPH 6896 A,12,,,,,,,,,4.00 12
Applied Physiology - APPH 6981 A,13,1,,,,,,,,3.93 14
Applied Physiology - APPH 6983 A,14,,,,,,,,,4.00 14
Applied Physiology - APPH 6984 A,11,1,,,,,,,,3.92 12
Applied Physiology - APPH 6999 B,,,,,,,12,,,12
Applied Physiology - APPH 6999 D,,,,,,,14,,,14
Applied Physiology - APPH 8009 A,,,,,,,12,,,12
Applied Physiology - APPH 8012 A,14,,,,,,,,,4.00 14
Applied Physiology - APPH 8803 SS,,,,,,,,,,1 1
Applied Physiology - APPH 9000 BP,,,,,,,3,,,3
Applied Physiology - APPH 9000 EB,,,,,,,1,,,1
Applied Physiology - APPH 9000 LW,,,,,,,3,,,3
Applied Physiology - APPH 9000 MMS,,,,,,,1,,,1
Applied Physiology - APPH 9000 RN,,,,,,,1,,,1 2
Applied Physiology - APPH 9000 SS,,,,,,,1,,,1
Applied Physiology - APPH 9000 TB,,,,,,,1,,,1
Applied Physiology - APPH 9000 YC,,,,,,,3,,,3
Applied Physiology - APPH 9000 YJ,,,,,,,,1,,1 2
Applied Systems Engineering - ASE 6003 Q,26,1,1,,,,,,,3.89 28
Applied Systems Engineering - ASE 6005 Q,17,4,3,1,1,,,,,3.35 26
Applied Systems Engineering - ASE 6102 Q,17,3,1,1,,,,,,3.64 22
Applied Systems Engineering - ASE 6103 Q,24,,,,,,,,,4.00 24
Arabic - ARBC 1002 B,9,1,,,,,2,,1,2 3.90 15
Arabic - ARBC 1002 D,7,4,1,,,,3,,1,1 3.50 17
Arabic - ARBC 1002 D,A,B,C,D,F,I,S,U,V,W Aver. Tota
Arabic - ARBC 2002 C,3,,,,,,,,1,4.00 4
Architecture - ARCH 2012 HD,6,3,1,,1,,,,,3.18 11
Architecture - ARCH 2012 MR,3,6,,,,,,,,2 3.33 11
Architecture - ARCH 2012 SG,9,2,,,,,,,,3.82 11
Architecture - ARCH 2112 A,45,22,8,5,2,,11,,,5 3.26 98
Architecture - ARCH 2112 D,33,11,8,,1,,3,,,4 3.42 60
Architecture - ARCH 2474 JC,3,,,,,,,,,4.00 3
Architecture - ARCH 2474 SO,14,13,1,,1,,,,,3 3.34 32
Architecture - ARCH 2803 HP2,,,,,1,,,,,0.00 1
Architecture - ARCH 3012 CR,4,,,,,,,,,4.00 4
Architecture - ARCH 3012 HH,4,4,,,,,,,,3.50 8
Architecture - ARCH 3012 JK,3,1,,,,,,,,3.75 4
Architecture - ARCH 3012 JP,4,2,,,,,,,,3.67 6
Architecture - ARCH 3012 TA,6,,,,,,,,,4.00 6
Architecture - ARCH 4012 CR,4,,,,,,,,,4.00 4
Architecture - ARCH 4012 HH,3,1,,,,,,,,3.75 4
Architecture - ARCH 4012 JK,2,3,,,,,,,,3.40 5
Architecture - ARCH 4012 JP,4,1,,,,,,,,3.80 5
Architecture - ARCH 4012 PY,1,1,,,,,,,,3.50 2
Architecture - ARCH 4012 TA,5,,,,,,,,,4.00 5
Architecture - ARCH 4127 AE,14,,,,,,,,,1 4.00 15
Architecture - ARCH 4151 RD,10,1,,,1,,,,,3.58 12
Architecture - ARCH 4315 A,4,1,,,,,,,,3.80 5
Architecture - ARCH 4411 LD,8,2,1,,2,,,,,3.08 13
Architecture - ARCH 4417 JL,,,,,,,,,,1 1
Architecture - ARCH 4801 DB,4,,,,,,,,,4.00 4
Architecture - ARCH 4801 DE,1,1,3,,,,1,,,1 2.60 7
Architecture - ARCH 4801 MC,6,3,,,,,,,,3.67 9
Architecture - ARCH 4802 JS,1,,,,,,,,,4.00 1
Architecture - ARCH 4803 BB,1,,,,,,,,,4.00 1
Architecture - ARCH 4803 EDJ,1,2,,,,,,,,3.33 3
Architecture - ARCH 4803 LA,4,,,,,,,,,4.00 4
Architecture - ARCH 4803 LD,6,3,,,,,,,,3.67 9
Architecture - ARCH 4803 LS,3,,,,,,,,,4.00 3
Architecture - ARCH 4803 PY,1,1,,,,,,,,3.50 2
Architecture - ARCH 4803 TA1,7,,,,,,,,,1 4.00 8
Architecture - ARCH 4823 HP,3,,,,1,1,,,,3.00 5
Architecture - ARCH 4823 LH,7,3,,,,,,,,1 3.70 11
Architecture - ARCH 4823 MC,2,1,1,,,,1,,,3.25 5
Architecture - ARCH 4833 DB,5,,,,,,2,,,4.00 7
Architecture - ARCH 4833 KJ,4,5,,,,,,,,1 3.44 10
Architecture - ARCH 4833 RV,11,1,,,,,,,,3 3.92 15
Architecture - ARCH 4843 DR,2,1,,,,,1,,,3.67 4
