"",A,B,C,D,F,I,S,U,V,W Aver. Tota
Aerospace Engineering - AE 3140 B,15,23,8,4,4,,,,,19 2.76 73
Aerospace Engineering - AE 3330 A,45,20,1,,3,,,,,2 3.51 71
Aerospace Engineering - AE 3340 A,42,19,7,,,,,,,3 3.51 71
Aerospace Engineering - AE 3340 B,37,24,7,,2,,,,,3 3.34 73
Aerospace Engineering - AE 3355 CLA,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 3355 MAV,5,,,,,,,,,1 4.00 6
Aerospace Engineering - AE 3521 A,10,27,12,,,,,,,1 2.96 50
Aerospace Engineering - AE 3530 A,62,,,,1,,,,,2 3.94 65
Aerospace Engineering - AE 3530 A,A,B,C,D,F,I,S,U,V,W Aver. Tota
Aerospace Engineering - AE 3530 B,15,16,24,7,4,,,,,5 2.47 71
Aerospace Engineering - AE 3531 A,7,14,15,10,6,,,,1,1 2.12 54
Aerospace Engineering - AE 3610 A,8,4,,,,,,,,3.67 12
Aerospace Engineering - AE 3610 B,8,3,1,,,,,,,3.58 12
Aerospace Engineering - AE 3610 C,9,,3,,,,,,,3.50 12
Aerospace Engineering - AE 3610 D,6,2,,,1,,,,,3.33 9
Aerospace Engineering - AE 3610 E,9,2,,,,,,,,3.82 11
Aerospace Engineering - AE 3610 F,2,6,1,,,,,,,3.11 9
Aerospace Engineering - AE 3610 G,5,4,,,,,,,,1 3.56 10
Aerospace Engineering - AE 3610 H,1,3,,,,,,,,1 3.25 5
Aerospace Engineering - AE 3610 I,1,3,1,,,,,,,3.00 5
Aerospace Engineering - AE 3801 B,,,3,,,,,,,2 2.00 5
Aerospace Engineering - AE 4040 A,29,9,4,1,1,,2,,,6 3.45 52
Aerospace Engineering - AE 4220 A,24,26,15,1,,,,,,1 3.11 67
Aerospace Engineering - AE 4220 B,30,23,12,,,,,,,3.28 65
Aerospace Engineering - AE 4351 A,21,15,7,,,,,,,3.33 43
Aerospace Engineering - AE 4351 B,14,16,1,,,,,,,3.42 31
Aerospace Engineering - AE 4351 IP,,1,,,,,,,,3.00 1
Aerospace Engineering - AE 4351 IP2,,1,,,,,,,,3.00 1
Aerospace Engineering - AE 4355 CLA,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4355 MAV,7,,,,,,,,,4.00 7
Aerospace Engineering - AE 4359 A,18,4,1,,,,,,,3.74 23
Aerospace Engineering - AE 4451 A,23,30,15,2,,,,,,6 3.06 76
Aerospace Engineering - AE 4525 A,3,12,4,,1,,,,,1 2.80 21
Aerospace Engineering - AE 4525 B,3,12,7,,,,,,,2.82 22
Aerospace Engineering - AE 4525 C,1,15,5,,,,,,,2.81 21
Aerospace Engineering - AE 4525 D,5,7,8,,1,,,,,2.71 21
Aerospace Engineering - AE 4525 E,4,8,10,,,,,,,2.73 22
Aerospace Engineering - AE 4552 A,3,1,2,,,,,,,2 3.17 8
Aerospace Engineering - AE 4580 A,14,14,3,,,,,,4,6 3.35 41
Aerospace Engineering - AE 4698 DIL,,,,,,,,,1,1
Aerospace Engineering - AE 4698 FEI,,,,,,,,,1,1
Aerospace Engineering - AE 4698 JOH,,,,,,,,,1,1
Aerospace Engineering - AE 4698 MAV,,,,,,,,,5,5
Aerospace Engineering - AE 4698 SAN,,,,,,,,,2,2
Aerospace Engineering - AE 4698 SEI,,,,,,,,,1,1
Aerospace Engineering - AE 4698 WAL,,,,,,,,,1,1
Aerospace Engineering - AE 4699 AHU,,,,,,2,,,,2
Aerospace Engineering - AE 4699 CLA,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 4699 COS,4,,,,,1,,,,4.00 5
Aerospace Engineering - AE 4699 FEI,7,,,,,,,,,4.00 7
Aerospace Engineering - AE 4699 FER,4,,,,,,,,,4.00 4
Aerospace Engineering - AE 4699 GER,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 4699 GUN,16,,,,,,,,,4.00 16
Aerospace Engineering - AE 4699 HOL,19,,,,,,,,,4.00 19
Aerospace Engineering - AE 4699 JAG,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 JOH,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 4699 KOM,6,,,,,,,,,1 4.00 7
Aerospace Engineering - AE 4699 LIE,6,,,,,,,,,4.00 6
Aerospace Engineering - AE 4699 LIG,11,1,,,,,,,,3.92 12
Aerospace Engineering - AE 4699 MAV,52,,,,,,,,,1 4.00 53
Aerospace Engineering - AE 4699 MEN,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 RIM,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 4699 SAN,6,,,,,,,,,4.00 6
Aerospace Engineering - AE 4699 SCH,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 SEI,5,,,,,,,,,1 4.00 6
Aerospace Engineering - AE 4699 SMI,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 SUN,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 4699 SUN,A,B,C,D,F,I,S,U,V,W Aver. Tota
Aerospace Engineering - AE 4699 THE,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 WAL,10,,,,,,,,,4.00 10
Aerospace Engineering - AE 4701 A,30,,,,,,,,1,4.00 31
Aerospace Engineering - AE 4793 B,3,1,,,,,,,,3.75 4
Aerospace Engineering - AE 4801 FEI,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 6012 A,21,4,7,1,,,,,1,2 3.36 36
Aerospace Engineering - AE 6015 A,12,3,3,1,,,,,,4 3.37 23
Aerospace Engineering - AE 6015 Q,5,2,,,,,,,,1 3.71 8
Aerospace Engineering - AE 6030 Q,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 6042 A,7,3,1,,,,,,,1 3.55 12
Aerospace Engineering - AE 6070 Q,10,,,,,,,,,4.00 10
Aerospace Engineering - AE 6115 A,11,10,1,,,,,,5,4 3.45 31
Aerospace Engineering - AE 6200 A,14,,,,,,,,,4.00 14
Aerospace Engineering - AE 6210 A,9,5,,,1,,,,2,1 3.40 18
Aerospace Engineering - AE 6220 A,7,,,,,,,,,3 4.00 10
Aerospace Engineering - AE 6220 Q,,3,,,,,,,,3.00 3
Aerospace Engineering - AE 6310 A,42,26,6,,,,,,4,3 3.49 81
Aerospace Engineering - AE 6310 Q,3,2,1,,,,,,,1 3.33 7
Aerospace Engineering - AE 6334 A,10,,,,,,,,,4.00 10
Aerospace Engineering - AE 6344 A,56,,,,,,,,1,1 4.00 58
Aerospace Engineering - AE 6361 A,10,4,1,,1,,,,,1 3.38 17
Aerospace Engineering - AE 6362 A,29,,,,,,,,1,1 4.00 31
Aerospace Engineering - AE 6373 R,4,2,,,,,,,,3.67 6
Aerospace Engineering - AE 6450 A,14,16,1,,,,,,4,4 3.42 39
Aerospace Engineering - AE 6450 Q,6,5,,,,,,,,1 3.55 12
Aerospace Engineering - AE 6520 A,17,7,1,,,,,,3,4 3.64 32
Aerospace Engineering - AE 6552 A,3,1,,,,,,,1,2 3.75 7
Aerospace Engineering - AE 6580 A,6,3,,1,,,,,9,2 3.40 21
Aerospace Engineering - AE 6701 A,16,,,,,,,,2,1 4.00 19
Aerospace Engineering - AE 6701 Q,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 6701 Q3,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 6760 A,12,,,,,,,,1,4.00 13
Aerospace Engineering - AE 6760 Q,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 6766 A,14,13,2,,1,,,,1,4 3.30 35
Aerospace Engineering - AE 6766 Q,1,1,,,,,,,,3.50 2
Aerospace Engineering - AE 7000 AHU,,,,,,,2,,,2
Aerospace Engineering - AE 7000 CLA,,,,,,,3,,,3
Aerospace Engineering - AE 7000 COS,,,,,,,5,,,5
Aerospace Engineering - AE 7000 FER,,,,,,,6,,,6
Aerospace Engineering - AE 7000 GER,,,,,,,2,,,2
Aerospace Engineering - AE 7000 GUN,,,,,,,4,,,4
Aerospace Engineering - AE 7000 HAN,,,,,,,1,,,1
Aerospace Engineering - AE 7000 HOD,,,,,,,1,,,1
Aerospace Engineering - AE 7000 HOL,,,,,,,9,,,9
Aerospace Engineering - AE 7000 JAG,,,,,,,4,,,1 5
Aerospace Engineering - AE 7000 JOH,,,,,,,3,,,3
Aerospace Engineering - AE 7000 KAR,,,,,,,2,,,2
Aerospace Engineering - AE 7000 KEN,,,,,,,5,,,5
Aerospace Engineering - AE 7000 LIE,,,,,,,6,,,6
Aerospace Engineering - AE 7000 LIG,,,,,,,6,,,6
Aerospace Engineering - AE 7000 MAV,,,,,,,54,,,54
Aerospace Engineering - AE 7000 MEN,,,,,,,2,1,,3
Aerospace Engineering - AE 7000 PRA,,,,,,,5,,,5
Aerospace Engineering - AE 7000 PRI,,,,,,,3,,,3
Aerospace Engineering - AE 7000 QMA,,,,,,,1,,,1
Aerospace Engineering - AE 7000 RIM,,,,,,,3,,,3
Aerospace Engineering - AE 7000 RUF,,,,,,,1,,,1
Aerospace Engineering - AE 7000 RUZ,,,,,,,1,,,1
Aerospace Engineering - AE 7000 RUZ,A,B,C,D,F,I,S,U,V,W Aver. Tota
Aerospace Engineering - AE 7000 SAL,,,,,,,2,,,2
Aerospace Engineering - AE 7000 SAN,,,,,,,3,,,3
Aerospace Engineering - AE 7000 SCH,,,,,,,4,,,4
Aerospace Engineering - AE 7000 SEI,,,,,,,3,,,3
Aerospace Engineering - AE 7000 SMI,,,,,,,8,,,8
Aerospace Engineering - AE 7000 SUN,,,,,,,5,,,5
Aerospace Engineering - AE 7000 TSI,,,,,,,1,,,1
Aerospace Engineering - AE 7000 WAL,,,,,,,2,,,2
Aerospace Engineering - AE 7000 YEU,,,,,,,1,,,1
Aerospace Engineering - AE 7774 A,1,,1,,,,,,,3.00 2
Aerospace Engineering - AE 7774 Q,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 7775 A,16,,,,,,,,1,4.00 17
Aerospace Engineering - AE 8801 SMI,,,1,,,,,,,2.00 1
Aerospace Engineering - AE 8803 FER,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8803 GUN,14,10,,,,,,,3,1 3.58 28
Aerospace Engineering - AE 8803 MAV,23,1,,,,,,,1,2 3.96 27
Aerospace Engineering - AE 8803 PRI,,,,,,,3,,,3
Aerospace Engineering - AE 8803 SCH,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 8803 THE,14,,,,,,3,,1,6 4.00 24
Aerospace Engineering - AE 8804 MAV,58,,,,,,,,,4.00 58
Aerospace Engineering - AE 8804 QMA,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 8900 AHU,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 CLA,,1,,,,,,,,3.00 1
Aerospace Engineering - AE 8900 COS,2,1,,,,,,,,3.67 3
Aerospace Engineering - AE 8900 JAG,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 8900 JOH,,,,,,1,,,,1
Aerospace Engineering - AE 8900 KAR,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 8900 KEN,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 LIE,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 LIG,2,1,,,,,,,,3.67 3
Aerospace Engineering - AE 8900 MAV,20,,,,,,,,,4.00 20
Aerospace Engineering - AE 8900 MEN,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 PRA,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 QCL,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 QMA,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 8900 QPA,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 QSA,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 RIM,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 8900 RUF,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 SAL,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 SCH,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 SMI,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 8900 SUN,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 8900 THE,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 WAL,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 YAN,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 YU,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 9000 AHU,,,,,,,3,,,3
Aerospace Engineering - AE 9000 CLA,,,,,,,3,,,3
Aerospace Engineering - AE 9000 COS,,,,,,,4,,,4
Aerospace Engineering - AE 9000 FEI,,,,,,,5,1,,6
Aerospace Engineering - AE 9000 FER,,,,,,,2,,,2
Aerospace Engineering - AE 9000 GER,,,,,,,6,,,6
Aerospace Engineering - AE 9000 GUN,,,,,,,2,,,2
Aerospace Engineering - AE 9000 HAD,,,,,,,3,,,3
Aerospace Engineering - AE 9000 HOD,,,,,,,4,,,4
Aerospace Engineering - AE 9000 HOL,,,,,,,5,,,5
Aerospace Engineering - AE 9000 JAG,,,,,,,5,,,5
Aerospace Engineering - AE 9000 JAG,A,B,C,D,F,I,S,U,V,W Aver. Tota
Aerospace Engineering - AE 9000 JOH,,,,,,,10,,,10
Aerospace Engineering - AE 9000 KAR,,,,,,,3,,,3
Aerospace Engineering - AE 9000 KEN,,,,,,,3,,,3
Aerospace Engineering - AE 9000 KOM,,,,,,,2,,,2
Aerospace Engineering - AE 9000 LIE,,,,,,,9,,,9
Aerospace Engineering - AE 9000 LIG,,,,,,,4,,,4
Aerospace Engineering - AE 9000 MAV,,,,,,,105,,,105
Aerospace Engineering - AE 9000 MEN,,,,,,,10,1,,11
Aerospace Engineering - AE 9000 PRA,,,,,,,3,,,3
Aerospace Engineering - AE 9000 PRI,,,,,,,2,,,2
Aerospace Engineering - AE 9000 QJA,,,,,,,2,,,2
Aerospace Engineering - AE 9000 QMA,,,,,,,1,,,1
Aerospace Engineering - AE 9000 RIM,,,,,,,4,,,4
Aerospace Engineering - AE 9000 RUF,,,,,,,4,,,4
Aerospace Engineering - AE 9000 RUZ,,,,,,,1,,,1
Aerospace Engineering - AE 9000 SAN,,,,,,,2,,,2
Aerospace Engineering - AE 9000 SCH,,,,,,,4,,,4
Aerospace Engineering - AE 9000 SEI,,,,,,,4,,,4
Aerospace Engineering - AE 9000 SMI,,,,,,,4,,,4
Aerospace Engineering - AE 9000 SUN,,,,,,,3,1,,4
Aerospace Engineering - AE 9000 THE,,,,,,,7,,,7
Aerospace Engineering - AE 9000 TSI,,,,,,,11,,,11
Aerospace Engineering - AE 9000 WAL,,,,,,,3,,,3
Aerospace Engineering - AE 9000 YAN,,,,,,,7,,,7
Aerospace Engineering - AE 9000 YEU,,,,,,,2,,,2
Aerospace Engineering - AE 9000 YU,,,,,,,2,,,2
Aerospace Engineering - AE 9000 ZIN,,,,,,,2,,,2
Air Force Aerospace Studies - AS 1110 A,2,2,,,,,,,,3.50 4
Air Force Aerospace Studies - AS 1120 A,20,13,3,,1,,,,,1 3.38 38
Air Force Aerospace Studies - AS 1120 B,6,7,,,,,,,,3.46 13
Air Force Aerospace Studies - AS 1121 A,,,,,,,38,1,,39
Air Force Aerospace Studies - AS 2210 A,2,,,,,,,,,4.00 2
Air Force Aerospace Studies - AS 2220 A,25,3,,,1,,,,,1 3.76 30
Air Force Aerospace Studies - AS 2220 B,6,2,,,,1,,,,3.75 9
Air Force Aerospace Studies - AS 2221 A,,,,,,,34,,,1 35
Air Force Aerospace Studies - AS 3320 A,9,3,1,,1,,,,,1 3.36 15
Air Force Aerospace Studies - AS 3321 A,,,,,,,13,,,1 14
Air Force Aerospace Studies - AS 4420 A,8,12,,,,,,,,2 3.40 22
Air Force Aerospace Studies - AS 4421 A,,,,,,,21,,,1 22
Applied Physiology - APPH 1040 A,154,71,22,,,1,,,,7 3.53 255
Applied Physiology - APPH 1040 B,169,65,13,2,,,,,,5 3.61 254
Applied Physiology - APPH 1040 C,162,68,19,4,,,,,,2 3.53 255
Applied Physiology - APPH 1040 D,170,59,14,,,,,,,14 3.64 257
Applied Physiology - APPH 1040 R,41,4,,,,,,,,3.91 45
Applied Physiology - APPH 1050 AF1,12,7,,,,,,,,3 3.63 22
Applied Physiology - APPH 1050 AF2,14,2,1,1,,,,,,3 3.61 21
Applied Physiology - APPH 1050 AR1,22,8,2,,,,,,,1 3.63 33
Applied Physiology - APPH 1050 ASW,17,6,,,,,,,,2 3.74 25
Applied Physiology - APPH 1050 AWT,17,5,,1,,,,,,1 3.65 24
Applied Physiology - APPH 1050 AYO,19,3,1,1,,,,,,1 3.67 25
Applied Physiology - APPH 1050 BF1,11,6,,,,,,,,3 3.65 20
Applied Physiology - APPH 1050 BF2,10,5,1,,,,,,,2 3.56 18
Applied Physiology - APPH 1050 BR1,14,8,1,,,,,,,1 3.57 24
Applied Physiology - APPH 1050 BWT,16,7,,,,,,,,1 3.70 24
Applied Physiology - APPH 1050 BYO,20,3,2,,,,,,,3.72 25
Applied Physiology - APPH 2500 A,21,8,1,,1,,,,,3.55 31
Applied Physiology - APPH 2699 LW,1,,,,,,,,,4.00 1
Applied Physiology - APPH 2699 MS,1,,,,,,,,,4.00 1
Applied Physiology - APPH 2699 MS,A,B,C,D,F,I,S,U,V,W Aver. Tota
Applied Physiology - APPH 2699 RN,1,,,,,,,,,4.00 1
Applied Physiology - APPH 2699 WHE,1,,,,,,,,,4.00 1
Applied Physiology - APPH 3755 A,33,10,2,,,,,,,3 3.69 48
Applied Physiology - APPH 3756 A,19,4,,,,,,,,3.83 23
Applied Physiology - APPH 3756 B,6,2,,,,,,,,1 3.75 9
Applied Physiology - APPH 3801 R,26,,,,,,,,,4.00 26
Applied Physiology - APPH 4698 CH,,,,,,,,,1,1
Applied Physiology - APPH 4699 BP,3,,,,,,,,,4.00 3
Applied Physiology - APPH 4699 CH,1,,,,,,,,,4.00 1
Applied Physiology - APPH 4699 GK,2,,,,,,,,,4.00 2
Applied Physiology - APPH 4699 MMS,5,,,,,,,,,4.00 5
Applied Physiology - APPH 4699 MS,2,,,,,,,,,4.00 2
Applied Physiology - APPH 4699 RN,1,,,,,,,,,4.00 1
Applied Physiology - APPH 4699 YC,1,,,,,,,,,4.00 1
Applied Physiology - APPH 4699 YJ,2,,,,,,,,,4.00 2
Applied Physiology - APPH 6212 A,3,3,,,,,,,,1 3.50 7
Applied Physiology - APPH 6214 MMS,1,,,,,,,,,4.00 1
Applied Physiology - APPH 6214 RN,1,,,,,,,,,4.00 1
Applied Physiology - APPH 6214 YC,1,,,,,,,,,4.00 1
Applied Physiology - APPH 6216 A,,,,,,,4,,,4
Applied Physiology - APPH 6223 A,14,,,,,,,,,4.00 14
Applied Physiology - APPH 6232 A,10,,,,,,,,,4.00 10
Applied Physiology - APPH 6239 A,2,,,,,,,,,4.00 2
Applied Physiology - APPH 6710 TRN,2,,,,,,,,,4.00 2
Applied Physiology - APPH 6896 A,7,7,,,,,,,,3.50 14
Applied Physiology - APPH 6981 A,12,,,,,,,,,4.00 12
Applied Physiology - APPH 6983 A,12,,,,,,,,,4.00 12
Applied Physiology - APPH 6984 A,7,6,1,,,,,,,3.43 14
Applied Physiology - APPH 6999 B,,,,,,,14,,,14
Applied Physiology - APPH 6999 D,,,,,,,12,,,12
Applied Physiology - APPH 8009 A,,,,,,,14,,,14
Applied Physiology - APPH 8012 A,12,,,,,,,,,4.00 12
Applied Physiology - APPH 9000 BP,,,,,,,3,,,3
Applied Physiology - APPH 9000 EB,,,,,,,1,,,1
Applied Physiology - APPH 9000 LW,,,,,,,3,,,3
Applied Physiology - APPH 9000 MMS,,,,,,,2,,,2
Applied Physiology - APPH 9000 MS,,,,,,,1,,,1
Applied Physiology - APPH 9000 RN,,,,,,,3,,,3
Applied Physiology - APPH 9000 YC,,,,,,,1,,,1
Applied Systems Engineering - ASE 6003 Q,28,,,,,,,,,1 4.00 29
Applied Systems Engineering - ASE 6005 Q,18,7,1,,,,,,,3.65 26
Applied Systems Engineering - ASE 6102 Q,19,5,,,,,,,,3.79 24
Applied Systems Engineering - ASE 6103 Q,24,,,,,,,,,4.00 24
Arabic - ARBC 1002 C,3,2,,,,,,,,1 3.60 6
Arabic - ARBC 1002 E,4,3,1,,,,,,,3.38 8
Arabic - ARBC 1501 H,21,1,,,1,,2,,,3.78 25
Arabic - ARBC 2002 B,3,1,1,,,,1,,2,3.40 8
Arabic - ARBC 3002 F,4,,,,,,,,,4.00 4
Architecture - ARCH 1010 AMA,12,5,1,,,,,,,3 3.61 21
Architecture - ARCH 1010 PMA,8,7,1,,1,,,,,3.24 17
Architecture - ARCH 2012 DB,7,,2,,,1,,,,3.56 10
Architecture - ARCH 2012 KK,4,3,,,1,,,,,1 3.13 9
Architecture - ARCH 2012 MR,4,3,2,,,,,,,1 3.22 10
Architecture - ARCH 2112 A,61,11,3,2,1,,10,,,4 3.65 92
Architecture - ARCH 2112 D,42,6,3,,1,,3,,,2 3.69 57
Architecture - ARCH 2474 SG,2,,,,,,,,,4.00 2
Architecture - ARCH 2474 SO,27,,,1,1,,,,,3.76 29
Architecture - ARCH 3012 AE,2,5,,,,,,,,3.29 7
Architecture - ARCH 3012 AE,A,B,C,D,F,I,S,U,V,W Aver. Tota
Architecture - ARCH 3012 JP,4,2,,1,,,,,,3.29 7
Architecture - ARCH 3012 MM,2,1,1,,,,,,,1 3.25 5
Architecture - ARCH 3012 MS,4,1,1,,,,,,,3.50 6
Architecture - ARCH 3012 SK,2,3,1,,,,,,,3.17 6
Architecture - ARCH 4012 AE,,5,,,,,,,,3.00 5
Architecture - ARCH 4012 JP,4,1,,,,,,,,3.80 5
Architecture - ARCH 4012 MM,5,1,,,,,,,,3.83 6
Architecture - ARCH 4012 MS,4,2,,,,,,,,3.67 6
Architecture - ARCH 4012 SK,3,2,,,,,,,,3.60 5
Architecture - ARCH 4127 AE,11,,,,,,,,,1 4.00 12
Architecture - ARCH 4251 RG,,2,,,,,,,,3.00 2
Architecture - ARCH 4801 DB,1,,,,,,,,,4.00 1
Architecture - ARCH 4801 JK1,11,,,,,,1,,,4.00 12
Architecture - ARCH 4803 BF,10,,,,,,1,,,4.00 11
Architecture - ARCH 4803 CZ,4,,,,,,,,,4.00 4
Architecture - ARCH 4803 EDJ,1,,,,,,,,,4.00 1
Architecture - ARCH 4803 JL,1,,,,,,,,,4.00 1
Architecture - ARCH 4803 JP1,8,1,,,,,,,,1 3.89 10
Architecture - ARCH 4803 LH,2,,,,1,,,,,2.67 3
Architecture - ARCH 4803 LS,4,,,,,,,,,4.00 4
Architecture - ARCH 4803 MC,4,2,,,,,,,,3.67 6
Architecture - ARCH 4803 PY,1,,,,,,,,,4.00 1
Architecture - ARCH 4803 TA1,2,2,,,,,,,,3.50 4
Architecture - ARCH 4833 JL1,3,,,,,,,,,4.00 3
Architecture - ARCH 4833 KK,3,2,,,,,1,,,1 3.60 7
Architecture - ARCH 4833 KW1,5,3,,,,,,,1,3.63 9
Architecture - ARCH 4833 LD,5,3,,,,,,,,1 3.63 9
Architecture - ARCH 4833 MS,2,1,,,,,,,,3.67 3
Architecture - ARCH 4833 RV,12,,,,,,1,,1,2 4.00 16
Architecture - ARCH 4833 SSB,4,,,,,,1,,,4.00 5
Architecture - ARCH 4843 SR,1,,,,,,,,,4.00 1
Architecture - ARCH 4843 SR1,4,,,,,,,,,4.00 4
Architecture - ARCH 4901 JK,1,,,,,,,,,4.00 1
Architecture - ARCH 4902 SK,,1,,,,,,,,3.00 1
Architecture - ARCH 4903 DB,2,,,,,,,,,4.00 2
Architecture - ARCH 4903 FP,1,,,,,,,,,4.00 1
Architecture - ARCH 4903 KW,2,,,,,,,,,4.00 2
Architecture - ARCH 4903 MR,1,,,,,,,,,4.00 1
Architecture - ARCH 6026 DY,7,6,,,,,,,,3.54 13
Architecture - ARCH 6070 CR,11,,,,,,,,,4.00 11
Architecture - ARCH 6070 GJ,5,4,,,,,,,,3.56 9
Architecture - ARCH 6070 JP,6,5,1,,,,,,,3.42 12
