"",A,B,C,D,F,I,S,U,V,W Aver. Total
Biology - BIOL 4699 SNE,1,,,,,,,,,4.00 1
Biology - BIOL 4699 STA,1,,,,,,,,,4.00 1
Biology - BIOL 7000 CHE,,,,,,,1,,,1
Biology - BIOL 7000 KON,,,,,,,1,,,1
Biology - BIOL 7000 STE,,,,,,,1,,,1
Biology - BIOL 8901 GIB,1,,,,,,,,,4.00 1
Biology - BIOL 8901 MCG,1,,,,,,,,,4.00 1
Biology - BIOL 8901 NIE,1,,,,,,,,,4.00 1
Biology - BIOL 8901 STR,1,,,,,,,,,4.00 1
Biology - BIOL 8901 TOR,,,,,,,1,,,1
Biology - BIOL 8902 BRO,1,,,,,,,,,4.00 1
Biology - BIOL 8902 DIC,1,,,,,,,,,4.00 1
Biology - BIOL 8902 FAN,1,,,,,,,,,4.00 1
Biology - BIOL 8902 GIB,1,,,,,,,,,4.00 1
Biology - BIOL 8902 HU,1,,,,,,,,,4.00 1
Biology - BIOL 8902 JOR,1,,,,,,,,,4.00 1
Biology - BIOL 8902 KON,1,,,,,,,,,4.00 1
Biology - BIOL 8902 MCG,1,,,,,,,,,4.00 1
Biology - BIOL 8902 RAT,1,,,,,,,,,4.00 1
Biology - BIOL 8902 STE,1,,,,,,,,,4.00 1
Biology - BIOL 8902 WIL,1,,,,,,,,,4.00 1
Biology - BIOL 8997 A,,,,,,,,,10,10
Biology - BIOL 8997 B,,,,,,,,,2,2
Biology - BIOL 8998 CHE,,,,,,,,,2,2
Biology - BIOL 8998 DIC,,,,,,,,,1,1
Biology - BIOL 8998 DIX,,,,,,,,,1,1
Biology - BIOL 8998 FAN,,,,,,,,,1,1
Biology - BIOL 8998 GIB,,,,,,,,,3,3
Biology - BIOL 8998 GLA,,,,,,,,,1,1
Biology - BIOL 8998 GLA,A,B,C,D,F,I,S,U,V,W Aver. Total
Biology - BIOL 8998 GOO,,,,,,,,,2,2
Biology - BIOL 8998 HAM,,,,,,,,,1,1
Biology - BIOL 8998 HAY,,,,,,,,,3,3
Biology - BIOL 8998 JIA,,,,,,,,,2,2
Biology - BIOL 8998 JOR,,,,,,,,,2,2
Biology - BIOL 8998 KON,,,,,,,,,2,2
Biology - BIOL 8998 KOS,,,,,,,,,2,2
Biology - BIOL 8998 KUB,,,,,,,,,1,1
Biology - BIOL 8998 LAC,,,,,,,,,1,1
Biology - BIOL 8998 LEE,,,,,,,,,1,1
Biology - BIOL 8998 LOB,,,,,,,,,1,1
Biology - BIOL 8998 MCD,,,,,,,,,2,2
Biology - BIOL 8998 MCG,,,,,,,,,2,2
Biology - BIOL 8998 PAA,,,,,,,,,1,1
Biology - BIOL 8998 RAT,,,,,,,,,2,2
Biology - BIOL 8998 ROS,,,,,,,,,2,2
Biology - BIOL 8998 STE,,,,,,,,,3,3
Biology - BIOL 8998 STO,,,,,,,,,4,4
Biology - BIOL 8998 STR,,,,,,,,,1,1
Biology - BIOL 8998 TOR,,,,,,,,,2,2
Biology - BIOL 8998 VAN,,,,,,,,,1,1
Biology - BIOL 8998 WEI,,,,,,,,,2,2
Biology - BIOL 8998 WIL,,,,,,,,,1,1
Biology - BIOL 8998 WRI,,,,,,,,,1,1
Biology - BIOL 8998 WTZ,,,,,,,,,7,7
Biology - BIOL 8998 YI,,,,,,,,,1,1
Biology - BIOL 9000 BRO,,,,,,,1,,,1
Biology - BIOL 9000 CHE,,,,,,1,3,,,4
Biology - BIOL 9000 DIC,,,,,,,1,,,1
Biology - BIOL 9000 DIX,,,,,,,1,,,1
Biology - BIOL 9000 FAN,,,,,,,2,,,2
Biology - BIOL 9000 GAU,,,,,,,1,,,1
Biology - BIOL 9000 GIB,,,,,,,6,,,6
Biology - BIOL 9000 GLA,,,,,,,1,,,1
Biology - BIOL 9000 GOO,,,,,,,2,,,2
Biology - BIOL 9000 HAM,,,,,,,2,,,2
Biology - BIOL 9000 HAN,,,,,,,1,,,1
Biology - BIOL 9000 HAY,,,,,,,5,1,,6
Biology - BIOL 9000 JIA,,,,,,,2,,,2
Biology - BIOL 9000 JOR,,,,,,,3,,,3
Biology - BIOL 9000 KON,,,,,,,3,,,3
Biology - BIOL 9000 KOS,,,,,,,2,,,2
Biology - BIOL 9000 KRE,,,,,,,2,,,2
Biology - BIOL 9000 KUB,,,,,,,1,,,1
Biology - BIOL 9000 LAC,,,,,,,2,,,2
Biology - BIOL 9000 LEE,,,,,,,1,,,1
Biology - BIOL 9000 LOB,,,,,,,1,,,1
Biology - BIOL 9000 MCD,,,,,,,2,,,2
Biology - BIOL 9000 MCG,,,,,,,3,,,3
Biology - BIOL 9000 PAA,,,,,,,1,,,1
Biology - BIOL 9000 RAT,,,,,,,3,,,3
Biology - BIOL 9000 ROS,,,,,,,2,,,2
Biology - BIOL 9000 SHI,,,,,,,1,,,1
Biology - BIOL 9000 STE,,,,,,,4,,,4
Biology - BIOL 9000 STO,,,,,,,5,,,5
Biology - BIOL 9000 STR,,,,,,,1,,,1
Biology - BIOL 9000 TOR,,,,,,,2,,,2
Biology - BIOL 9000 VAN,,,,,,,1,,,1
Biology - BIOL 9000 VAN,A,B,C,D,F,I,S,U,V,W Aver. Total
Biology - BIOL 9000 WEI,,,,,,,2,,,2
Biology - BIOL 9000 WIL,,,,,,,1,,,1
Biology - BIOL 9000 WRI,,,,,,1,,,,1
Biology - BIOL 9000 WTZ,,,,,,,2,,,2
Biology - BIOL 9000 YI,,,,,,,1,,,1
Biomed Engr/Joint Emory PKU - BMEJ 999.,,,,,,,,,12,12
Biomedical Engineering - BMED 2210 A,12,7,4,,1,,,,,3.21 24
Biomedical Engineering - BMED 2250 A,16,4,,,1,,,,,3.62 21
Biomedical Engineering - BMED 2310 A,3,14,,,,,,,,3.18 17
Biomedical Engineering - BMED 2699 BCK,1,,,,,,,,,4.00 1
Biomedical Engineering - BMED 2699 DAH,1,,,,,,,,,4.00 1
Biomedical Engineering - BMED 2699 HOL,,,,,,1,,,,1
Biomedical Engineering - BMED 2699 JO,1,,,,,,,,,4.00 1
Biomedical Engineering - BMED 2699 KE,1,,,,,,,,,4.00 1
Biomedical Engineering - BMED 2699 KMP,1,,,,,,,,,4.00 1
Biomedical Engineering - BMED 2699 LAM,2,,,,,,,,,4.00 2
Biomedical Engineering - BMED 2699 SIN,1,,,,,,,,,4.00 1
Biomedical Engineering - BMED 2699 SUN,1,,,,,,,,,4.00 1
Biomedical Engineering - BMED 3100 A,12,13,2,,1,,,,,3.25 28
Biomedical Engineering - BMED 3110 A,11,8,,,,,,,,3.58 19
Biomedical Engineering - BMED 3110 R,27,5,,,,,,,,3.84 32
Biomedical Engineering - BMED 3310 A,13,6,13,,,,,,,2 3.00 34
Biomedical Engineering - BMED 3310 R,21,15,2,,,,,,,3.50 38
Biomedical Engineering - BMED 3400 A,14,7,3,,,,,,,1 3.46 25
Biomedical Engineering - BMED 3520 A,10,6,3,2,,,,,,1 3.14 22
Biomedical Engineering - BMED 3520 R,21,18,5,,,,,,,3.36 44
Biomedical Engineering - BMED 3600 A,9,9,3,1,,1,,,,6 3.18 29
Biomedical Engineering - BMED 3610 A,10,,,,,,,,,4.00 10
Biomedical Engineering - BMED 4698 BUC,,,,,,,,,1,1
Biomedical Engineering - BMED 4698 DAV,,,,,,,,,1,1
Biomedical Engineering - BMED 4698 ETH,,,,,,,,,2,2
Biomedical Engineering - BMED 4698 KEI,,,,,,,,,1,1
Biomedical Engineering - BMED 4698 KWO,,,,,,,,,1,1
Biomedical Engineering - BMED 4698 LED,,,,,,,,,1,1
Biomedical Engineering - BMED 4698 PAD,,,,,,,,,1,1
Biomedical Engineering - BMED 4698 PAN,,,,,,,,,1,1
Biomedical Engineering - BMED 4698 ROY,,,,,,,,,1,1
Biomedical Engineering - BMED 4698 TSY,,,,,,,,,1,1
Biomedical Engineering - BMED 4698 YOG,,,,,,,,,1,1
Biomedical Engineering - BMED 4699 ACK,1,,,,,,,,,4.00 1
Biomedical Engineering - BMED 4699 ARV,,1,,,,,,,,3.00 1
Biomedical Engineering - BMED 4699 BAB,,1,,,,,,,,3.00 1
Biomedical Engineering - BMED 4699 BOT,2,,,,,,,,,4.00 2
Biomedical Engineering - BMED 4699 DAH,1,,,,,,,,,4.00 1
Biomedical Engineering - BMED 4699 ETH,3,,,,,,,,,4.00 3
Biomedical Engineering - BMED 4699 HAI,2,,,,,,,,,4.00 2
Biomedical Engineering - BMED 4699 HRH,1,,,,,,,,,4.00 1
Biomedical Engineering - BMED 4699 HU,,,,,,1,,,,1
Biomedical Engineering - BMED 4699 I2P,3,,,,,,,,,4.00 3
Biomedical Engineering - BMED 4699 KEI,1,,,,,,,,,4.00 1
Biomedical Engineering - BMED 4699 LAM,1,,,,,,,,,4.00 1
Biomedical Engineering - BMED 4699 LAP,1,,,,,,,,,4.00 1
Biomedical Engineering - BMED 4699 LEE,1,,,,,,,,,4.00 1
Biomedical Engineering - BMED 4699 MIT,1,,,,,,,,,4.00 1
Biomedical Engineering - BMED 4699 PAN,1,,,,,,,,,4.00 1
Biomedical Engineering - BMED 4699 PER,1,,,,,,,,,4.00 1
Biomedical Engineering - BMED 4699 SAN,1,,,,,,,,,4.00 1
Biomedical Engineering - BMED 4699 SUN,3,,,,,,,,,4.00 3
Biomedical Engineering - BMED 4699 SUN,A,B,C,D,F,I,S,U,V,W Aver. Total
Biomedical Engineering - BMED 4699 TSY,2,,,,,,,,,4.00 2
Biomedical Engineering - BMED 4699 WAN,2,,,,,,,,,4.00 2
Biomedical Engineering - BMED 4699 YOG,2,,,,,,,,,4.00 2
Biomedical Engineering - BMED 4751 R,21,9,1,,,,,,,3.65 31
Biomedical Engineering - BMED 4758 R,11,2,,,,,,,,3.85 13
Biomedical Engineering - BMED 4781 R,6,4,1,,,,,,,3.45 11
Biomedical Engineering - BMED 4803 R,9,14,3,,,,,,,3.23 26
Biomedical Engineering - BMED 4803 ST,,,,,,,,,1,1
Biomedical Engineering - BMED 4813 R,12,3,2,,,,,,,3.59 17
Biomedical Engineering - BMED 4823 R,22,5,1,,,,,,,3.75 28
Biomedical Engineering - BMED 4900 R,3,,,,,,,,,4.00 3
Biomedical Engineering - BMED 6506 B,28,,,,,,,,,1 4.00 29
Biomedical Engineering - BMED 6507 B,28,,,,,,,,,1 4.00 29
Biomedical Engineering - BMED 6509 B,28,,,,,,,,,4.00 28
Biomedical Engineering - BMED 7000 AYO,,,,,,,1,,,1
Biomedical Engineering - BMED 7000 KEI,,,,,,,1,,,1
Biomedical Engineering - BMED 7000 MLA,,,,,,,1,,,1
Biomedical Engineering - BMED 7000 SUL,,,,,,,2,,,2
Biomedical Engineering - BMED 8823 CEE,6,,,,,,,,,4.00 6
Biomedical Engineering - BMED 8901 CLI,,,,,,,1,,,1
Biomedical Engineering - BMED 9000 AG,,,,,,,3,,,3
Biomedical Engineering - BMED 9000 AHM,,,,,,1,,,,1
Biomedical Engineering - BMED 9000 AYO,,,,,,,2,,,2
Biomedical Engineering - BMED 9000 BAS,,,,,,1,,,,1
Biomedical Engineering - BMED 9000 BOT,,,,,,,4,,,4
Biomedical Engineering - BMED 9000 BOU,,,,,,,2,,,2
Biomedical Engineering - BMED 9000 BVI,,,,,,,1,,,1
Biomedical Engineering - BMED 9000 CFO,,,,,,,3,,,3
Biomedical Engineering - BMED 9000 CHO,,,,,,,2,,,2
Biomedical Engineering - BMED 9000 CKE,,,,,,,4,,,4
Biomedical Engineering - BMED 9000 CLI,,,,,,,4,,,4
Biomedical Engineering - BMED 9000 COO,,,,,,,2,,,2
Biomedical Engineering - BMED 9000 CZH,,,,,,,4,,,4
Biomedical Engineering - BMED 9000 DAH,,,,,,,2,,,2
Biomedical Engineering - BMED 9000 DAV,,,,,,,5,,,5
Biomedical Engineering - BMED 9000 DES,,,,,,,3,,,3
Biomedical Engineering - BMED 9000 DIX,,,,,,,1,,,1
Biomedical Engineering - BMED 9000 DWA,,,,,,,5,,,5
Biomedical Engineering - BMED 9000 EME,,,,,,,8,,,8
Biomedical Engineering - BMED 9000 ETH,,,,,,,4,,,4
Biomedical Engineering - BMED 9000 EVO,,,,,,,3,,,3
Biomedical Engineering - BMED 9000 FEI,,,,,,,1,,,1
Biomedical Engineering - BMED 9000 GRO,,,,,,,2,,,2
Biomedical Engineering - BMED 9000 GST,,,,,,,5,,,5
Biomedical Engineering - BMED 9000 HAI,,,,,,,2,,,2
Biomedical Engineering - BMED 9000 HJO,,,,,,,4,,,4
Biomedical Engineering - BMED 9000 HLU,,,,,,,3,,,3
Biomedical Engineering - BMED 9000 INA,,,,,,,1,,,1
Biomedical Engineering - BMED 9000 JAN,,,,,,,2,,,2
Biomedical Engineering - BMED 9000 JBA,,,,,,,1,,,1
Biomedical Engineering - BMED 9000 JOS,,,,,,,2,,,2
Biomedical Engineering - BMED 9000 JTE,,,,,,,4,,,4
Biomedical Engineering - BMED 9000 KEM,,,,,,,3,,,3
Biomedical Engineering - BMED 9000 KEY,,,,,,,2,,,2
Biomedical Engineering - BMED 9000 KIM,,,,,,,1,,,1
Biomedical Engineering - BMED 9000 KWO,,,,,,,4,,,4
Biomedical Engineering - BMED 9000 LAM,,,,,,,5,,,5
Biomedical Engineering - BMED 9000 LEV,,,,,,,1,,,1
Biomedical Engineering - BMED 9000 LEV,A,B,C,D,F,I,S,U,V,W Aver. Total
Biomedical Engineering - BMED 9000 LIU,,,,,,,2,,,2
Biomedical Engineering - BMED 9000 LTI,,,,,,,2,,,2
Biomedical Engineering - BMED 9000 MPL,,,,,,,4,,,4
Biomedical Engineering - BMED 9000 MPR,,,,,,,4,,,4
Biomedical Engineering - BMED 9000 PAD,,,,,,,2,,,2
Biomedical Engineering - BMED 9000 PAN,,,,,,,1,,,1
Biomedical Engineering - BMED 9000 PAR,,,,,,,1,,,1
Biomedical Engineering - BMED 9000 QIU,,,,,,,1,,,1
Biomedical Engineering - BMED 9000 RBE,,,,,,3,,,,3
Biomedical Engineering - BMED 9000 RBU,,,,,,,4,,,4
Biomedical Engineering - BMED 9000 RGU,,,,,,,4,,,4
Biomedical Engineering - BMED 9000 RO2,,,,,,,1,1,,2
