"",A,B,C,D,F,I,S,U,V,W Aver. Tota
Accounting - ACCT 2101 TSA,26,29,5,3,3,,,,,3.09 66
Accounting - ACCT 2101 TSB,6,12,4,2,,,,,,5 2.92 29
Accounting - ACCT 2101 TSC,7,13,7,3,1,,,,1,3 2.71 35
Accounting - ACCT 2101 TSD,26,30,8,1,1,,1,,,2 3.20 69
Accounting - ACCT 2101 TSE,31,26,7,,2,,1,,,1 3.27 68
Accounting - ACCT 2102 TSA,28,31,8,3,,,,,,2 3.20 72
Accounting - ACCT 2102 TSB,23,19,6,5,,,,,,4 3.13 57
Accounting - ACCT 2102 TSC,21,28,12,2,1,,,,,3 3.03 67
Aerospace Engineering - AE 1355 CLA,9,,,,,,,,,4.00 9
Aerospace Engineering - AE 1355 MA2,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 1355 MAV,13,2,,,,,,,,3.87 15
Aerospace Engineering - AE 1601 A,30,7,3,,,,,,,1 3.68 41
Aerospace Engineering - AE 1601 B,24,9,3,1,,,,,,2 3.51 39
Aerospace Engineering - AE 1601 C,26,15,1,,,,,,,5 3.60 47
Aerospace Engineering - AE 2020 A,16,21,6,1,1,,,,,3 3.11 48
Aerospace Engineering - AE 2020 B,12,13,24,9,2,,,,,3 2.40 63
Aerospace Engineering - AE 2020 C,,,,,,,1,,,1 2
Aerospace Engineering - AE 2220 A,12,27,6,1,,,,,,3 3.09 49
Aerospace Engineering - AE 2220 B,23,12,9,2,6,,,,,2.85 52
Aerospace Engineering - AE 2355 CLA,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2355 MA2,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 2355 MAV,7,,,,,,,,,4.00 7
Aerospace Engineering - AE 2699 COS,,1,,,,,,,,3.00 1
Aerospace Engineering - AE 2699 FEI,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2699 HOL,9,,,,,,,,,4.00 9
Aerospace Engineering - AE 2699 LIE,4,,,,,,,,,4.00 4
Aerospace Engineering - AE 2699 MAV,16,,,,,,,,,1 4.00 17
Aerospace Engineering - AE 2699 RIM,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2699 RUZ,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2699 SAL,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2699 SCA,7,,,,,,,,,1 4.00 8
Aerospace Engineering - AE 2699 SMI,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2699 SPE,18,1,1,,,,,,,3.85 20
Aerospace Engineering - AE 2699 THE,1,,,,,,,,,1 4.00 2
Aerospace Engineering - AE 2699 ZIN,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 3021 A,41,16,4,3,2,,,,,2 3.38 68
Aerospace Engineering - AE 3021 B,21,15,9,3,5,,,,,5 2.83 58
Aerospace Engineering - AE 3051 A,5,6,1,,,,,,,3.33 12
Aerospace Engineering - AE 3051 B,6,5,,1,,,,,,3.33 12
Aerospace Engineering - AE 3051 C,7,3,2,,,,,,,3.42 12
Aerospace Engineering - AE 3051 D,5,2,4,,,,,,,3.09 11
Aerospace Engineering - AE 3051 E,5,6,1,,,,,,,3.33 12
Aerospace Engineering - AE 3051 F,7,3,2,,,,,,,3.42 12
Aerospace Engineering - AE 3051 G,7,5,,,,,,,,3.58 12
Aerospace Engineering - AE 3090 A,19,2,,2,,,,,,6 3.65 29
Aerospace Engineering - AE 3125 A,48,17,10,1,,,,,,1 3.47 77
Aerospace Engineering - AE 3145 A,10,4,,,1,,,,,1 3.47 16
Aerospace Engineering - AE 3145 B,13,2,,,,,,,,1 3.87 16
Aerospace Engineering - AE 3145 C,12,3,1,,,,,,,3.69 16
Aerospace Engineering - AE 3145 D,14,2,,,,,,,,3.88 16
Aerospace Engineering - AE 3145 E,8,5,1,,,,,,,3.50 14
Aerospace Engineering - AE 3310 A,17,17,19,5,,,,,,4 2.79 62
Aerospace Engineering - AE 3310 R,2,3,2,,,,,,,3.00 7
Aerospace Engineering - AE 3355 CLA,1,,,,,,,,,1 4.00 2
Aerospace Engineering - AE 3355 MA2,5,,,,,,,,,4.00 5
Aerospace Engineering - AE 3355 MAV,6,,,,,,,,,4.00 6
Aerospace Engineering - AE 3450 A,16,19,21,7,4,,,,,2 2.54 69
Aerospace Engineering - AE 3450 B,11,26,10,1,3,,,,,3 2.80 54
Aerospace Engineering - AE 3450 B,1A1,2B6,1C0,D1,3F,I,S,U,V,W3 A2v.e8r0. To5ta4
Aerospace Engineering - AE 3450 R,7,1,1,1,,,,,,3.40 10
Aerospace Engineering - AE 3515 A,26,13,8,4,5,,,,,1 2.91 57
Aerospace Engineering - AE 3515 B,13,12,13,3,3,,,,,2 2.66 46
Aerospace Engineering - AE 3521 A,17,20,9,1,,,,,,1 3.13 48
Aerospace Engineering - AE 3521 B,10,9,2,3,7,,,,,2 2.39 33
Aerospace Engineering - AE 3801 A,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 3801 SEI,30,14,2,1,,,,,,1 3.55 48
Aerospace Engineering - AE 4220 A,14,14,18,6,4,,,,1,2 2.50 59
Aerospace Engineering - AE 4310 A,11,17,3,5,1,,,1,,6 2.86 44
Aerospace Engineering - AE 4350 A,18,11,4,2,1,,,,,3.19 36
Aerospace Engineering - AE 4350 B,13,10,8,1,,,,,,3.09 32
Aerospace Engineering - AE 4350 IP,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4350 IP3,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4355 CLA,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4355 MA2,4,,,,,,,,,4.00 4
Aerospace Engineering - AE 4355 MAV,4,,,,,,,,,4.00 4
Aerospace Engineering - AE 4357 A,11,18,,,,,,,,3.38 29
Aerospace Engineering - AE 4357 B,9,8,,,,,,,,3.53 17
Aerospace Engineering - AE 4357 IP,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4358 A,10,7,1,1,,,,,,3.37 19
Aerospace Engineering - AE 4451 A,16,13,14,5,2,,,,,2.72 50
Aerospace Engineering - AE 4451 B,15,9,13,6,4,,,1,,2.53 48
Aerospace Engineering - AE 4525 A,2,9,4,,,,,,,2.87 15
Aerospace Engineering - AE 4525 B,3,6,7,,,,,,,2.75 16
Aerospace Engineering - AE 4525 C,5,5,6,,,,,,,2.94 16
Aerospace Engineering - AE 4525 D,4,3,6,1,,,,,,2.71 14
Aerospace Engineering - AE 4525 E,6,8,1,,,,,,,3.33 15
Aerospace Engineering - AE 4698 BRA,,,,,,,,,4,4
Aerospace Engineering - AE 4698 HOL,,,,,,,,,1,1
Aerospace Engineering - AE 4698 LIE,,,,,,,,,1,1
Aerospace Engineering - AE 4698 MAV,,,,,,,,,1,1 2
Aerospace Engineering - AE 4698 SMI,,,,,,,,,1,1
Aerospace Engineering - AE 4698 SUN,,,,,,,,,1,1
Aerospace Engineering - AE 4698 YAN,,,,,,,,,1,1
Aerospace Engineering - AE 4699 BRA,4,,,,,,,,,4.00 4
Aerospace Engineering - AE 4699 CLA,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 COS,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 4699 FEI,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 FER,2,1,,,,,,,,3.67 3
Aerospace Engineering - AE 4699 GER,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 4699 GUN,6,1,,,,,,,,3.86 7
Aerospace Engineering - AE 4699 HOD,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 4699 HOL,16,,,,,,,,,2 4.00 18
Aerospace Engineering - AE 4699 JAG,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 JOH,1,2,,,,,,,,3.33 3
Aerospace Engineering - AE 4699 KEN,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 KOM,7,1,2,,,,,,,1 3.50 11
Aerospace Engineering - AE 4699 LIE,4,,,,,,,,,4.00 4
Aerospace Engineering - AE 4699 MAV,54,,,,,,,,,4.00 54
Aerospace Engineering - AE 4699 MEN,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 PRA,1,1,,,,,,,,3.50 2
Aerospace Engineering - AE 4699 PRI,,1,,,,,,,,3.00 1
Aerospace Engineering - AE 4699 R2,2,1,,,,,,,,3.67 3
Aerospace Engineering - AE 4699 RIM,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 SAL,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 4699 SAN,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 4699 SCA,6,,,,,,,,,4.00 6
Aerospace Engineering - AE 4699 SCH,5,,,,,,,,,4.00 5
Aerospace Engineering - AE 4699 SCH,A5,B,C,D,F,I,S,U,V,W A4v.e0r0. Tota5
Aerospace Engineering - AE 4699 SEI,1,1,,,,,,,,1 3.50 3
Aerospace Engineering - AE 4699 SMI,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 SPE,21,,,,,,,,,4.00 21
Aerospace Engineering - AE 4699 SUN,1,1,,,,,,,,3.50 2
Aerospace Engineering - AE 4699 WAL,2,1,,,,,,,,1 3.67 4
Aerospace Engineering - AE 4699 ZIN,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4760 A,2,2,,,1,,1,,,1 2.80 7
Aerospace Engineering - AE 4791 A,9,2,1,,,,,,,3.67 12
Aerospace Engineering - AE 4791 Q,1,1,,,,,,,,3.50 2
Aerospace Engineering - AE 6009 A,26,13,14,2,1,,,,2,4 3.09 62
Aerospace Engineering - AE 6009 Q,2,,,,,,,,,1 4.00 3
Aerospace Engineering - AE 6070 Q,9,1,,,,,,,,3.90 10
Aerospace Engineering - AE 6080 A,4,2,,,,,,,4,1 3.67 11
Aerospace Engineering - AE 6170 A,17,8,1,,,,,,2,2 3.62 30
Aerospace Engineering - AE 6211 A,4,,,,,,,,2,1 4.00 7
Aerospace Engineering - AE 6230 A,28,5,,,,,,,2,2 3.85 37
Aerospace Engineering - AE 6333 A,12,3,,,,,,,2,3.80 17
Aerospace Engineering - AE 6343 A,54,15,2,,,,,,2,5 3.73 78
Aerospace Engineering - AE 6343 Q,4,3,,,,,,,,3.57 7
Aerospace Engineering - AE 6353 A,9,12,3,,,,,,4,2 3.25 30
Aerospace Engineering - AE 6353 Q,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 6355 A,9,11,1,,,,,,1,5 3.38 27
Aerospace Engineering - AE 6355 Q,4,4,,,,,,,,3.50 8
Aerospace Engineering - AE 6372 A,41,5,,,,,,,,3.89 46
Aerospace Engineering - AE 6372 Q,4,1,,,,,,,,3.80 5
Aerospace Engineering - AE 6373 A,50,11,,,,,,,2,2 3.82 65
Aerospace Engineering - AE 6373 Q,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 6383 MAV,60,,,,,,,,,2 4.00 62
Aerospace Engineering - AE 6383 SCH,8,,,,,,,,,4.00 8
Aerospace Engineering - AE 6503 A,3,4,,,,,,,2,3.43 9
Aerospace Engineering - AE 6503 Q,5,3,,,,,,,,3.63 8
Aerospace Engineering - AE 6551 A,6,,,,,,,,,1 4.00 7
Aerospace Engineering - AE 6721 A,12,,,,,,,,,4.00 12
Aerospace Engineering - AE 6761 A,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 6765 A,30,15,6,,1,,,,3,3.40 55
Aerospace Engineering - AE 6765 Q,3,2,,,,,,,,3.60 5
Aerospace Engineering - AE 6769 A,1,1,,,,,,,,3.50 2
Aerospace Engineering - AE 6770 AE,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 7000 AHU,,,,,,,3,,,3
Aerospace Engineering - AE 7000 BRA,,,,,,,6,,,6
Aerospace Engineering - AE 7000 CLA,,,,,,,2,,,2
Aerospace Engineering - AE 7000 COS,,,,,,,3,,,3
Aerospace Engineering - AE 7000 FEI,,,,,,,2,,,2
Aerospace Engineering - AE 7000 GER,,,,,,,4,,,4
Aerospace Engineering - AE 7000 GUN,,,,,,,2,,,2
Aerospace Engineering - AE 7000 HOD,,,,,,,2,,,2
Aerospace Engineering - AE 7000 HOL,,,,,,,6,,,6
Aerospace Engineering - AE 7000 JAG,,,,,,,11,1,,12
Aerospace Engineering - AE 7000 JOH,,,,,,,2,,,2
Aerospace Engineering - AE 7000 KAR,,,,,,,1,,,1
Aerospace Engineering - AE 7000 KEN,,,,,,,3,,,3
Aerospace Engineering - AE 7000 KOM,,,,,,,5,,,5
Aerospace Engineering - AE 7000 LIE,,,,,,,7,,,7
Aerospace Engineering - AE 7000 MAV,,,,,,,88,,,88
Aerospace Engineering - AE 7000 MEN,,,,,,,1,,,1
Aerospace Engineering - AE 7000 PRA,,,,,,,2,,,2
Aerospace Engineering - AE 7000 PRI,,,,,,,6,,,6
Aerospace Engineering - AE 7000 QMA,,,,,,,1,,,1
Aerospace Engineering - AE 7000 QMA,A,B,C,D,F,I,S1,U,V,W Aver. Tota1
Aerospace Engineering - AE 7000 QWI,,,,,,,3,,,3
Aerospace Engineering - AE 7000 RIM,,,,,,,2,,,2
Aerospace Engineering - AE 7000 RUF,,,,,,,3,,,3
Aerospace Engineering - AE 7000 RUZ,,,,,,,2,,,2
Aerospace Engineering - AE 7000 SAN,,,,,,,6,,,6
Aerospace Engineering - AE 7000 SCH,,,,,,,5,,,5
Aerospace Engineering - AE 7000 SMI,,,,,,,5,,,5
Aerospace Engineering - AE 7000 SPE,,,,,,,3,,,3
Aerospace Engineering - AE 7000 SUN,,,,,,,3,,,3
Aerospace Engineering - AE 7000 TSI,,,,,,,2,,,2
Aerospace Engineering - AE 7000 WAL,,,,,,,2,,,2
Aerospace Engineering - AE 7000 YAN,,,,,,,2,,,2
Aerospace Engineering - AE 7000 ZIN,,,,,,,1,,,1
Aerospace Engineering - AE 7772 A,4,1,,,,,,,,3.80 5
Aerospace Engineering - AE 7772 Q,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 7785 A,5,,,,,,,,,4.00 5
Aerospace Engineering - AE 8801 GRI,7,,,,,,,,,4.00 7
Aerospace Engineering - AE 8803 GRI,7,1,1,,,,,,,3.67 9
Aerospace Engineering - AE 8803 HAD,7,6,5,1,1,,,,5,11 2.85 36
Aerospace Engineering - AE 8803 PRI,,,,,,,5,,,5
Aerospace Engineering - AE 8803 QJ1,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8803 QSA,4,,,,,,,,,4.00 4
Aerospace Engineering - AE 8803 RIM,9,4,2,,,,,,3,1 3.47 19
Aerospace Engineering - AE 8900 BRA,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 CLA,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 FER,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 8900 GER,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 8900 JAG,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 LIE,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 MAV,14,,,,,,,,,1 4.00 15
Aerospace Engineering - AE 8900 MEN,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 PRA,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 PRI,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 QCO,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 QGE,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 QHO,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 QSA,1,1,,,,,,,,3.50 2
Aerospace Engineering - AE 8900 RIM,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 RUZ,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 SCH,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 8900 SPE,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 SUN,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 THE,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 8900 WAL,,1,,,,,,,,3.00 1
Aerospace Engineering - AE 8900 YEU,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 9000 AHU,,,,,,,1,,,1
Aerospace Engineering - AE 9000 BRA,,,,,,,6,,,6
Aerospace Engineering - AE 9000 CLA,,,,,,,4,,,4
Aerospace Engineering - AE 9000 COS,,,,,,,6,,,6
Aerospace Engineering - AE 9000 FEI,,,,,,,6,,,6
Aerospace Engineering - AE 9000 FER,,,,,,,4,,,4
Aerospace Engineering - AE 9000 GER,,,,,,,6,,,6
Aerospace Engineering - AE 9000 GUN,,,,,,,2,,,2
Aerospace Engineering - AE 9000 HAD,,,,,,,3,,,3
Aerospace Engineering - AE 9000 HOD,,,,,,,5,,,5
Aerospace Engineering - AE 9000 HOL,,,,,,,2,,,2
Aerospace Engineering - AE 9000 JAG,,,,,,,7,,,7
Aerospace Engineering - AE 9000 JOH,,,,,,,11,,,11
Aerospace Engineering - AE 9000 JOH,A,B,C,D,F,I,1S1,U,V,W Aver. To1ta1
Aerospace Engineering - AE 9000 KAR,,,,,,,5,,,5
Aerospace Engineering - AE 9000 KOM,,,,,,,1,,,1
Aerospace Engineering - AE 9000 LIE,,,,,,,4,,,4
Aerospace Engineering - AE 9000 MAV,,,,,,,95,,,1 96
Aerospace Engineering - AE 9000 MEN,,,,,,,14,1,,15
Aerospace Engineering - AE 9000 PRA,,,,,,,4,,,4
Aerospace Engineering - AE 9000 PRI,,,,,,,1,,,1
Aerospace Engineering - AE 9000 QBR,,,,,,,1,,,1
Aerospace Engineering - AE 9000 QMA,,,,,,,1,,,1
Aerospace Engineering - AE 9000 QWI,,,,,,,5,,,5
Aerospace Engineering - AE 9000 QYA,,,,,,,,1,,1
Aerospace Engineering - AE 9000 RIM,,,,,,,3,,,3
Aerospace Engineering - AE 9000 RUF,,,,,,,3,1,,4
Aerospace Engineering - AE 9000 RUZ,,,,,,,4,,,4
Aerospace Engineering - AE 9000 SAL,,,,,,,1,,,1
Aerospace Engineering - AE 9000 SAN,,,,,,,1,,,1
Aerospace Engineering - AE 9000 SCH,,,,,,,1,,,1
Aerospace Engineering - AE 9000 SEI,,,,,,,3,,,3
Aerospace Engineering - AE 9000 SMI,,,,,,,3,,,1 4
Aerospace Engineering - AE 9000 SUN,,,,,,,2,,,2
Aerospace Engineering - AE 9000 THE,,,,,,,5,,,5
Aerospace Engineering - AE 9000 TSI,,,,,,,7,,,7
Aerospace Engineering - AE 9000 WAL,,,,,,,8,,,8
Aerospace Engineering - AE 9000 YAN,,,,,,,5,,,5
Aerospace Engineering - AE 9000 YEU,,,,,,,3,,,3
Aerospace Engineering - AE 9000 YU,,,,,,,1,,,1
Aerospace Engineering - AE 9000 ZIN,,,,,,,5,,,5
Air Force Aerospace Studies - AS 1110 A,9,7,,,,,,,,3 3.56 19
Air Force Aerospace Studies - AS 1110 B,1,8,2,,1,,,,,3 2.67 15
Air Force Aerospace Studies - AS 1111 A,,,,,,,14,1,,6 21
Air Force Aerospace Studies - AS 2210 A,17,3,,,1,,,,,3 3.67 24
Air Force Aerospace Studies - AS 2210 B,11,2,1,,,,,,,3 3.71 17
Air Force Aerospace Studies - AS 2211 A,,,,,,,38,,,1 39
Air Force Aerospace Studies - AS 3310 A,9,1,,,,,,,,3.90 10
Air Force Aerospace Studies - AS 3311 A,,,,,,,10,,,10
Air Force Aerospace Studies - AS 4410 A,14,,,,,,,,,4.00 14
Air Force Aerospace Studies - AS 4411 A,,,,,,,23,,,23
Applied Physiology - APPH 1040 A,214,53,18,3,,,,,,8 3.66 296
Applied Physiology - APPH 1040 E,123,88,20,6,5,,,,,12 3.31 254
Applied Physiology - APPH 1040 J,132,132,22,7,3,,,,,11 3.29 307
Applied Physiology - APPH 1040 L,151,85,12,2,,,,,,4 3.54 254
Applied Physiology - APPH 1050 AF1,8,7,3,1,,,,,,2 3.16 21
Applied Physiology - APPH 1050 AF2,6,8,6,1,,,,,,1 2.90 22
Applied Physiology - APPH 1050 AR1,9,14,1,,,,,,,3.33 24
Applied Physiology - APPH 1050 AR2,9,9,3,,,,,,,2 3.29 23
Applied Physiology - APPH 1050 AWT,11,5,5,1,1,,,,,3.04 23
Applied Physiology - APPH 1050 AYO,14,5,2,2,1,,,,,3.21 24
Applied Physiology - APPH 1050 BF1,15,10,,,,,,,,3.60 25
Applied Physiology - APPH 1050 BF2,16,7,1,,,,,,,3.63 24
Applied Physiology - APPH 1050 BR1,7,4,1,,1,,,,,2 3.23 15
Applied Physiology - APPH 1050 BR2,14,6,,1,,,,,,3.57 21
Applied Physiology - APPH 1050 BWT,14,8,,1,,,,,,2 3.52 25
Applied Physiology - APPH 1050 BYO,16,6,1,,,,,,,1 3.65 24
Applied Physiology - APPH 2500 A,14,5,1,,,,,,,2 3.65 22
Applied Physiology - APPH 2699 CH,1,,,,,,,,,4.00 1
Applied Physiology - APPH 3753 A,27,26,9,1,,,,,,3 3.25 66
Applied Physiology - APPH 3754 A,7,4,2,,,,,,,1 3.38 14
Applied Physiology - APPH 3754 B,7,9,2,,,,,,,1 3.28 19
Applied Physiology - APPH 3754 B,A,B,C,D,F,I,S,U,V,W Aver. Tota
Applied Physiology - APPH 3803 BP,1,2,,,,,,,,3.33 3
Applied Physiology - APPH 4200 A,,5,,,,,,,,3.00 5
Applied Physiology - APPH 4400 A,5,7,4,1,2,,,,1,2 2.63 22
Applied Physiology - APPH 4699 BP,2,,,,,,,,,4.00 2
Applied Physiology - APPH 4699 CH,2,,1,,,,,,,3.33 3
Applied Physiology - APPH 4699 GK,1,,,,,,,,,4.00 1
Applied Physiology - APPH 4699 LW,2,,,,,,,,,4.00 2
Applied Physiology - APPH 4699 MMS,2,,,,,,,,,4.00 2
Applied Physiology - APPH 4699 MS,5,,,,,,,,,4.00 5
Applied Physiology - APPH 4699 RN,3,,,,,,,,,4.00 3
Applied Physiology - APPH 4699 YC,1,,,,,,,,,4.00 1
Applied Physiology - APPH 4801 A,5,,,,,,,,,4.00 5
Applied Physiology - APPH 4802 BL,2,,,,,,,,,4.00 2
Applied Physiology - APPH 4803 SG,13,,,,,,1,,,4.00 14
Applied Physiology - APPH 6202 A,13,4,,,,,,,,3.76 17
Applied Physiology - APPH 6209 A,,,,,,,14,,,14
Applied Physiology - APPH 6211 A,3,1,,,,,,,,3.75 4
Applied Physiology - APPH 6213 A,1,1,,,,,,,1,3.50 3
Applied Physiology - APPH 6214 BP,1,,,,,,,,,4.00 1
Applied Physiology - APPH 6216 A,5,,,,,,,,,4.00 5
Applied Physiology - APPH 6231 A,4,,,,,,,,,4.00 4
Applied Physiology - APPH 6400 A,3,2,,,,,,,1,3.60 6
Applied Physiology - APPH 6895 A,14,,,,,,,,,4.00 14
Applied Physiology - APPH 6971 A,14,,,,,,,,,4.00 14
Applied Physiology - APPH 6975 A,14,,,,,,,,,4.00 14
Applied Physiology - APPH 6982 A,7,7,,,,,,,,3.50 14
Applied Physiology - APPH 6985 A,11,3,,,,,,,,3.79 14
Applied Physiology - APPH 6997 A,,,,,,,14,,,14
Applied Physiology - APPH 6999 A,,,,,,,14,,,14
Applied Physiology - APPH 6999 C,,,,,,,14,,,14
Applied Physiology - APPH 8000 A,1,,,,,,,,,4.00 1
Applied Physiology - APPH 8010 A,,,,,,,14,,,14
Applied Physiology - APPH 8801 A,5,,,,,,5,,1,1 4.00 12
Applied Physiology - APPH 9000 BP,,,,,,,3,,,3
Applied Physiology - APPH 9000 EB,,,,,,,1,,,1
Applied Physiology - APPH 9000 LW,,,,,,,3,1,,4
Applied Physiology - APPH 9000 MMS,,,,,,,2,,,2
Applied Physiology - APPH 9000 RG,,,,,,,1,,,1
Applied Physiology - APPH 9000 RN,,,,,,,3,,,3
Applied Physiology - APPH 9000 SS,,,,,,,1,,,1
Applied Physiology - APPH 9000 TB,,,,,,,1,,,1
Applied Physiology - APPH 9000 YC,,,,,,,2,,,2
Applied Systems Engineering - ASE 6001 Q,23,1,,,,,,,,1 3.96 25
Applied Systems Engineering - ASE 6004 Q,23,1,,,1,,,,,1 3.80 26
Applied Systems Engineering - ASE 6006 Q,27,,,,,,,,,4.00 27
Applied Systems Engineering - ASE 6111 Q,13,,,,,,,,,4.00 13
Applied Systems Engineering - ASE 6121 Q,3,2,,,,,,,,3.60 5
Applied Systems Engineering - ASE 8803 Q,8,1,,,,,,,,3.89 9
Arabic - ARBC 1001 B,7,5,,,,,,,1,3.58 13
Arabic - ARBC 1001 E,5,6,2,,,,,,1,1 3.23 15
Arabic - ARBC 2001 D,1,,1,,,,,,,3.00 2
Architecture - ARCH 2011 HD,4,5,3,,,,,,,3.08 12
Architecture - ARCH 2011 LD,6,2,3,,,,,,,3.27 11
Architecture - ARCH 2011 MR,2,8,1,,,,,,,3.09 11
Architecture - ARCH 2111 LH,3,24,8,2,1,,3,,,6 2.68 47
Architecture - ARCH 2111 LH1,4,14,8,1,,,1,,,4 2.78 32
Architecture - ARCH 2211 RL,15,17,3,,,,,,,3.34 35
Architecture - ARCH 2472 SO,22,9,3,,,,,,,3.56 34
Architecture - ARCH 2472 SO,2A2,B9,C3,D,F,I,S,U,V,W A3v.e5r6. To3ta4
Architecture - ARCH 3011 JL,5,3,,,,,,,,3.63 8
Architecture - ARCH 3011 JZ,4,5,,,,,,,,3.44 9
Architecture - ARCH 3011 VA,8,2,,,,,,,,3.80 10
Architecture - ARCH 4011 AL,8,2,,,,,,,,3.80 10
Architecture - ARCH 4011 FP,12,2,,,,,,,,3.86 14
Architecture - ARCH 4011 HH,1,,,,,,,,,4.00 1
Architecture - ARCH 4011 HH1,3,5,,,,,,,,3.38 8
Architecture - ARCH 4011 MG,11,,1,,,,,,,1 3.83 13
Architecture - ARCH 4012 OK,,1,,,,,,,,3.00 1
Architecture - ARCH 4107 LS,7,,1,,,,,,,3.75 8
Architecture - ARCH 4137 BF,1,,,,,,,,,4.00 1
Architecture - ARCH 4151 PK,8,15,11,6,,,,,,1 2.63 41
Architecture - ARCH 4227 FP1,5,,,,,,,,,4.00 5
Architecture - ARCH 4231 JB,23,10,6,,,,1,,3,1 3.44 44
Architecture - ARCH 4251 RG,36,4,3,,,,,,,3.77 43
Architecture - ARCH 4411 LD,7,3,,,,,,,,1 3.70 11
Architecture - ARCH 4801 BF,8,,,,,,,,,4.00 8
Architecture - ARCH 4803 AB,1,,,,,,,,,4.00 1
Architecture - ARCH 4803 AE,5,1,,,,,,,,1 3.83 7
Architecture - ARCH 4803 BF,2,,,,,,,,,4.00 2
Architecture - ARCH 4803 CZ,9,1,,,,,,,,3.90 10
Architecture - ARCH 4803 EDJ,1,1,,,,,,,,3.50 2
Architecture - ARCH 4803 JP,1,,,,,,,,,4.00 1
Architecture - ARCH 4803 JP2,3,,,,,,,,,4.00 3
Architecture - ARCH 4803 LA,1,,,,,,,,,4.00 1
Architecture - ARCH 4803 TA,6,2,,,,,2,,,3.75 10
Architecture - ARCH 4833 DB,5,2,,,,,1,,,3.71 8
Architecture - ARCH 4833 PP,1,,,,,,,,,4.00 1
Architecture - ARCH 4833 RV,10,1,,,,,,,,1 3.91 12
Architecture - ARCH 4843 JS,4,,,,,,,,,4.00 4
Architecture - ARCH 4903 MG,1,,,,,,,,,4.00 1
Architecture - ARCH 4903 RD,1,,,,,,,,,4.00 1
Architecture - ARCH 6026 MC,5,1,1,,,,,,,3.57 7
Architecture - ARCH 6026 MM,4,2,1,,,,,,,3.43 7
Architecture - ARCH 6026 SB,3,3,1,,,,,,,3.29 7
Architecture - ARCH 6051 BB,6,3,1,,,,,,,3.50 10
Architecture - ARCH 6051 CR,3,6,,,,,,,,3.33 9
Architecture - ARCH 6051 JP,6,,3,,,,,,,3.33 9
Architecture - ARCH 6051 LS,8,2,,,,,,,,3.80 10
Architecture - ARCH 6051 SR,5,4,,,,,,,,3.56 9
