"",A,B,C,D,F,I,S,U,V,W Aver. Total
Aerospace Engineering - AE 7000 HOL,A,B,C,D,F,I,S,U,V,W Aver. Total
Aerospace Engineering - AE 7000 JAG,,,,,,,2,,,2
Aerospace Engineering - AE 7000 KEN,,,,,,,2,,,2
Aerospace Engineering - AE 7000 KOM,,,,,,,1,,,1 2
Aerospace Engineering - AE 7000 LIE,,,,,,,3,,,3
Aerospace Engineering - AE 7000 LIG,,,,,,,1,,,1
Aerospace Engineering - AE 7000 MAV,,,,,,,19,,,19
Aerospace Engineering - AE 7000 MEN,,,,,,,2,,,2
Aerospace Engineering - AE 7000 PRA,,,,,,,1,,,1
Aerospace Engineering - AE 7000 PRI,,,,,,,1,,,1
Aerospace Engineering - AE 7000 QGU,,,,,,,1,,,1
Aerospace Engineering - AE 7000 QWI,,,,,,,1,,,1
Aerospace Engineering - AE 7000 RUZ,,,,,,,1,,,1
Aerospace Engineering - AE 7000 SAN,,,,,,,2,,,2
Aerospace Engineering - AE 7000 SCH,,,,,,,3,,,3
Aerospace Engineering - AE 7000 SMI,,,,,,,1,,,1
Aerospace Engineering - AE 7000 SUN,,,,,,,1,,,1
Aerospace Engineering - AE 7000 YAN,,,,,,,2,,,2
Aerospace Engineering - AE 8801 SMI,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8803 QJ1,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 8900 COS,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 8900 JOH,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 KAR,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 MAV,8,1,,,,,,,,3.89 9
Aerospace Engineering - AE 8900 MEN,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 PRA,,,,1,,,,,,1.00 1
Aerospace Engineering - AE 8900 QHO,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 QMA,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 QPJ,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 8900 SCH,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 SEI,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 8900 SMI,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 8900 YAN,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 9000 AHU,,,,,,,1,,,1
Aerospace Engineering - AE 9000 BRA,,,,,,,6,,,6
Aerospace Engineering - AE 9000 COS,,,,,,,5,,,5
Aerospace Engineering - AE 9000 FEI,,,,,,,3,,,3
Aerospace Engineering - AE 9000 FER,,,,,,,2,,,2
Aerospace Engineering - AE 9000 GER,,,,,,,5,,,5
Aerospace Engineering - AE 9000 GUN,,,,,,,2,,,2
Aerospace Engineering - AE 9000 HAD,,,,,,,2,,,2
Aerospace Engineering - AE 9000 HOD,,,,,,,3,,,3
Aerospace Engineering - AE 9000 JAG,,,,,,,1,,,1
Aerospace Engineering - AE 9000 JOH,,,,,,,6,,,6
Aerospace Engineering - AE 9000 KAR,,,,,,,3,,,3
Aerospace Engineering - AE 9000 KOM,,,,,,,1,,,1
Aerospace Engineering - AE 9000 LIE,,,,,,,5,,,5
Aerospace Engineering - AE 9000 LIG,,,,,,,3,,,3
Aerospace Engineering - AE 9000 MAV,,,,,,,75,,,75
Aerospace Engineering - AE 9000 MEN,,,,,,,8,1,,9
Aerospace Engineering - AE 9000 PRA,,,,,,,2,,,2
Aerospace Engineering - AE 9000 PRI,,,,,,,1,,,1
Aerospace Engineering - AE 9000 QBR,,,,,,,1,,,1
Aerospace Engineering - AE 9000 QWI,,,,,,,2,,,2
Aerospace Engineering - AE 9000 RIM,,,,,,,2,,,2
Aerospace Engineering - AE 9000 RUF,,,,,,,2,,,2
Aerospace Engineering - AE 9000 RUZ,,,,,,,3,,,3
Aerospace Engineering - AE 9000 SAL,,,,,,,1,,,1
Aerospace Engineering - AE 9000 SAN,,,,,,,1,,,1
Aerospace Engineering - AE 9000 SAN,A,B,C,D,F,I,S,U,V,W Aver. Total
Aerospace Engineering - AE 9000 SCH,,,,,,,1,,,1
Aerospace Engineering - AE 9000 SEI,,,,,,,3,,,3
Aerospace Engineering - AE 9000 SMI,,,,,,,2,,,2
Aerospace Engineering - AE 9000 SUN,,,,,,,4,,,4
Aerospace Engineering - AE 9000 THE,,,,,,,6,,,6
Aerospace Engineering - AE 9000 TSI,,,,,,,6,,,6
Aerospace Engineering - AE 9000 WAL,,,,,,,5,,,5
Aerospace Engineering - AE 9000 YAN,,,,,,,5,,,5
Aerospace Engineering - AE 9000 YEU,,,,,,,1,,,1
Aerospace Engineering - AE 9000 YU,,,,,,,1,,,1
Aerospace Engineering - AE 9000 ZIN,,,,,,,5,,,5
Applied Physiology - APPH 1040 AD,122,29,3,1,1,,,,,8 3.73 164
Applied Physiology - APPH 1040 LR,45,14,7,1,,,,,,1 3.54 68
Applied Physiology - APPH 1050 FIT,8,12,2,1,,,,,,1 3.17 24
Applied Physiology - APPH 1050 RUN,13,6,2,,,,,,,3.52 21
Applied Physiology - APPH 1050 WGT,10,11,2,,,,,,,2 3.35 25
Applied Physiology - APPH 1050 YOG,9,4,1,1,,,,,,3 3.40 18
Applied Physiology - APPH 2699 YJ,2,,,,,,,,,4.00 2
Applied Physiology - APPH 4698 CH,,,,,,,,,1,1
Applied Physiology - APPH 4698 LW,,,,,,,,,1,1
Applied Physiology - APPH 4698 MMS,,,,,,,,,1,1
Applied Physiology - APPH 4698 RN,,,,,,,,,1,1
Applied Physiology - APPH 4698 SS,,,,,,,,,1,1
Applied Physiology - APPH 4698 YC,,,,,,,,,1,1
Applied Physiology - APPH 4699 BP,1,,,,,,,,,4.00 1
Applied Physiology - APPH 4699 LW,1,,,,,,,,,4.00 1
Applied Physiology - APPH 4699 MS,1,,,,,,,,,4.00 1
Applied Physiology - APPH 4699 YJ,2,,,,,,,,,4.00 2
Applied Physiology - APPH 6225 TS,14,,1,,,,,,,3.87 15
Applied Physiology - APPH 8903 LW,1,,,,,,,,,4.00 1
Applied Physiology - APPH 9000 BP,,,,,,,2,,,2
Applied Physiology - APPH 9000 EB,,,,,,,1,,,1
Applied Physiology - APPH 9000 LW,,,,,,,3,,,3
Applied Physiology - APPH 9000 MMS,,,,,,,1,,,1
Applied Physiology - APPH 9000 RN,,,,,,,2,,,2
Applied Physiology - APPH 9000 SS,,,,,,,1,,,1
Applied Physiology - APPH 9000 TB,,,,,,,1,,,1
Applied Physiology - APPH 9000 YC,,,,,,,3,,,3
Applied Systems Engineering - ASE 6002 Q,17,7,,,,,,,,3.71 24
Applied Systems Engineering - ASE 6104 Q,28,,,,,,,,,4.00 28
Architecture - ARCH 3135 R,28,8,2,,,,,,,3.68 38
Architecture - ARCH 4123 R,4,2,,,,,2,,,3.67 8
Architecture - ARCH 4128 R,37,5,,,,,,,,3.88 42
Architecture - ARCH 4411 LD,6,4,1,,,,,,,1 3.45 12
Architecture - ARCH 4801 R,4,,,,,,,,,4.00 4
Architecture - ARCH 4803 R,4,,,,,,,,,4.00 4
Architecture - ARCH 4805 R,4,,,,,,,,,4.00 4
Architecture - ARCH 4823 R,2,2,,,,,,,,3.50 4
Architecture - ARCH 4833 RV2,7,,,,,,,,,4.00 7
Architecture - ARCH 4903 CR,,1,,,,,,,,3.00 1
Architecture - ARCH 4903 SG,1,,,,,,,,,4.00 1
Architecture - ARCH 4921 R,13,2,,,,,,,,1 3.87 16
Architecture - ARCH 6024 B,5,6,,,,,,,,3.45 11
Architecture - ARCH 6153 R,6,,,,1,,1,,,3.43 8
Architecture - ARCH 6155 R,6,1,,,,,,,,3.86 7
Architecture - ARCH 6470 C1,9,2,,,,,,,,3.82 11
Architecture - ARCH 7000 RG,,,,,,,1,,,1
Architecture - ARCH 8803 R,1,,,,,,,,,4.00 1
Architecture - ARCH 8803 R,A,B,C,D,F,I,S,U,V,W Aver. Total
Architecture - ARCH 8806 R,1,,,,,,,,,4.00 1
Architecture - ARCH 8823 R,1,,,,,,,,,4.00 1
Architecture - ARCH 8833 RV,9,,,,,,2,,,4.00 11
Architecture - ARCH 8901 C1,1,1,,,,,,,,3.50 2
Architecture - ARCH 8903 JB,,1,,,,,,,,3.00 1
Architecture - ARCH 8921 R,2,,,,,,,,,4.00 2
Architecture - ARCH 8921 R2,6,,,,1,,,,,3.43 7
Architecture - ARCH 8997 CR,,,,,,,,,2,2
Biology - BIOL 1510 A,18,17,6,,,,,,,3 3.29 44
Biology - BIOL 2344 B,9,6,1,,,,,,,3.50 16
Biology - BIOL 2698 FIN,,,,,,,,,1,1
Biology - BIOL 2699 GOO,1,,,,,,,,,4.00 1
Biology - BIOL 2699 JIA,1,,,,,,,,,4.00 1
Biology - BIOL 2699 STR,1,,,,,,,,,4.00 1
Biology - BIOL 3450 RBT,8,2,1,,,,,,,3.64 11
Biology - BIOL 4460 B,5,,,,,,,,,4.00 5
Biology - BIOL 4590 B,2,1,,,,,,,,3.67 3
Biology - BIOL 4690 A,3,,,,,,,,,4.00 3
Biology - BIOL 4694 C,,,,,,,,,5,5
Biology - BIOL 4695 A,4,,,,,,,,,4.00 4
Biology - BIOL 4695 C,1,,,,,,,,,4.00 1
Biology - BIOL 4698 GOL,,,,,,,,,1,1
Biology - BIOL 4698 LAC,,,,,,,,,1,1
Biology - BIOL 4698 RAT,,,,,,,,,1,1
Biology - BIOL 4698 SNE,,,,,,,,,1,1
Biology - BIOL 4699 CHO,1,,,,,,,,,4.00 1
Biology - BIOL 4699 FAN,2,,,,,,,,,4.00 2
Biology - BIOL 4699 GIB,1,,,,,,,,,4.00 1
Biology - BIOL 4699 GOO,4,,,,,,,,,4.00 4
Biology - BIOL 4699 GRE,1,,,,,,,,,4.00 1
Biology - BIOL 4699 HAM,1,,,,,,,,,4.00 1
Biology - BIOL 4699 HU,1,,,,,,,,,4.00 1
Biology - BIOL 4699 NIE,2,,,,,,,,,4.00 2
Biology - BIOL 4699 STR,1,,,,,,,,,4.00 1
Biology - BIOL 7000 MON,,,,,,,1,,,1
Biology - BIOL 7000 SNE,,,,,,,1,,,1
Biology - BIOL 7000 STR,,,,,,,1,,,1
Biology - BIOL 7000 YEN,,,,,,,1,,,1
Biology - BIOL 8901 FAN,1,,,,,,,,,4.00 1
Biology - BIOL 8902 GIB,1,,,,,,,,,4.00 1
Biology - BIOL 8902 JOR,,1,,,,,,,,3.00 1
Biology - BIOL 8902 LAC,1,,,,,,,,,4.00 1
Biology - BIOL 8902 SHI,1,,,,,,,,,4.00 1
Biology - BIOL 8902 VAN,2,,,,,,,,,4.00 2
Biology - BIOL 8997 A,,,,,,,,,15,15
Biology - BIOL 8998 CHE,,,,,,,,,1,1
Biology - BIOL 8998 DIC,,,,,,,,,1,1
Biology - BIOL 8998 GIB,,,,,,,,,1,1
Biology - BIOL 8998 GLA,,,,,,,,,1,1
Biology - BIOL 8998 GOO,,,,,,,,,2,2
Biology - BIOL 8998 HAM,,,,,,,,,2,2
Biology - BIOL 8998 HAR,,,,,,,,,1,1
Biology - BIOL 8998 HAY,,,,,,,,,1,1
Biology - BIOL 8998 JOR,,,,,,,,,2,2
Biology - BIOL 8998 KON,,,,,,,,,1,1
Biology - BIOL 8998 KOS,,,,,,,,,1,1
Biology - BIOL 8998 LAC,,,,,,,,,2,2
Biology - BIOL 8998 LOB,,,,,,,,,1,1
Biology - BIOL 8998 LOB,A,B,C,D,F,I,S,U,V,W Aver. Total
Biology - BIOL 8998 MCD,,,,,,,,,2,2
Biology - BIOL 8998 MON,,,,,,,,,1,1
Biology - BIOL 8998 RAT,,,,,,,,,2,2
Biology - BIOL 8998 SHI,,,,,,,,,1,1
Biology - BIOL 8998 STE,,,,,,,,,2,2
Biology - BIOL 8998 STO,,,,,,,,,2,2
Biology - BIOL 8998 STR,,,,,,,,,1,1
Biology - BIOL 8998 TOR,,,,,,,,,2,2
Biology - BIOL 8998 VAN,,,,,,,,,3,3
Biology - BIOL 8998 WEI,,,,,,,,,1,1
Biology - BIOL 8998 WTZ,,,,,,,,,1,1
Biology - BIOL 8998 YI,,,,,,,,,2,2
Biology - BIOL 9000 BOR,,,,,,,1,,,1
Biology - BIOL 9000 CHE,,,,,,,4,,,4
Biology - BIOL 9000 DIC,,,,,,,1,,,1
Biology - BIOL 9000 FAN,,,,,,,3,,,3
Biology - BIOL 9000 GIB,,,,,,,2,,,2
Biology - BIOL 9000 GLA,,,,,,,1,,,1
Biology - BIOL 9000 GOO,,,,,,,2,,,2
Biology - BIOL 9000 HAM,,,,,,,2,,,2
Biology - BIOL 9000 HAR,,,,,,,1,,,1
Biology - BIOL 9000 HAY,,,,,,,4,,,4
Biology - BIOL 9000 JIA,,,,,,,1,,,1
Biology - BIOL 9000 JOR,,,,,,,2,,,2
Biology - BIOL 9000 KON,,,,,,,3,,,3
Biology - BIOL 9000 KOS,,,,,,,1,,,1
Biology - BIOL 9000 KRE,,,,,,,2,,,2
Biology - BIOL 9000 LAC,,,,,,,1,,,1
Biology - BIOL 9000 LOB,,,,,,,1,,,1
Biology - BIOL 9000 MCD,,,,,,,2,,,2
Biology - BIOL 9000 MCG,,,,,,,2,,,2
Biology - BIOL 9000 MON,,,,,,,1,,,1
Biology - BIOL 9000 RAT,,,,,,,3,,,3
Biology - BIOL 9000 SHI,,,,,,,2,,,2
Biology - BIOL 9000 STE,,,,,,,4,,,4
Biology - BIOL 9000 STO,,,,,,,2,,,2
Biology - BIOL 9000 STR,,,,,,,1,1,,2
Biology - BIOL 9000 TOR,,,,,,,2,,,2
Biology - BIOL 9000 VAN,,,,,,,4,,,4
Biology - BIOL 9000 WAR,,,,,,,1,,,1
Biology - BIOL 9000 WEI,,,,,,,1,,,1
Biology - BIOL 9000 WTZ,,,,,,,3,,,3
Biology - BIOL 9000 YI,,,,,,,2,,,2
Biomed Engr/Joint Emory PKU - BMEJ 999.,,,,,,,,,12,12
Biomedical Engineering - BMED 2210 A,6,1,3,2,2,,,,,2.50 14
Biomedical Engineering - BMED 2210 B,2,4,2,3,,,,,,3 2.45 14
Biomedical Engineering - BMED 2250 A,6,7,,,,,,,,3.46 13
Biomedical Engineering - BMED 2310 A,8,15,3,2,,,,,,1 3.04 29
Biomedical Engineering - BMED 2698 IGM,,,,,,,,,2,2
Biomedical Engineering - BMED 2699 BAB,1,,,,,,,,,4.00 1
Biomedical Engineering - BMED 2699 BUT,1,,,,,,,,,4.00 1
Biomedical Engineering - BMED 2699 ETH,1,,,,,,,,,4.00 1
Biomedical Engineering - BMED 2699 KE,1,,,,,,,,,4.00 1
Biomedical Engineering - BMED 2699 KMP,1,,,,,,,,,4.00 1
Biomedical Engineering - BMED 2699 KWO,2,,,,,,,,,4.00 2
Biomedical Engineering - BMED 2699 MIT,1,,,,,,,,,4.00 1
Biomedical Engineering - BMED 2699 SUN,1,,,,,,,,,4.00 1
Biomedical Engineering - BMED 3100 A,26,5,4,,,,,,,3 3.63 38
Biomedical Engineering - BMED 3100 A,A,B,C,D,F,I,S,U,V,W Aver. Total
Biomedical Engineering - BMED 3110 A,12,5,,,,,,,,1 3.71 18
Biomedical Engineering - BMED 3310 A,4,13,9,,,,,,,2 2.81 28
Biomedical Engineering - BMED 3310 R,13,9,6,6,3,,,,,2.62 37
Biomedical Engineering - BMED 3520 R,29,12,3,,,,,,,3.59 44
Biomedical Engineering - BMED 3600 R,13,11,2,,1,,,,,3.30 27
Biomedical Engineering - BMED 3610 A,5,8,2,,,,,,,1 3.20 16
Biomedical Engineering - BMED 4698 BAR,,,,,,,,,1,1
Biomedical Engineering - BMED 4698 IGM,,,,,,,,,4,4
Biomedical Engineering - BMED 4698 JO,,,,,,,,,1,1
Biomedical Engineering - BMED 4698 KMP,,,,,,,,,2,2
Biomedical Engineering - BMED 4698 LAM,,,,,,,,,2,2
Biomedical Engineering - BMED 4698 MAY,,,,,,,,,1,1
Biomedical Engineering - BMED 4698 MIT,,,,,,,,,2,2
Biomedical Engineering - BMED 4698 SAN,,,,,,,,,1,1
Biomedical Engineering - BMED 4698 SUN,,,,,,,,,1,1
Biomedical Engineering - BMED 4698 TEM,,,,,,,,,1,1
Biomedical Engineering - BMED 4699 BAB,2,,,,,,,,,4.00 2
Biomedical Engineering - BMED 4699 BEL,1,,,,,,,,,4.00 1
Biomedical Engineering - BMED 4699 BOT,3,,,,,,,,,4.00 3
Biomedical Engineering - BMED 4699 DEW,1,,,,,,,,,4.00 1
Biomedical Engineering - BMED 4699 ETH,1,,,,,,,,,4.00 1
Biomedical Engineering - BMED 4699 GUL,2,,,,,,,,,4.00 2
Biomedical Engineering - BMED 4699 HAR,2,,,,,,,,,4.00 2
Biomedical Engineering - BMED 4699 LAM,2,,,,,,,,,4.00 2
Biomedical Engineering - BMED 4699 MIT,3,,,,,,,,,4.00 3
Biomedical Engineering - BMED 4699 NAD,,,1,,,,,,,2.00 1
Biomedical Engineering - BMED 4699 SUL,,1,,,,,,,,3.00 1
Biomedical Engineering - BMED 4699 SUN,2,,,,,,,,,4.00 2
Biomedical Engineering - BMED 4699 USC,1,,,,,,,,,4.00 1
Biomedical Engineering - BMED 4699 YOG,1,,,,,,,,,4.00 1
Biomedical Engineering - BMED 4781 R,6,9,2,,,,,,,3.24 17
Biomedical Engineering - BMED 4784 R,3,5,,,,,,,,3.38 8
Biomedical Engineering - BMED 4803 R1,15,7,,,,,,,,3.68 22
Biomedical Engineering - BMED 4813 R,18,13,2,1,,,,,,3.41 34
Biomedical Engineering - BMED 4823 R,31,1,,,,,,,,3.97 32
Biomedical Engineering - BMED 6506 B,21,,,,,,,,,4.00 21
Biomedical Engineering - BMED 6507 B,13,8,,,,,,,,3.62 21
Biomedical Engineering - BMED 6509 B,21,,,,,,,,,4.00 21
Biomedical Engineering - BMED 7000 AGA,,,,,,,1,,,1
Biomedical Engineering - BMED 7000 KEI,,,,,,,1,,,1
Biomedical Engineering - BMED 7000 MCD,,,,,,,1,,,1
Biomedical Engineering - BMED 9000 AG,,,,,,,3,,,3
Biomedical Engineering - BMED 9000 AHM,,,,,,,1,,,1
Biomedical Engineering - BMED 9000 APR,,,,,,,1,,,1
Biomedical Engineering - BMED 9000 AYO,,,,,,,3,1,,4
Biomedical Engineering - BMED 9000 BAR,,,,,,,,4,,4
Biomedical Engineering - BMED 9000 BAS,,,,,,,1,,,1
Biomedical Engineering - BMED 9000 BBO,,,,,,,2,,,2
Biomedical Engineering - BMED 9000 BOT,,,,,,,5,,,5
Biomedical Engineering - BMED 9000 BOU,,,,,,,1,,,1
Biomedical Engineering - BMED 9000 BVI,,,,,,,1,,,1
Biomedical Engineering - BMED 9000 CFO,,,,,,,2,,,2
Biomedical Engineering - BMED 9000 CKE,,,,,,,2,,,2
Biomedical Engineering - BMED 9000 CLI,,,,,,,,1,,1
Biomedical Engineering - BMED 9000 CZH,,,,,,,8,,,8
Biomedical Engineering - BMED 9000 DAV,,,,,,,3,,,3
Biomedical Engineering - BMED 9000 DIX,,,,,,,1,,,1
Biomedical Engineering - BMED 9000 DWA,,,,,,,5,,,5
Biomedical Engineering - BMED 9000 DWA,A,B,C,D,F,I,S,U,V,W Aver. Total
Biomedical Engineering - BMED 9000 ETH,,,,,,,3,,,3
Biomedical Engineering - BMED 9000 EVO,,,,,,,2,,,2
Biomedical Engineering - BMED 9000 FEI,,,,,,,1,1,,2
Biomedical Engineering - BMED 9000 GAB,,,,,,,,1,,1
Biomedical Engineering - BMED 9000 GBA,,,,,,,4,,,4
Biomedical Engineering - BMED 9000 GRO,,,,,,,2,,,2
Biomedical Engineering - BMED 9000 GST,,,,,,,5,,,5
Biomedical Engineering - BMED 9000 HJO,,,,,,,3,,,3
Biomedical Engineering - BMED 9000 HLU,,,,,,,1,,,1
Biomedical Engineering - BMED 9000 JBA,,,,,,,1,,,1
Biomedical Engineering - BMED 9000 JOS,,,,,,,1,,,1
Biomedical Engineering - BMED 9000 JTE,,,,,,,4,,,4
Biomedical Engineering - BMED 9000 KEM,,,,,,,4,,,4
Biomedical Engineering - BMED 9000 KIM,,,,,,,1,,,1
Biomedical Engineering - BMED 9000 KWO,,,,,,,2,,,2
Biomedical Engineering - BMED 9000 LAM,,,,,,,4,,,4
Biomedical Engineering - BMED 9000 LIU,,,,,,,3,,,3
Biomedical Engineering - BMED 9000 LTI,,,,,,,2,,,2
Biomedical Engineering - BMED 9000 MPL,,,,,,,5,,,5
Biomedical Engineering - BMED 9000 MPR,,,,,,,2,,,2
Biomedical Engineering - BMED 9000 QIU,,,,,,,1,,,1
Biomedical Engineering - BMED 9000 RBE,,,,,,,5,,,5
Biomedical Engineering - BMED 9000 RBU,,,,,,,3,1,,4
Biomedical Engineering - BMED 9000 RGU,,,,,,,7,,,7
Biomedical Engineering - BMED 9000 ROY,,,,,,,8,,,8
Biomedical Engineering - BMED 9000 ROZ,,,,,,,1,,,1
Biomedical Engineering - BMED 9000 SAL,,,,,,,2,,,2
Biomedical Engineering - BMED 9000 SAN,,,,,,,6,,,6
Biomedical Engineering - BMED 9000 SDE,,,,,,,1,,,1
Biomedical Engineering - BMED 9000 SHO,,,,,,,1,,,1
Biomedical Engineering - BMED 9000 SNI,,,,,,,1,,,1
Biomedical Engineering - BMED 9000 SUN,,,,,,,3,,,3
Biomedical Engineering - BMED 9000 THO,,,,,,,1,,,1
Biomedical Engineering - BMED 9000 TMC,,,,,,,3,,,3
Biomedical Engineering - BMED 9000 TNI,,,,,,,1,,,1
Biomedical Engineering - BMED 9000 TSU,,,,,,,1,,,1
Biomedical Engineering - BMED 9000 WTA,,,,,,,2,,,2
Biomedical Engineering - BMED 9000 XHU,,,,,,,3,,,3
Biomedical Engineering - BMED 9000 XIA,,,,,,,1,,,1
Biomedical Engineering - BMED 9000 YOO,,,,,,,1,,,1
Biomedical Engr/Joint Emory - BMEM 6001.,,,,,,,,,2,2
Building Construction - BC 3610 RBC,2,,,,,,,,,4.00 2
Building Construction - BC 4610 RBC,4,,,,,,,,,4.00 4
Building Construction - BC 4672 RBC,2,,,,,,,,,4.00 2
Building Construction - BC 4680 A,,,,,,,1,,,1
Building Construction - BC 4710 RBC,4,1,,,,,,,,3.80 5
Building Construction - BC 4720 TBD,10,3,1,,1,,,,,3.40 15
Building Construction - BC 4730 TBD,2,,,,,,,,,4.00 2
Building Construction - BC 6125 A,,,,,,,6,,,6
Building Construction - BC 6910 BC,9,1,,,,,,,,3.90 10
Building Construction - BC 6920 TBD,17,2,,,1,,,,,3.70 20
Building Construction - BC 7000 JI,,,,,,,2,,,2
Building Construction - BC 7000 KR,,,,,,,1,,,1
Building Construction - BC 7200 DC,,,,,,,1,,,1
Building Construction - BC 8823 RBC,3,,,,,,,,,4.00 3
Building Construction - BC 8833 RBC,1,2,,,,,,,,3.33 3
Building Construction - BC 8903 BA,3,,,,,,,,,4.00 3
Building Construction - BC 8903 DD,1,,,,,,,,,4.00 1
Building Construction - BC 8903 DD,A,B,C,D,F,I,S,U,V,W Aver. Total
Building Construction - BC 8903 DP,5,,,,,,,,,4.00 5
Building Construction - BC 8903 KR,2,,,,,,,,,4.00 2
Building Construction - BC 8903 RBC,1,,,,,,,,,4.00 1
Building Construction - BC 8903 RP,3,,,,,,,,,4.00 3
Building Construction - BC 8998 BA,,,,,,,,,5,5
Building Construction - BC 8998 DC,,,,,,,,,2,2
Building Construction - BC 8999 BA,,,,,,,,1,,1
Building Construction - BC 8999 DC,,,,,,,1,,,1
Building Construction - BC 9000 BA,,,,,,,1,,,1
Building Construction - BC 9000 DC,,,,,,,1,,,1
Center Enhancement-Teach/Learn - CETL 8.,,,,,,,16,,,16
Center Enhancement-Teach/Learn - CETL 8.,,,,,,,16,,,16
