"",A,B,C,D,F,I,S,U,V,W Aver. Total
Civil and Environmental Engr - CEE 3040 A,6,7,3,3,1,,,,,3 2.70 23
Civil and Environmental Engr - CEE 3040 R.,1,,3,,,,,,,2.50 4
Civil and Environmental Engr - CEE 3055 A,12,7,3,3,,,,,,3.12 25
Civil and Environmental Engr - CEE 4090 A,9,2,,,,,,,,3.82 11
Civil and Environmental Engr - CEE 4200 C1,5,5,3,,,,,,,3.15 13
Civil and Environmental Engr - CEE 4200 C2,,1,,,,,,,,3.00 1
Civil and Environmental Engr - CEE 4405 C1,5,5,3,,,,,,,3.15 13
Civil and Environmental Engr - CEE 4405 C2,5,8,2,,,,,,,3.20 15
Civil and Environmental Engr - CEE 4520 A,5,6,3,2,,,,,,1 2.88 17
Civil and Environmental Engr - CEE 4530 Q,,1,,,,,,,,3.00 1
Civil and Environmental Engr - CEE 4530 Q.,1,2,3,1,,,,,,1 2.43 8
Civil and Environmental Engr - CEE 4600 C1,5,6,3,2,,,,,,2.88 16
Civil and Environmental Engr - CEE 4600 C2,6,12,1,,,,,,,3.26 19
Civil and Environmental Engr - CEE 4650 A,2,4,,,,,,,,3.33 6
Civil and Environmental Engr - CEE 4698 DE.,,,,,,,,,1,1
Civil and Environmental Engr - CEE 4698 H.,,,,,,,,,1,1
Civil and Environmental Engr - CEE 4698 K.,,,,,,,,,1,1
Civil and Environmental Engr - CEE 4699 BR.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 4699 C.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 4699 DE.,2,,,,,,,,,4.00 2
Civil and Environmental Engr - CEE 4699 FRI,2,,,,,,,,,4.00 2
Civil and Environmental Engr - CEE 4699 G.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 4699 M.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 4699 SC.,2,,,,,,,,,4.00 2
Civil and Environmental Engr - CEE 4699 W.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 4699 W.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 4900 JTS,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 7000 BR.,,,,,,,3,,,3
Civil and Environmental Engr - CEE 7000 B.,,,,,,,4,,,4
Civil and Environmental Engr - CEE 7000 CRI,,,,,,,1,,,1
Civil and Environmental Engr - CEE 7000 GE.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 7000 G.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 7000 H.,,,,,,,3,,,3
Civil and Environmental Engr - CEE 7000 JAC,,,,,,,3,,,3
Civil and Environmental Engr - CEE 7000 JTS,,,,,,,2,,,2
Civil and Environmental Engr - CEE 7000 LKS,,,,,,,1,,,1
Civil and Environmental Engr - CEE 7000 SA.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 7000 W.,,,,,,,2,,,2
Civil and Environmental Engr - CEE 7000 W.,,,,,,,2,,,2
Civil and Environmental Engr - CEE 7000 W.,A,B,C,D,F,I,S,U,V,W Aver. Total
Civil and Environmental Engr - CEE 7000 W.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 8900 A.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 8900 FRI,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 8900 FR.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 8900 GE.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 8900 H.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 8900 J.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 8900 JTS,1,,,,,,1,,,4.00 2
Civil and Environmental Engr - CEE 8900 LKS,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 8900 W.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 8900 YA.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 8901 H.,,,,,1,,,,,0.00 1
Civil and Environmental Engr - CEE 8902 C.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 8902 J.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 8956 GE.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 8956 J.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 9000 A.,,,,,,,4,,,4
Civil and Environmental Engr - CEE 9000 A.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 A.,,,,,,,3,,,3
Civil and Environmental Engr - CEE 9000 ASI,,,,,,,,1,,1
Civil and Environmental Engr - CEE 9000 BR.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 BR.,,,,,,,4,,,4
Civil and Environmental Engr - CEE 9000 B.,,,,,,,4,,,4
Civil and Environmental Engr - CEE 9000 C.,,,,,,,,1,,1
Civil and Environmental Engr - CEE 9000 C.,,,,,,,5,,,5
Civil and Environmental Engr - CEE 9000 CRI,,,,,,,9,,,9
Civil and Environmental Engr - CEE 9000 DE.,,,,,,,6,,,6
Civil and Environmental Engr - CEE 9000 FRI,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 FR.,,,,,,,6,,,6
Civil and Environmental Engr - CEE 9000 G.,,,,,,,2,,,2
Civil and Environmental Engr - CEE 9000 GE.,,,,,,,2,,,2
Civil and Environmental Engr - CEE 9000 GE.,,,,,,,,3,,3
Civil and Environmental Engr - CEE 9000 G.,,,,,,,4,,,4
Civil and Environmental Engr - CEE 9000 H.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 H.,,,,,,,3,,,3
Civil and Environmental Engr - CEE 9000 H.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 H.,,,,,,,3,,,3
Civil and Environmental Engr - CEE 9000 JAC,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 J.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 JTS,,,,,,,3,,,3
Civil and Environmental Engr - CEE 9000 KA.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 KIM,,,,,,,2,,,2
Civil and Environmental Engr - CEE 9000 K.,,,,,,,4,,,4
Civil and Environmental Engr - CEE 9000 K.,,,,,,,10,,,10
Civil and Environmental Engr - CEE 9000 LAV,,,,,,,5,,,5
Civil and Environmental Engr - CEE 9000 LKS,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 LU.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 M.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 M.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 M.,,,,,,,5,,,5
Civil and Environmental Engr - CEE 9000 M.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 M.,,,,,,,3,,,3
Civil and Environmental Engr - CEE 9000 PA.,,,,,,,2,,,2
Civil and Environmental Engr - CEE 9000 SA.,,,,,,,8,,,8
Civil and Environmental Engr - CEE 9000 SC.,,,,,,,3,,,3
Civil and Environmental Engr - CEE 9000 SO.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 SP.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 ST.,,,,,,,2,,,2
Civil and Environmental Engr - CEE 9000 ST.,A,B,C,D,F,I,S,U,V,W Aver. Total
Civil and Environmental Engr - CEE 9000 SU.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 TR.,,,,,,,5,,,5
Civil and Environmental Engr - CEE 9000 W.,,,,,,,5,,,5
Civil and Environmental Engr - CEE 9000 W.,,,,,,,2,,,2
Civil and Environmental Engr - CEE 9000 W.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 W.,,,,,,,4,,,4
Civil and Environmental Engr - CEE 9000 WIL,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 W.,,,,,,,2,,,2
Civil and Environmental Engr - CEE 9000 YA.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 YIA,,,,,,,3,,,3
Civil and Environmental Engr - CEE 9000 ZU.,,,,,,,2,,,2
Colege of Architecture - COA 1011 B2,2,6,,,,,,,,3.25 8
Colege of Architecture - COA 1011 BB1,2,6,,,,,,,,3.25 8
Colege of Architecture - COA 1012 C1,1,7,,,,,,,,3.13 8
Colege of Architecture - COA 1012 C2,1,5,2,,,,,,,2.88 8
Colege of Architecture - COA 2241 RO1,1,1,1,,,,,,,3.00 3
Colege of Architecture - COA 2242 RO1,26,19,7,,,,,,,3.37 52
Colege of Architecture - COA 2242 RO2,32,17,3,1,,,,,,3.51 53
Colege of Architecture - COA 2242 RO3,47,6,,,,,,,,3.89 53
Colege of Architecture - COA 2242 SF,32,3,,,,,,,,3.91 35
Colege of Architecture - COA 2242 SS,79,29,3,,,,2,,,9 3.68 122
Colege of Architecture - COA 3114 R,8,10,,,,,,,,3.44 18
Colege of Architecture - COA 3115 RIT,5,13,,,,,,,,3.28 18
Colege of Architecture - COA 3116 RIT,9,8,1,,,,,,,3.44 18
Colege of Architecture - COA 6114 RIT,,2,,,,,,,,3.00 2
Colege of Architecture - COA 6115 RIT,1,1,,,,,,,,3.50 2
Colege of Architecture - COA 6116 RIT,2,,,,,,,,,4.00 2
Colege of Architecture - COA 8998 CE,,,,,,,,,1,1
Colege of Architecture - COA 9000 G,,,,,,,3,,,3
Colege of Engineering - COE 2001 A,21,27,7,1,,,,,,3 3.21 59
Colege of Engineering - COE 2001 B,27,15,8,2,1,,,,,1 3.23 54
Colege of Engineering - COE 2001 C,17,8,3,1,3,,,,,1 3.09 33
Colege of Engineering - COE 2001 RCH,7,8,3,,1,,,,,3.05 19
Colege of Engineering - COE 2001 RMZ,23,11,2,,,,,,,3.58 36
Colege of Engineering - COE 2001 ROX,22,11,7,3,1,,,,,3.14 44
Colege of Engineering - COE 3001 A,20,18,15,2,2,,,,,1 2.91 58
Colege of Engineering - COE 3001 B,7,11,13,1,,,,,,2 2.75 34
Colege of Engineering - COE 3001 RCH,3,4,3,,,,,,,3.00 10
Colege of Engineering - COE 3001 RMZ,14,18,5,,,,,,,1 3.24 38
Colege of Engineering - COE 3001 ROX,8,5,4,1,,,,,,3.11 18
Computational Science & Engr - CSE 7000 .,,,,,,,1,,,1
Computational Science & Engr - CSE 7000 .,,,,,,,1,,,1
Computational Science & Engr - CSE 8903 .,,,,,,,1,,,1
Computational Science & Engr - CSE 8903 .,1,,,,,,,,,4.00 1
Computational Science & Engr - CSE 8903 .,1,,,,,,,,,4.00 1
Computational Science & Engr - CSE 8998 .,,,,,,,,,3,3
Computational Science & Engr - CSE 8999 .,,,,,,,1,,,1
Computational Science & Engr - CSE 8999 .,2,,,,,,,,,4.00 2
Computational Science & Engr - CSE 8999 .,,,,,,,1,,,1
Computational Science & Engr - CSE 8999 .,,,,,,,1,,,1
Computational Science & Engr - CSE 9000 .,,,,,,,2,,,2
Computational Science & Engr - CSE 9000 .,,,,,,,1,,,1
Computational Science & Engr - CSE 9000 .,,,,,,,2,,,2
Computational Science & Engr - CSE 9000 .,,,,,,,1,,,1
Computational Science & Engr - CSE 9000 .,,,,,,,1,,,1
Computational Science & Engr - CSE 9000 .,,,,,,,2,,,2
Computational Science & Engr - CSE 9000 .,,,,,,,1,,,1
Computational Science & Engr - CSE 9000 .,,,,,,,3,,,3
Computational Science & Engr - CSE 9000 .,A,B,C,D,F,I,S,U,V,W Aver. Total
Computational Science & Engr - CSE 9000 .,,,,,,,6,,,6
Computational Science & Engr - CSE 9000 .,,,,,,,1,,,1
Computer Science - CS 1171 A,,,,,,,13,3,,2 18
Computer Science - CS 1301 A1,15,2,1,1,2,,,,,2 3.29 23
Computer Science - CS 1301 A2,11,7,2,,,,,,,1 3.45 21
Computer Science - CS 1301 GR,,,,,,,2,,,2
Computer Science - CS 1315 A1,32,13,,1,2,,,,,1 3.50 49
Computer Science - CS 1315 A2,21,5,2,2,1,,,,,2 3.39 33
Computer Science - CS 1315 R,16,4,,,,,,,,3.80 20
Computer Science - CS 1331 A1,24,18,10,3,4,,,,,3 2.93 62
Computer Science - CS 1331 A2,18,18,12,2,4,,,,,1 2.81 55
Computer Science - CS 1331 GR,,,,,,,3,,,1 4
Computer Science - CS 1332 A1,25,10,7,,4,,,,,3 3.13 49
Computer Science - CS 1332 A2,22,17,5,,,,,,,3 3.39 47
Computer Science - CS 1332 GR,,,,,,,,,,2 2
Computer Science - CS 1371 A01,20,10,4,2,7,,,,,6 2.79 49
Computer Science - CS 1371 A02,6,7,5,,3,,,,,3 2.62 24
Computer Science - CS 1371 A03,18,16,10,3,3,,,,,2.86 50
Computer Science - CS 1371 A04,1,5,1,,4,,,,,2 1.91 13
Computer Science - CS 1371 A05,7,9,5,2,1,,,,,1 2.79 25
Computer Science - CS 1371 GR,,,,,,,6,,,6
Computer Science - CS 1371 LSS,6,6,2,,,,,,,1 3.29 15
Computer Science - CS 1371 SF1,6,6,3,2,3,,,,,2.50 20
Computer Science - CS 1801 A,32,2,,,,,,,,2 3.94 36
Computer Science - CS 2050 A,15,20,13,2,6,,,,,5 2.64 61
Computer Science - CS 2050 R,18,11,7,,,,,,,3.31 36
Computer Science - CS 2110 A,25,21,10,2,3,,,,,3.03 61
Computer Science - CS 2200 A,28,21,5,1,4,,,,,14 3.15 73
Computer Science - CS 2200 GR,,,,,,,2,,,2
Computer Science - CS 2316 A,25,13,7,2,,,,,,2 3.30 49
Computer Science - CS 2316 R,7,6,,,,,2,,,3.54 15
Computer Science - CS 2340 A,32,10,3,,1,,,,,2 3.57 48
Computer Science - CS 2699 T05,1,,,,,,,,,4.00 1
Computer Science - CS 2803 DWD,13,2,,,1,,,,,1 3.63 17
Computer Science - CS 2803 GR,,,,,,,1,,,1
Computer Science - CS 2804 A,5,,,,,,,,,4.00 5
Computer Science - CS 2804 GR,,,,,,,1,,,1
Computer Science - CS 3251 A,9,8,2,,,,,,,3.37 19
Computer Science - CS 3451 R1,16,,,,,,,,,4.00 16
Computer Science - CS 3510 A,13,10,10,4,1,,,,1,5 2.79 44
Computer Science - CS 3600 A,11,3,,,1,,,,,5 3.53 20
Computer Science - CS 3750 R,12,8,,,,,,,,3.60 20
Computer Science - CS 3790 A,16,11,2,,,,,,,1 3.48 30
Computer Science - CS 4001 A,23,1,3,,,,,,,1 3.74 28
Computer Science - CS 4001 B,30,3,,1,,,,,,3.82 34
Computer Science - CS 4001 C,24,3,,,,,,,,2 3.89 29
Computer Science - CS 4001 IP,1,,,,,,,,,4.00 1
Computer Science - CS 4001 R,4,,,,,,,,,4.00 4
Computer Science - CS 4001 RBA,29,5,,,,,,,,3.85 34
Computer Science - CS 4235 A,11,2,1,,,,,,,3.71 14
Computer Science - CS 4261 A,8,3,1,,1,,,,,3.31 13
Computer Science - CS 4290 A,4,2,,4,1,,,,,2.36 11
Computer Science - CS 4400 A,26,24,6,,1,,,,,1 3.30 58
Computer Science - CS 4400 B,29,23,6,,,,,,,1 3.40 59
Computer Science - CS 4400 R1,16,15,6,,,,,,,3.27 37
Computer Science - CS 4455 A,9,7,1,,2,,,,,3.11 19
Computer Science - CS 4475 R,24,4,1,,,,,,,3.79 29
Computer Science - CS 4590 A,16,6,,1,4,,,,,1 3.07 28
Computer Science - CS 4590 A,1A6,B6,C,D1,4F,I,S,U,V,W1 A3v.e0r7. To2ta8l
Computer Science - CS 4590 GR,5,1,1,,,,1,,,3.57 8
Computer Science - CS 4698 C11,,,,,,,,,1,1
Computer Science - CS 4698 F07,,,,,,,,,1,1
Computer Science - CS 4698 K06,,,,,,,,,2,2
Computer Science - CS 4698 O02,,,,,,,,,1,1
Computer Science - CS 4698 V06,,,,,,,,,1,1
Computer Science - CS 4699 B03,1,,,,,,,,,4.00 1
Computer Science - CS 4699 D04,,1,,,,,,,,3.00 1
Computer Science - CS 4699 G03,1,,,,,,,,,4.00 1
Computer Science - CS 4699 I01,1,,,,,,,,,4.00 1
Computer Science - CS 4699 L05,1,,,,,,,,,4.00 1
Computer Science - CS 4699 R04,1,,,,,,,,,4.00 1
Computer Science - CS 4699 R14,1,,,,,,,,,4.00 1
Computer Science - CS 4803 GPU,9,1,,,,,1,,,3 3.90 14
Computer Science - CS 4903 R04,1,,,,,,,,,4.00 1
Computer Science - CS 4903 UTA,2,,,,,,,,,4.00 2
Computer Science - CS 4911 A,21,,,,,,,,,2 4.00 23
Computer Science - CS 4980 P02,,,,,,,,,,1 1
Computer Science - CS 4980 S02,1,,,,,,,,,4.00 1
Computer Science - CS 6035 A,20,,,,,,1,1,1,4.00 23
Computer Science - CS 6035 QSA,13,21,1,,,,,,,3.34 35
Computer Science - CS 6250 O01,136,18,9,2,2,,,,,18 3.70 185
Computer Science - CS 6266 A,2,,,,,,,,,4.00 2
Computer Science - CS 6290 A,4,2,,,,,,,3,2 3.67 11
Computer Science - CS 6300 O01,174,12,3,3,7,,,,,7 3.72 206
Computer Science - CS 6457 A,13,2,,,,,,,,3.87 15
Computer Science - CS 6795 A,5,,,,,,,,1,4.00 6
Computer Science - CS 6998 E05,1,,,,,,,,,4.00 1
Computer Science - CS 6998 G11,1,,,,,,,,,4.00 1
Computer Science - CS 6999 A02,1,,,,,,,,,4.00 1
Computer Science - CS 6999 A12,1,,,,,,,,,4.00 1
Computer Science - CS 6999 C04,1,,,,,,,,,4.00 1
Computer Science - CS 6999 L03,2,,,,,,,,,4.00 2
Computer Science - CS 6999 M16,1,,,,,,,,,4.00 1
Computer Science - CS 6999 R02,3,,,,,,,,,4.00 3
Computer Science - CS 6999 R08,1,,,,,,,,,4.00 1
Computer Science - CS 6999 R14,1,,,,,,,,,4.00 1
Computer Science - CS 6999 T07,1,,,,,,,,,4.00 1
Computer Science - CS 8751 A,,,1,,,,,,,2.00 1
Computer Science - CS 8803 GPU,4,1,,,,,,,1,3.80 6
Computer Science - CS 8803 MAS,5,3,,,,,2,,,3.63 10
Computer Science - CS 8803 O01,78,16,3,2,6,,,,,4 3.50 109
Computer Science - CS 8903 A02,1,,,,,,,,,4.00 1
Computer Science - CS 8903 B14,1,,,,,,,,,4.00 1
Computer Science - CS 8903 C07,1,,,,,,,,,4.00 1
Computer Science - CS 8903 D04,2,,,,,,1,,,4.00 3
Computer Science - CS 8903 D07,1,,,,,,,,,4.00 1
Computer Science - CS 8903 F07,2,,,,,,,,,4.00 2
Computer Science - CS 8903 G08,1,,,,,,,,,4.00 1
Computer Science - CS 8903 G11,1,,,,,,,,,4.00 1
Computer Science - CS 8903 K09,1,,,,,,,,,4.00 1
Computer Science - CS 8903 M06,2,,,,,,,,,4.00 2
Computer Science - CS 8903 P14,1,,,,,,,,,4.00 1
Computer Science - CS 8903 QPR,2,,,,,,,,,4.00 2
Computer Science - CS 8903 R02,1,,,,,,,,,4.00 1
Computer Science - CS 8903 R06,,,,,,,1,,,1
Computer Science - CS 8903 R08,2,,,,,,,,,4.00 2
Computer Science - CS 8903 R14,3,,,,,,,,,4.00 3
Computer Science - CS 8903 R14,A,B,C,D,F,I,S,U,V,W Aver. Total
Computer Science - CS 8903 T07,1,,,,,,,,,4.00 1
Computer Science - CS 8903 W09,1,,,,,,,,,4.00 1
Computer Science - CS 8997 GTA,,,,,,,,,9,9
Computer Science - CS 8998 GRA,,,,,,,,,43,43
Computer Science - CS 8999 A01,,,,,,,1,,,1
Computer Science - CS 8999 A02,,,,,,,2,,,2
Computer Science - CS 8999 A06,,,,,,,1,,,1
Computer Science - CS 8999 A11,,,,,,,1,,,1
Computer Science - CS 8999 B03,,,,,,,2,,,2
Computer Science - CS 8999 C07,,,,,,,1,,,1
Computer Science - CS 8999 C11,,,,,,,1,,,1
Computer Science - CS 8999 D04,,,,,,,1,,,1
Computer Science - CS 8999 D07,,,,,,,1,,,1
Computer Science - CS 8999 D10,,,,,,,1,,,1
Computer Science - CS 8999 E03,,,,,,,1,,,1
Computer Science - CS 8999 E05,,,,,,,1,,,1
Computer Science - CS 8999 E09,,,,,,,2,,,2
Computer Science - CS 8999 F07,,,,,,,2,,,2
Computer Science - CS 8999 F08,,,,,,,1,,,1
Computer Science - CS 8999 G06,,,,,,,1,,,1
Computer Science - CS 8999 G11,,,,,,,1,,,1
Computer Science - CS 8999 K06,,,,,,,1,,,1
Computer Science - CS 8999 K09,,,,,,,1,,,1
Computer Science - CS 8999 M07,,,,,,,1,,,1
Computer Science - CS 8999 M16,,,,,,,2,,,2
Computer Science - CS 8999 N05,,,,,,,1,,,1
Computer Science - CS 8999 P12,,,,,,,1,,,1
Computer Science - CS 8999 S02,,,,,,,1,,,1
Computer Science - CS 8999 T05,,,,,,,3,,,3
Computer Science - CS 8999 V05,,,,,,,1,,,1
Computer Science - CS 9000 A01,,,,,,,3,,,3
Computer Science - CS 9000 A02,,,,,,,2,,,2
Computer Science - CS 9000 A04,,,,,,,1,,,1
Computer Science - CS 9000 B02,,,,,,,1,,,1
Computer Science - CS 9000 B03,,,,,,,5,,,5
Computer Science - CS 9000 B04,,,,,,,1,,,1
Computer Science - CS 9000 B14,,,,,,,3,,,3
Computer Science - CS 9000 B16,,,,,,,1,,,1
Computer Science - CS 9000 C07,,,,,,,4,,,4
Computer Science - CS 9000 C09,,,,,,,1,,,1
Computer Science - CS 9000 D04,,,,,,,2,,,2
Computer Science - CS 9000 D07,,,,,,,1,,,1
Computer Science - CS 9000 F07,,,,,,,9,,,9
Computer Science - CS 9000 F08,,,,,,,1,,,1
Computer Science - CS 9000 G02,,,,,,,1,,,1
Computer Science - CS 9000 G03,,,,,,,1,,,1
Computer Science - CS 9000 G11,,,,,,,3,,,3
Computer Science - CS 9000 I01,,,,,,,6,,,6
Computer Science - CS 9000 K06,,,,,,,1,,,1
Computer Science - CS 9000 L05,,,,,,,3,,,3
Computer Science - CS 9000 L12,,,,,,,1,,,1
Computer Science - CS 9000 M06,,,,,,,1,,,1
Computer Science - CS 9000 M08,,,,,,,1,,,1
Computer Science - CS 9000 N01,,,,,,,1,,,1
Computer Science - CS 9000 O02,,,,,,,1,,,1
Computer Science - CS 9000 P02,,,,,,,1,,,1
Computer Science - CS 9000 P05,,,,,,,2,,,2
Computer Science - CS 9000 P07,,,,,,,2,,,2
Computer Science - CS 9000 P07,A,B,C,D,F,I,S,U,V,W Aver. Total
Computer Science - CS 9000 P12,,,,,,,4,,,4
Computer Science - CS 9000 P14,,,,,,,1,,,1
Computer Science - CS 9000 R02,,,,,,,3,,,3
Computer Science - CS 9000 R04,,,,,,,2,,,2
Computer Science - CS 9000 R05,,,,,,,1,,,1
Computer Science - CS 9000 R06,,,,,,,2,,,2
Computer Science - CS 9000 R08,,,,,,,1,,,1
Computer Science - CS 9000 R12,,,,,,,2,,,2
Computer Science - CS 9000 S02,,,,,,,4,,,4
Computer Science - CS 9000 T02,,,,,,,1,,,1
Computer Science - CS 9000 T05,,,,,,,3,,,3
Computer Science - CS 9000 T06,,,,,,,1,,,1
Computer Science - CS 9000 T07,,,,,,,2,,,2
Computer Science - CS 9000 V05,,,,,,,2,,,2
Computer Science - CS 9000 W01,,,,,,,1,,,1
Cooperative Work Assignment - COOP 2000.,,,,,,,,,13,13
Cooperative Work Assignment - COOP 2000.,,,,,,,,,26,26
Cooperative Work Assignment - COOP 2000.,,,,,,,,,29,29
Cooperative Work Assignment - COOP 2000.,,,,,,,,,25,25
Cooperative Work Assignment - COOP 3011.,,,,,,,,,1,1
Cooperative Work Assignment - COOP 3020.,,,,,,,,,14,14
Cooperative Work Assignment - COOP 4000.,,,,,,,,,102,102
Cooperative Work Assignment - COOP 4000.,,,,,,,,,177,177
Cooperative Work Assignment - COOP 4000.,,,,,,,,,129,129
Cooperative Work Assignment - COOP 4000.,,,,,,,,,114,114
Cooperative Work Assignment - COOP 6003.,,,,,,,,,4,4
Cooperative Work Assignment - COOP 6009.,,,,,,,,,22,22
Cooperative Work Assignment - COOP 6012.,,,,,,,,,471,2 473
Cooperative Work Assignment - COOP 6012.,,,,,,,,,1,1
Cooperative Work Assignment - COOP 6012.,,,,,,,,,18,18
Cooperative Work Assignment - COOP 6012.,,,,,,,,,39,39
Earth and Atmospheric Sciences - EAS 160.,14,21,11,1,,,2,,1,2 3.02 52
Earth and Atmospheric Sciences - EAS 260.,29,22,7,1,1,,2,,,1 3.28 63
Earth and Atmospheric Sciences - EAS 280.,4,,1,,,,,,,3.60 5
Earth and Atmospheric Sciences - EAS 469.,,,,,,,,,1,1
Earth and Atmospheric Sciences - EAS 469.,,,,,,,,,1,1
Earth and Atmospheric Sciences - EAS 469.,,,,,,,,,1,1
Earth and Atmospheric Sciences - EAS 469.,,,,,,,,,1,1
Earth and Atmospheric Sciences - EAS 469.,,,,,,,,,1,1
Earth and Atmospheric Sciences - EAS 469.,2,,,,,,,,,4.00 2
Earth and Atmospheric Sciences - EAS 469.,1,,,,,,,,,4.00 1
Earth and Atmospheric Sciences - EAS 700.,,,,,,,1,,,1
Earth and Atmospheric Sciences - EAS 700.,,,,,,,1,,,1
Earth and Atmospheric Sciences - EAS 700.,,,,,,,1,,,1
Earth and Atmospheric Sciences - EAS 700.,,,,,,,1,,,1
Earth and Atmospheric Sciences - EAS 700.,,,,,,,1,,,1
Earth and Atmospheric Sciences - EAS 700.,,,,,,,1,,,1
Earth and Atmospheric Sciences - EAS 880.,1,,,,,,,,,4.00 1
Earth and Atmospheric Sciences - EAS 890.,1,,,,,,,,,4.00 1
Earth and Atmospheric Sciences - EAS 890.,1,,,,,,,,,4.00 1
Earth and Atmospheric Sciences - EAS 900.,,,,,,,1,,,1
Earth and Atmospheric Sciences - EAS 900.,,,,,,,2,,,2
Earth and Atmospheric Sciences - EAS 900.,,,,,,,1,,,1
Earth and Atmospheric Sciences - EAS 900.,,,,,,,2,,,2
Earth and Atmospheric Sciences - EAS 900.,,,,,,,3,,,3
Earth and Atmospheric Sciences - EAS 900.,,,,,,,2,,,2
Earth and Atmospheric Sciences - EAS 900.,,,,,,,1,,,1
Earth and Atmospheric Sciences - EAS 900.,,,,,,,2,,,2
Earth and Atmospheric Sciences - EAS 900.,A,B,C,D,F,I,S,U,V,W Aver. Total
Earth and Atmospheric Sciences - EAS 900.,,,,,,,3,,,3
Earth and Atmospheric Sciences - EAS 900.,,,,,,,5,,,5
Earth and Atmospheric Sciences - EAS 900.,,,,,,,2,,,2
Earth and Atmospheric Sciences - EAS 900.,,,,,,,2,,,2
Earth and Atmospheric Sciences - EAS 900.,,,,,,,4,,,4
Earth and Atmospheric Sciences - EAS 900.,,,,,,,5,,,5
Earth and Atmospheric Sciences - EAS 900.,,,,,,,3,,,3
Earth and Atmospheric Sciences - EAS 900.,,,,,,,2,,,2
Earth and Atmospheric Sciences - EAS 900.,,,,,,,2,,,2
Earth and Atmospheric Sciences - EAS 900.,,,,,,,1,,,1
Earth and Atmospheric Sciences - EAS 900.,,,,,,,3,,,3
Earth and Atmospheric Sciences - EAS 900.,,,,,,,2,,,2
Earth and Atmospheric Sciences - EAS 900.,,,,,,,6,,,6
Earth and Atmospheric Sciences - EAS 900.,,,,,,,4,,,4
Economics - ECON 2100 JG,7,8,4,1,,,1,,,2 3.05 23
Economics - ECON 2100 VK,25,10,7,,,,1,,,6 3.43 49
Economics - ECON 2101 R,14,14,5,,,,,,,1 3.27 34
Economics - ECON 2106 JN,10,8,4,4,,,1,,,1 2.92 28
Economics - ECON 2106 SF,43,33,7,,1,,,,,3.39 84
Economics - ECON 2106 TB,20,15,6,1,,,,,,4 3.29 46
Economics - ECON 4901 SD,,1,,,,,,,,3.00 1
Economics - ECON 4901 WB,1,,,,,,,,,4.00 1
Economics - ECON 4910 DL,,,,,1,,,,,0.00 1
Economics - ECON 4910 SD,2,,1,,,,,,,3.33 3
Economics - ECON 4910 WB,,1,,,,,,,,3.00 1
Economics - ECON 4990 A,1,,,,,,,,,4.00 1
Economics - ECON 9000 TB,,,,,,,1,,,1
Economics - ECON 9000 VG,,,,,,,4,,,4
