"",A,B,C,D,F,I,S,U,V,W Aver. Tota
City Planning - CP 9000 S,,,,,,,1,,,1
City Planning - CP 9000 SF,,,,,,,1,,,1
Civil and Environmental Engr - CEE 1770 A,20,9,1,,,,,,,1 3.63 31
Civil and Environmental Engr - CEE 1770 B,29,6,2,1,1,,,,,1 3.56 40
Civil and Environmental Engr - CEE 2040 A,37,21,11,,1,,,,,10 3.33 80
Civil and Environmental Engr - CEE 2300 A,30,20,5,,1,,,,,5 3.39 61
Civil and Environmental Engr - CEE 2300 B,35,11,8,4,,,,,,4 3.33 62
Civil and Environmental Engr - CEE 3000 C,22,38,,1,,,,,,3 3.33 64
Civil and Environmental Engr - CEE 3010 C1,12,5,1,,,,,,,3.61 18
Civil and Environmental Engr - CEE 3010 C2,4,6,1,,,,,,,3.27 11
Civil and Environmental Engr - CEE 3010 C3,4,1,1,,,,,,,3.50 6
Civil and Environmental Engr - CEE 3010 C4,6,4,2,,,,,,,3.33 12
Civil and Environmental Engr - CEE 3020 C1,3,10,3,,,,,,,3.00 16
Civil and Environmental Engr - CEE 3020 C2,2,8,2,2,,,,,,1 2.71 15
Civil and Environmental Engr - CEE 3020 C3,,13,3,,,,,,,1 2.81 17
Civil and Environmental Engr - CEE 3020 C4,4,7,4,,,,,,,3.00 15
Civil and Environmental Engr - CEE 3020 C5,3,11,1,1,,,,,,3.00 16
Civil and Environmental Engr - CEE 3020 C6,,9,4,,,,,,,2.69 13
Civil and Environmental Engr - CEE 3040 A,11,12,14,,1,,,,,2.84 38
Civil and Environmental Engr - CEE 3040 B,25,28,6,,,,,,,1 3.32 60
Civil and Environmental Engr - CEE 3055 A,57,13,4,2,,,,,,3 3.64 79
Civil and Environmental Engr - CEE 3340 C1,8,1,,,,,,,,3.89 9
Civil and Environmental Engr - CEE 3340 C2,9,5,,,,,,,,3.64 14
Civil and Environmental Engr - CEE 3770 A,13,25,19,7,4,,,,,5 2.53 73
Civil and Environmental Engr - CEE 4090 A,28,15,1,4,,,,,,3.40 48
Civil and Environmental Engr - CEE 4090 B,9,4,,1,,,,,,3.50 14
Civil and Environmental Engr - CEE 4100 A,17,38,11,1,,,,,,4 3.06 71
Civil and Environmental Engr - CEE 4101 A,,,,,,,35,,,3 38
Civil and Environmental Engr - CEE 4110 A,15,22,1,,,,,,,4 3.37 42
Civil and Environmental Engr - CEE 4120 A,21,15,4,1,,,,,,3.37 41
Civil and Environmental Engr - CEE 4200 C1,3,6,3,,,,,,,3.00 12
Civil and Environmental Engr - CEE 4200 C2,5,4,3,,,,,,,3.17 12
Civil and Environmental Engr - CEE 4200 C3,1,,4,,,,,,,2.40 5
Civil and Environmental Engr - CEE 4200 C4,7,1,5,,,,,,,1 3.15 14
Civil and Environmental Engr - CEE 4210 A,39,9,6,,,,,,,1 3.61 55
Civil and Environmental Engr - CEE 4300 A,36,20,2,,1,,,,,1 3.53 60
Civil and Environmental Engr - CEE 4330 A,15,14,3,1,,,,,,3 3.30 36
Civil and Environmental Engr - CEE 4340 A,13,7,2,2,,,,,,2 3.29 26
Civil and Environmental Engr - CEE 4405 C1,7,2,,,,,,,,3.78 9
Civil and Environmental Engr - CEE 4405 C2,6,8,1,,,,,,,3.33 15
Civil and Environmental Engr - CEE 4405 C3,5,4,1,,,,,,,3.40 10
Civil and Environmental Engr - CEE 4405 C4,2,3,,1,,,,,,1 3.00 7
Civil and Environmental Engr - CEE 4510 A,8,12,3,1,,,,,,3.13 24
Civil and Environmental Engr - CEE 4520 A,8,9,7,1,,,,,,3 2.96 28
Civil and Environmental Engr - CEE 4520 A,A,B,C,D,F,I,S,U,V,W Aver. Tota
Civil and Environmental Engr - CEE 4550 A,21,10,3,,,,,,,1 3.53 35
Civil and Environmental Engr - CEE 4600 C1,12,6,,,,,,,,3.67 18
Civil and Environmental Engr - CEE 4600 C2,10,5,1,,,,,,,1 3.56 17
Civil and Environmental Engr - CEE 4600 C3,16,5,,,,,,,,3.76 21
Civil and Environmental Engr - CEE 4610 A,19,18,,,1,,,,,2 3.42 40
Civil and Environmental Engr - CEE 4698 H.,,,,,,,,,1,1
Civil and Environmental Engr - CEE 4698 STI,,,,,,,,,1,1
Civil and Environmental Engr - CEE 4698 TR.,,,,,,,,,1,1
Civil and Environmental Engr - CEE 4699 A.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 4699 AS.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 4699 DE.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 4699 FRI,4,,,,,,,,,4.00 4
Civil and Environmental Engr - CEE 4699 G.,3,,,,,,,,,4.00 3
Civil and Environmental Engr - CEE 4699 H.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 4699 H.,1,1,,,,,,,,3.50 2
Civil and Environmental Engr - CEE 4699 JAC,2,,,,,,,,,4.00 2
Civil and Environmental Engr - CEE 4699 J.,3,,,,,,,,,4.00 3
Civil and Environmental Engr - CEE 4699 JTS,1,,,,,,,,,1 4.00 2
Civil and Environmental Engr - CEE 4699 K.,5,,,,,,,,,4.00 5
Civil and Environmental Engr - CEE 4699 LKS,2,,,,,,,,,4.00 2
Civil and Environmental Engr - CEE 4699 PA.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 4699 SC.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 4699 TR.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 4699 W.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 4699 W.,2,,,,,,,,,4.00 2
Civil and Environmental Engr - CEE 4699 W.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 4699 W.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 4699 YA.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 4791 A,,1,,,,,,,,3.00 1
Civil and Environmental Engr - CEE 4803 A,23,9,1,,,,,,,2 3.67 35
Civil and Environmental Engr - CEE 4803 B,14,4,,,,,,,,3.78 18
Civil and Environmental Engr - CEE 4803 E,7,8,,,,,,,,3.47 15
Civil and Environmental Engr - CEE 6231 A,11,9,2,4,,,,,4,3.04 30
Civil and Environmental Engr - CEE 6251 A,7,,,,,,,,,4.00 7
Civil and Environmental Engr - CEE 6261 A,5,9,3,,,,,,,3.12 17
Civil and Environmental Engr - CEE 6271 A,4,11,,,,,,,,2 3.27 17
Civil and Environmental Engr - CEE 6281 A,5,1,,,,,,,,1 3.83 7
Civil and Environmental Engr - CEE 6310 A,17,15,4,,,,,,,3.36 36
Civil and Environmental Engr - CEE 6311 A,20,14,,,,,,,,3.59 34
Civil and Environmental Engr - CEE 6312 A,22,10,2,1,,,,,,2 3.51 37
Civil and Environmental Engr - CEE 6343 A,5,4,2,,,,,,,1 3.27 12
Civil and Environmental Engr - CEE 6345 A,11,11,,,,,1,,1,1 3.50 25
Civil and Environmental Engr - CEE 6402 DAI,12,4,,,,,,,,3.75 16
Civil and Environmental Engr - CEE 6421 A,16,,,,,,,,,4.00 16
Civil and Environmental Engr - CEE 6443 A,12,8,,,,,1,,,3.60 21
Civil and Environmental Engr - CEE 6460 A,13,,,,,,,,,4.00 13
Civil and Environmental Engr - CEE 6461 A,13,,,,,,,,,4.00 13
Civil and Environmental Engr - CEE 6510 B,19,16,5,,,,,,,2 3.35 42
Civil and Environmental Engr - CEE 6521 A,27,12,1,,,,,,,1 3.65 41
Civil and Environmental Engr - CEE 6528 A,16,4,1,,,,,,,2 3.71 23
Civil and Environmental Engr - CEE 6544 A,22,12,,,,,,,,1 3.65 35
Civil and Environmental Engr - CEE 6551 A,31,16,1,,,,,,,1 3.63 49
Civil and Environmental Engr - CEE 6602 A,22,,,,,,,,,4.00 22
Civil and Environmental Engr - CEE 6621 A,15,1,,,,,,,,1 3.94 17
Civil and Environmental Engr - CEE 6623 A,3,5,,,,,,,,1 3.38 9
Civil and Environmental Engr - CEE 6625 A,13,2,,,,,,,,3.87 15
Civil and Environmental Engr - CEE 6651 A,10,11,,,,,,,,3.48 21
Civil and Environmental Engr - CEE 6754 A,12,,,,,,,,,4.00 12
Civil and Environmental Engr - CEE 6754 A,A,B,C,D,F,I,S,U,V,W Aver. Tota
Civil and Environmental Engr - CEE 6790 A,8,4,2,,,,,,,1 3.43 15
Civil and Environmental Engr - CEE 7000 BA.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 7000 C.,,,,,,,2,,,2
Civil and Environmental Engr - CEE 7000 FR.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 7000 G.,,,,,,,2,,,2
Civil and Environmental Engr - CEE 7000 H.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 7000 H.,,,,,,,3,,,3
Civil and Environmental Engr - CEE 7000 H.,,,,,,,5,,,5
Civil and Environmental Engr - CEE 7000 JAC,,,,,,,5,,,5
Civil and Environmental Engr - CEE 7000 JTS,,,,,,,2,,,2
Civil and Environmental Engr - CEE 7000 LO.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 7000 M.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 7000 ST.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 7000 TR.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 7000 W.,,,,,,,2,,,2
Civil and Environmental Engr - CEE 7000 W.,,,,,,,2,,,2
Civil and Environmental Engr - CEE 7000 W.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 7000 ZU.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 8094 B,,,,,,,45,,11,56
Civil and Environmental Engr - CEE 8096 A,,,,,,,7,,,7
Civil and Environmental Engr - CEE 8811 C,,,,,,,72,4,,1 77
Civil and Environmental Engr - CEE 8811 D,29,1,,,,,,,,3.97 30
Civil and Environmental Engr - CEE 8811 E,,,,,,,16,,,16
Civil and Environmental Engr - CEE 8813 A,8,3,2,,,,,,,3.46 13
Civil and Environmental Engr - CEE 8813 C,18,8,,,,,,,,1 3.69 27
Civil and Environmental Engr - CEE 8813 D,6,2,,,,,,,,2 3.75 10
Civil and Environmental Engr - CEE 8813 F,5,3,,,,,,,,3.63 8
Civil and Environmental Engr - CEE 8813 G,7,1,,,,,,,,1 3.88 9
Civil and Environmental Engr - CEE 8813 H,10,,,,,,,,,4.00 10
Civil and Environmental Engr - CEE 8813 I,15,1,,,,,,,1,3.94 17
Civil and Environmental Engr - CEE 8900 CRI,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 8900 GE.,2,,,,,,,,,4.00 2
Civil and Environmental Engr - CEE 8900 G.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 8900 JTS,3,,,,,,,,,4.00 3
Civil and Environmental Engr - CEE 8900 LKS,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 8900 LU.,3,,,,,,,,,4.00 3
Civil and Environmental Engr - CEE 8900 M.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 8900 M.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 8900 PA.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 8900 PR.,,1,,,,,,,,3.00 1
Civil and Environmental Engr - CEE 8900 W.,3,,,,,,,,,4.00 3
Civil and Environmental Engr - CEE 8900 W.,1,1,,,,,,,,3.50 2
Civil and Environmental Engr - CEE 8902 A.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 8902 B.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 8902 CRI,,,,,,,1,,,1
Civil and Environmental Engr - CEE 8902 DAI,,,,,,,1,,,1
Civil and Environmental Engr - CEE 8902 GE.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 8902 G.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 8902 JTS,,,,,,,3,,,3
Civil and Environmental Engr - CEE 8902 SC.,,,,,,,4,,,4
Civil and Environmental Engr - CEE 8902 TR.,,,,,,,4,,,4
Civil and Environmental Engr - CEE 8956 FRI,,,,,,,1,,,1
Civil and Environmental Engr - CEE 8956 G.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 8956 J.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 8956 JTS,,,,,,,1,,,1
Civil and Environmental Engr - CEE 8956 TR.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 8956 YIA,,,,,,,3,,,3
Civil and Environmental Engr - CEE 9000 A.,,,,,,,2,,,2
Civil and Environmental Engr - CEE 9000 A.,A,B,C,D,F,I,S2,U,V,W Aver. Tota2
Civil and Environmental Engr - CEE 9000 A.,,,,,,,4,,,4
Civil and Environmental Engr - CEE 9000 ASI,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 BA.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 BR.,,,,,,,3,,,3
Civil and Environmental Engr - CEE 9000 B.,,,,,,,5,,,5
Civil and Environmental Engr - CEE 9000 C.,,,,,,,5,,,5
Civil and Environmental Engr - CEE 9000 C.,,,,,,,5,,,5
Civil and Environmental Engr - CEE 9000 CRI,,,,,,,4,,,4
Civil and Environmental Engr - CEE 9000 DAI,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 DE.,,,,,,,4,1,,5
Civil and Environmental Engr - CEE 9000 FRI,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 FR.,,,,,,,10,,,10
Civil and Environmental Engr - CEE 9000 GE.,,,,,,,2,,,2
Civil and Environmental Engr - CEE 9000 GE.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 G.,,,,,,,7,,,7
Civil and Environmental Engr - CEE 9000 G.,,,,,,,5,,,5
Civil and Environmental Engr - CEE 9000 H.,,,,,,,2,,,2
Civil and Environmental Engr - CEE 9000 H.,,,,,,,4,,,4
Civil and Environmental Engr - CEE 9000 H.,,,,,,,6,,,6
Civil and Environmental Engr - CEE 9000 H.,,,,,,,2,,,2
Civil and Environmental Engr - CEE 9000 JAC,,,,,,,2,,,2
Civil and Environmental Engr - CEE 9000 J.,,,,,,,3,,,3
Civil and Environmental Engr - CEE 9000 JTS,,,,,,,3,,,3
Civil and Environmental Engr - CEE 9000 KA.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 K.,,,,,,,6,1,,7
Civil and Environmental Engr - CEE 9000 K.,,,,,,,8,,,8
Civil and Environmental Engr - CEE 9000 LAV,,,,,,,3,,,3
Civil and Environmental Engr - CEE 9000 LKS,,,,,,,5,,,5
Civil and Environmental Engr - CEE 9000 LU.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 M.,,,,,,,2,,,2
Civil and Environmental Engr - CEE 9000 M.,,,,,,,2,,,2
Civil and Environmental Engr - CEE 9000 M.,,,,,,,3,,,3
Civil and Environmental Engr - CEE 9000 M.,,,,,,,3,,,3
Civil and Environmental Engr - CEE 9000 PA.,,,,,,,2,,,2
Civil and Environmental Engr - CEE 9000 R.,,,,,,,2,,,2
Civil and Environmental Engr - CEE 9000 SA.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 SC.,,,,,,,2,,,2
Civil and Environmental Engr - CEE 9000 SO.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 SP.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 ST.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 SU.,,,,,,,2,,,2
Civil and Environmental Engr - CEE 9000 TIE,,,,,,,3,,,3
Civil and Environmental Engr - CEE 9000 TR.,,,,,,,6,,,6
Civil and Environmental Engr - CEE 9000 W.,,,,,,,4,,,4
Civil and Environmental Engr - CEE 9000 W.,,,,,,,2,,,2
Civil and Environmental Engr - CEE 9000 W.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 W.,,,,,,,4,,,4
Civil and Environmental Engr - CEE 9000 WIL,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 W.,,,,,,,3,,,3
Civil and Environmental Engr - CEE 9000 YA.,,,,,,,3,,,3
Civil and Environmental Engr - CEE 9000 YIA,,,,,,,4,,,4
Colege of Architecture - COA 1011 AMA,15,5,,1,,,,,,1 3.62 22
Colege of Architecture - COA 1011 ID1,2,12,1,,,,,,,1 3.07 16
Colege of Architecture - COA 1011 ID2,2,7,2,,1,,,,,3 2.75 15
Colege of Architecture - COA 1011 ID3,5,10,1,,,,,,,3.25 16
Colege of Architecture - COA 1011 PMA,10,2,,,,,,,,4 3.83 16
Colege of Architecture - COA 1060 E,42,39,6,,2,,,,,4 3.34 93
Colege of Architecture - COA 2241 A,84,69,7,1,,,19,,,9 3.47 189
Colege of Architecture - COA 2241 A,A,B,C,D,F,I,S,U,V,W Aver. Tota
Colege of Architecture - COA 2241 ID,2,6,,1,,,,,,1 3.00 10
Colege of Architecture - COA 4699 NB,1,,,,,,,,,4.00 1
Colege of Architecture - COA 6011 RD,2,1,,,,,,,,3.67 3
Colege of Architecture - COA 6151 RD,21,10,,,,,,,,3.68 31
Colege of Architecture - COA 8996 0,,,,,,,1,,,1
Colege of Architecture - COA 8996 AE,,,,,,,1,,,1
Colege of Architecture - COA 8996 E,,,,,,,,1,,1
Colege of Architecture - COA 8996 EDJ,,,,,,,1,,,1
Colege of Architecture - COA 8996 GJ,,,,,,,1,,,1
Colege of Architecture - COA 8996 JS,,,,,,,1,,,1
Colege of Architecture - COA 8996 LH,,,,,,,1,,,1
Colege of Architecture - COA 8996 RG,,,,,,,1,,,1
Colege of Architecture - COA 8997 CH,,,,,,,,,2,2
Colege of Architecture - COA 8997 CR,,,,,,,,,1,1
Colege of Architecture - COA 8997 FP,,,,,,,,,3,3
Colege of Architecture - COA 8997 HD,,,,,,,,,1,1
Colege of Architecture - COA 8997 JB,,,,,,,,,1,1
Colege of Architecture - COA 8997 RD,,,,,,,,,2,2
Colege of Architecture - COA 8997 RG,,,,,,,,,1,1
Colege of Architecture - COA 8997 SM,,,,,,,,,8,8
Colege of Architecture - COA 8998 A,,,,,,,,,4,4
Colege of Architecture - COA 8998 B,,,,,,,,,2,2
Colege of Architecture - COA 8998 JB,,,,,,,,,1,1
Colege of Architecture - COA 8998 JK,,,,,,,,,1,1
Colege of Architecture - COA 8998 JS1,,,,,,,,,2,2
Colege of Architecture - COA 8998 MS,,,,,,,,,1,1
Colege of Architecture - COA 8998 RG,,,,,,,,,1,1
Colege of Architecture - COA 8998 TE,,,,,,,,,1,1
Colege of Architecture - COA 8999 B,,,,,,,2,,,2
Colege of Architecture - COA 8999 C,,,,,,,1,,,1
Colege of Architecture - COA 8999 E,,,,,,,1,,,1
Colege of Architecture - COA 8999 ED,,,,,,,,1,,1
Colege of Architecture - COA 8999 G,,,,,,,1,,,1
Colege of Architecture - COA 8999 JB,,,,,,,1,,,1
Colege of Architecture - COA 8999 JS,,,,,,,1,,,1
Colege of Architecture - COA 8999 LA,,,,,,,1,,,1
Colege of Architecture - COA 8999 LH,,,,,,,1,,,1
Colege of Architecture - COA 8999 LS,,,,,,,1,,,1
Colege of Architecture - COA 8999 LS1,,,,,,,1,,,1
Colege of Architecture - COA 8999 RG1,,,,,,,1,,,1
Colege of Architecture - COA 9000 CZ,,,,,,,2,,,2
Colege of Architecture - COA 9000 D,,,,,,,1,,,1
Colege of Architecture - COA 9000 E,,,,,,,2,,,2
Colege of Architecture - COA 9000 ED,,,,,,,1,,,1
Colege of Architecture - COA 9000 G,,,,,,,2,,,2
Colege of Architecture - COA 9000 JB,,,,,,,1,,,1
Colege of Architecture - COA 9000 JP,,,,,,,2,,,2
Colege of Architecture - COA 9000 RC,,,,,,,1,,,1
Colege of Architecture - COA 9000 SB,,,,,,,2,,,2
Colege of Engineering - COE 1000 A,,,,,,,87,,,4 91
Colege of Engineering - COE 2001 B,30,24,2,,,,,,,2 3.50 58
Colege of Engineering - COE 2001 C,11,17,25,2,,,,,,2 2.67 57
Colege of Engineering - COE 2001 D,16,23,13,7,6,,,,,2.55 65
Colege of Engineering - COE 2001 F,27,20,4,2,2,,,,,2 3.24 57
Colege of Engineering - COE 2001 G,31,17,5,2,,,,,,2 3.40 57
Colege of Engineering - COE 2001 H,27,11,9,2,2,,,,,8 3.16 59
Colege of Engineering - COE 2001 I,18,14,17,10,1,,,,,3 2.63 63
Colege of Engineering - COE 2001 K,23,15,20,7,,,,,,3 2.83 68
Colege of Engineering - COE 2001 K,2A3,1B5,2C0,D7,F,I,S,U,V,W3 A2v.e8r3. To6ta8
Colege of Engineering - COE 2001 L,20,19,8,,2,,,,,13 3.12 62
Colege of Engineering - COE 2001 M,20,17,7,,,,,,,8 3.30 52
Colege of Engineering - COE 2001 O,22,13,13,9,1,,,,,2 2.79 60
Colege of Engineering - COE 2001 RMZ,17,7,2,1,,,,,,3.48 27
Colege of Engineering - COE 3001 A,11,22,11,3,3,,,,,4 2.70 54
Colege of Engineering - COE 3001 B,12,7,6,1,2,,,,,3 2.93 31
Colege of Engineering - COE 3001 C,12,19,2,7,2,,,,,3 2.76 45
Colege of Engineering - COE 3001 D,17,21,7,1,,,,,,7 3.17 53
Colege of Engineering - COE 3001 F,27,19,13,1,,,,,,1 3.20 61
Colege of Engineering - COE 3001 G,18,23,8,1,1,,,,,2 3.10 53
Colege of Engineering - COE 3001 H,13,12,16,8,2,,,,,3 2.51 54
Colege of Engineering - COE 3001 I,14,13,7,2,1,,,,,4 3.00 41
Colege of Engineering - COE 3001 J,15,15,10,3,1,,,,,3 2.91 47
Colege of Engineering - COE 3001 K,7,5,8,3,1,,,,,4 2.58 28
Colege of Engineering - COE 3001 RMZ,10,19,5,4,,,,,,1 2.92 39
Colege of Engineering - COE 3002 HP,9,3,,,,,,,,3.75 12
Colege of Engineering - COE 3002 TM,12,5,,,,,,,,3.71 17
"Computational Mod, Sim, & Data - CX 4010 A",22,2,3,,,,,,,12 3.70 39
"Computational Mod, Sim, & Data - CX 4140 A",7,3,1,,2,,,,,10 3.00 23
"Computational Mod, Sim, & Data - CX 4242 A",17,6,4,3,1,,1,,,8 3.13 40
"Computational Mod, Sim, & Data - CX 4640 A",5,9,,,1,,,,,10 3.13 25
Computational Science & Engr - CSE 6001 A,18,,,,,,,,,4.00 18
Computational Science & Engr - CSE 6010 A,20,12,2,,,,,,1,9 3.53 44
Computational Science & Engr - CSE 6040 A,27,8,1,,1,,,,,3.62 37
Computational Science & Engr - CSE 6140 A,41,23,4,,,,,,1,8 3.54 77
Computational Science & Engr - CSE 6140 Q,5,4,1,,,,,,,1 3.40 11
Computational Science & Engr - CSE 6220 .,19,24,10,4,2,,,,,71 2.92 130
Computational Science & Engr - CSE 6242 A,93,6,3,3,,,1,,1,13 3.80 120
Computational Science & Engr - CSE 6242 Q,4,1,,,,,,,,2 3.80 7
Computational Science & Engr - CSE 6242 .,2,,,,,,,,,1 4.00 3
Computational Science & Engr - CSE 6643 A,6,1,1,,,,,1,,1 3.63 10
Computational Science & Engr - CSE 6643 Q,1,,,,,,,,,4.00 1
Computational Science & Engr - CSE 6644 A,6,1,,,1,,,,1,3.38 9
Computational Science & Engr - CSE 6740 A,44,36,5,,,,2,,,2 3.46 89
Computational Science & Engr - CSE 6740 Q,1,4,1,1,,,,,,3 2.71 10
Computational Science & Engr - CSE 6740 .,1,4,,,,,,,,3.20 5
Computational Science & Engr - CSE 6740 .,1,3,,,,,,,,3.25 4
Computational Science & Engr - CSE 7000 .,,,,,,,1,,,1
Computational Science & Engr - CSE 7000 .,,,,,,,1,,,1
Computational Science & Engr - CSE 7000 .,,,,,,,1,,,1
Computational Science & Engr - CSE 8001 A,,,,,,,1,,,1
Computational Science & Engr - CSE 8803 .,3,,,,,,,,,4.00 3
Computational Science & Engr - CSE 8803 .,3,,,,,,,,,4.00 3
Computational Science & Engr - CSE 8803 .,1,,,,,,,,,4.00 1
Computational Science & Engr - CSE 8903 .,2,,,,,,,,,4.00 2
Computational Science & Engr - CSE 8903 .,1,,,,,,,,,4.00 1
Computational Science & Engr - CSE 8903 .,1,,,,,,,,,4.00 1
Computational Science & Engr - CSE 8903 .,1,,,,,,,,,4.00 1
Computational Science & Engr - CSE 8903 .,1,,,,,,,,,4.00 1
Computational Science & Engr - CSE 8903 .,1,,,,,,,,,4.00 1
Computational Science & Engr - CSE 8903 .,1,,,,,,1,,,4.00 2
Computational Science & Engr - CSE 8903 .,2,1,,,,,,,,3.67 3
Computational Science & Engr - CSE 8997 .,,,,,,,,,1,1
Computational Science & Engr - CSE 8997 .,,,,,,,,,3,3
Computational Science & Engr - CSE 8997 .,,,,,,,,,8,8
Computational Science & Engr - CSE 8997 .,,,,,,,,,1,1
Computational Science & Engr - CSE 8998 .,,,,,,,,,2,2
Computational Science & Engr - CSE 8998 .,,,,,,,,,1,1
Computational Science & Engr - CSE 8998 .,A,B,C,D,F,I,S,U,V,W Aver. Tota
Computational Science & Engr - CSE 8998 .,,,,,,,,,1,1
Computational Science & Engr - CSE 8998 .,,,,,,,,,12,12
Computational Science & Engr - CSE 8998 .,,,,,,,,,1,1
Computational Science & Engr - CSE 8999 .,1,1,,,,,2,,,3.50 4
Computational Science & Engr - CSE 8999 .,1,,,,,,,,,4.00 1
Computational Science & Engr - CSE 8999 .,1,,,,,,,,,4.00 1
Computational Science & Engr - CSE 8999 .,1,,,,,,,,,4.00 1
Computational Science & Engr - CSE 8999 .,3,,,,,,,,,4.00 3
Computational Science & Engr - CSE 8999 .,1,,,,,,,,,4.00 1
Computational Science & Engr - CSE 8999 .,,,,,,,1,,,1
Computational Science & Engr - CSE 8999 .,,,,,,,1,,,1
Computational Science & Engr - CSE 8999 .,,,,,,,3,,,3
Computational Science & Engr - CSE 8999 .,6,,,,,,,,,4.00 6
Computational Science & Engr - CSE 8999 .,2,,,,,,,,,4.00 2
Computational Science & Engr - CSE 9000 .,,,,,,,3,,,3
Computational Science & Engr - CSE 9000 .,,,,,,,3,,,3
Computational Science & Engr - CSE 9000 .,,,,,,,1,,,1
Computational Science & Engr - CSE 9000 .,,,,,,,2,,,2
Computational Science & Engr - CSE 9000 .,,,,,,,1,,,1
Computational Science & Engr - CSE 9000 .,,,,,,,1,,,1
Computational Science & Engr - CSE 9000 .,,,,,,,1,,,1
Computational Science & Engr - CSE 9000 .,,,,,,,1,,,1
Computational Science & Engr - CSE 9000 .,,,,,,,2,,,2
Computational Science & Engr - CSE 9000 .,,,,,,,6,,,6
Computational Science & Engr - CSE 9000 .,,,,,,,1,,,1
Computer Science - CS 1100 A01,,,,,,,105,4,,1 110
Computer Science - CS 1100 A02,,,,,,,106,2,,108
Computer Science - CS 1100 B01,,,,,,,108,,,1 109
Computer Science - CS 1100 B02,,,,,,,106,3,,109
Computer Science - CS 1100 COM,,,,,,,89,8,,4 101
Computer Science - CS 1100 TS,,,,,,,55,1,,1 57
Computer Science - CS 1171 A,,,,,,,20,9,,1 30
Computer Science - CS 1301 A01,11,23,11,2,2,,,,,1 2.80 50
Computer Science - CS 1301 A02,9,7,6,,,,,,,4 3.14 26
Computer Science - CS 1301 A03,13,13,3,3,,,,,,5 3.13 37
Computer Science - CS 1301 A04,12,13,2,,,,,,,6 3.37 33
Computer Science - CS 1301 B01,14,26,4,1,,,,,,2 3.18 47
Computer Science - CS 1301 B02,10,12,3,3,,,,,,1 3.04 29
Computer Science - CS 1301 B03,17,25,2,,2,,,,,2 3.20 48
Computer Science - CS 1301 B04,2,2,,,,,,,,1 3.50 5
Computer Science - CS 1301 C01,20,17,2,5,,,,,,3 3.18 47
Computer Science - CS 1301 C02,10,10,4,2,,,,,,4 3.08 30
Computer Science - CS 1301 C03,7,3,9,,,,,,,6 2.89 25
Computer Science - CS 1301 C04,6,5,4,,,,,,,1 3.13 16
Computer Science - CS 1301 GR,,,,,,,4,,,4
Computer Science - CS 1315 A1,28,14,4,,,,,,,3 3.52 49
Computer Science - CS 1315 A2,22,16,2,,2,,,,,2 3.33 44
